date,call_vol,put_vol,call_prem,put_prem,n_call,n_put
2025-12-26,4893,2871,145481.0,341949.0,84,73
2025-12-29,7907,2544,412322.0,469379.0,89,88
2025-12-30,4834,1256,339391.0,102719.0,86,70
2025-12-31,3353,1394,148457.0,99173.0,64,67
2026-01-02,5123,2965,274696.0,263896.0,93,95
2026-01-05,13484,3520,595635.0,189480.0,72,71
2026-01-06,6207,3788,414100.0,379582.0,74,82
2026-01-07,10082,9883,600438.0,957134.0,107,92
2026-01-08,5961,4402,321134.0,609289.0,77,75
2026-01-09,7782,4716,399958.0,416166.0,101,84
2026-01-12,5521,2900,520339.0,323209.0,87,70
2026-01-13,2977,3242,143094.0,315543.0,63,63
2026-01-14,5288,3040,235346.0,239945.0,75,65
2026-01-15,5796,2511,300594.0,193729.0,81,61
2026-01-16,13774,4790,432130.0,500521.0,85,86
2026-01-20,8654,4802,349605.0,395796.0,79,81
2026-01-21,4554,3630,234657.0,225215.0,73,74
2026-01-22,8622,2996,364134.0,283646.0,96,74
2026-01-23,9573,2567,451420.0,142890.0,89,61
2026-01-26,99307,4122,15596092.0,364808.0,149,78
2026-01-27,9928,4350,588120.0,174602.0,121,70
2026-01-28,4394,3537,173406.0,382103.0,74,120
2026-01-29,6893,4135,425514.0,511236.0,66,143
2026-01-30,16740,4639,1632123.0,355136.0,139,105
2026-02-02,4918,2003,399761.0,182194.0,93,103
2026-02-03,8768,2106,1237442.0,162091.0,150,75
2026-02-04,15110,4535,1786084.0,408341.0,148,93
2026-02-05,5416,1844,601986.0,181790.0,100,97
2026-02-06,2675,1560,538987.0,137701.0,88,109
2026-02-09,3082,1695,288023.0,71527.0,78,82
2026-02-10,13367,1184,1070729.0,135107.0,74,61
2026-02-11,7125,1109,559945.0,148739.0,91,66
2026-02-12,5290,2714,591165.0,204570.0,105,61
2026-02-13,12036,2385,1105461.0,128692.0,94,72
2026-02-17,7322,4292,480839.0,369915.0,87,86
2026-02-18,4622,2845,337645.0,226209.0,72,66
2026-02-19,6132,1268,271291.0,175665.0,69,54
2026-02-20,4200,2343,327303.0,315449.0,74,58
2026-02-23,3524,2307,229393.0,186883.0,82,54
2026-02-24,3614,1617,313804.0,288230.0,86,56
2026-02-25,2377,2138,253376.0,232603.0,85,66
2026-02-26,3481,2522,177273.0,209368.0,72,42
2026-02-27,5314,1970,318108.0,218673.0,93,53
2026-03-02,4090,1361,246099.0,272642.0,80,58
2026-03-03,2054,2073,194331.0,266492.0,75,55
2026-03-04,3218,1419,252881.0,146194.0,60,48
2026-03-05,3449,1476,88297.0,142505.0,60,47
2026-03-06,3642,3438,420092.0,525563.0,72,61
2026-03-09,1612,2468,105528.0,208387.0,62,64
2026-03-10,5406,2982,360435.0,290193.0,71,71
2026-03-11,10321,19416,669012.0,1302988.0,91,113
2026-03-12,11061,15336,653162.0,1751540.0,100,91
2026-03-13,3650,5652,261253.0,1036510.0,98,97
2026-03-16,7884,4998,400864.0,696799.0,103,96
2026-03-17,2576,3168,127567.0,565299.0,86,80
2026-03-18,7181,30524,561910.0,2534596.0,89,120
2026-03-19,4409,4765,260789.0,1070547.0,93,98
2026-03-20,5394,18574,390183.0,1359135.0,92,104
2026-03-23,8590,2478,406187.0,403605.0,96,98
2026-03-24,4180,4638,297193.0,622573.0,83,82
2026-03-25,4467,18862,282266.0,1432071.0,83,79
2026-03-26,6561,2090,231323.0,275691.0,74,68
2026-03-27,6609,2840,428655.0,413628.0,93,88
2026-03-30,3590,2983,251745.0,204771.0,82,79
2026-03-31,6297,4942,377790.0,274326.0,73,85
2026-04-01,7699,6946,474814.0,443321.0,74,91
2026-04-02,9506,4263,499705.0,212980.0,71,66
2026-04-06,2894,5706,188086.0,414332.99999999994,81,72
2026-04-07,2850,5094,267683.0,569314.0,59,76
2026-04-08,4864,3832,304590.0,294179.0,76,60
2026-04-09,3045,3148,156781.0,154156.0,90,63
2026-04-10,3720,5146,179138.0,344032.0,91,87
2026-04-13,13988,10606,790335.0,1286971.0,110,109
2026-04-14,5795,4887,291383.0,535789.0,93,100
2026-04-15,12971,7540,955827.0,660749.0,86,93
2026-04-16,9793,4248,707647.0,585304.0,95,91
2026-04-17,6234,6434,419024.0,499794.0,85,87
2026-04-20,7572,4882,303718.0,379149.0,82,88
2026-04-21,4992,3418,266331.0,297598.0,81,79
2026-04-22,5006,2929,215082.0,149932.0,68,78
2026-04-23,8684,9178,389784.0,713269.0,75,81
2026-04-24,5561,4408,263533.0,381760.0,92,92
2026-04-27,8909,7433,379829.0,413712.0,98,97
2026-04-28,7681,2025,351287.0,168049.0,103,83
2026-04-29,8239,2487,884624.0,227109.0,104,62
2026-04-30,14470,7664,883841.0000000001,1631068.9999999998,83,84
2026-05-01,5428,3913,300973.0,316699.0,93,95
2026-05-04,8622,4912,355680.0,250592.0,91,84
2026-05-05,7419,5323,420609.0,387044.0,92,69
2026-05-06,5130,3561,188136.0,191108.0,84,67
2026-05-07,11871,5872,874201.0,252900.0,100,71
2026-05-08,3813,5239,236377.0,265967.0,74,75
2026-05-11,33494,8387,1929507.0,799505.0,90,84
2026-05-12,8821,4047,631714.0,240764.0,74,71
2026-05-13,6138,3564,404561.0,337379.0,82,80
2026-05-14,7934,4081,362041.0,235411.0,84,77
2026-05-15,8291,4977,357621.0,360616.0,100,89
2026-05-18,14456,7467,608546.0,814705.0,90,74
2026-05-19,12042,2370,413762.0,231517.0,90,58
2026-05-20,5331,3482,305936.0,297506.0,78,56
2026-05-21,15301,9649,547498.0,423260.0,98,94
2026-05-22,10273,4393,393002.0,169090.0,83,72
