date,call_vol,put_vol,call_prem,put_prem,n_call,n_put
2026-04-07,1143,314,1992008.0,217320.0,74,41
2026-04-08,272,182,922261.0,99285.0,51,42
2026-04-09,295,185,876263.0,82151.0,49,48
2026-04-10,1063,646,1378061.0,189504.0,53,45
2026-04-13,323,785,596959.0,590593.0,55,43
2026-04-14,945,308,3644588.0,143381.0,52,53
2026-04-15,829,332,1231805.0,356300.0,87,50
2026-04-16,515,396,781014.0,191221.0,73,50
2026-04-17,1652,1923,2255505.0,219187.0,77,58
2026-04-20,770,426,520842.0,285973.0,57,43
2026-04-21,226,867,231866.0,288541.0,38,54
2026-04-22,450,259,640829.0,140625.0,57,48
2026-04-23,481,359,161516.0,28586.0,35,25
2026-04-24,1421,601,862806.0,104275.0,49,35
2026-04-27,255,159,288064.0,127442.0,45,29
2026-04-28,551,467,398447.0,176134.0,46,41
2026-04-29,187,333,344443.0,411500.0,40,37
2026-04-30,766,858,1150889.0,482709.0,59,59
2026-05-01,5131,2929,10648596.0,1729257.0,148,100
2026-05-04,4695,1298,22242892.0,1165025.9999999998,111,77
2026-05-05,3847,1548,6285990.0,1551778.0,110,60
2026-05-06,1304,1823,2552661.0,1618827.0,87,66
2026-05-07,856,801,1138147.0,634900.0,76,46
2026-05-08,2724,761,4561722.999999999,233948.0,98,56
2026-05-11,852,428,1312088.0,216289.0,69,50
2026-05-12,3235,1850,6731844.0,1164109.0,99,64
2026-05-13,2042,1636,5977078.0,1073356.0,102,68
2026-05-14,626,573,1053918.0,859003.0,84,61
2026-05-15,5292,1693,17540721.0,1869188.0,87,59
2026-05-18,862,535,2226455.0,397370.0,102,49
2026-05-19,1797,340,3405648.0,413095.0,90,69
2026-05-20,838,479,2874581.0,572036.0,77,43
2026-05-21,898,590,2184347.0,557399.0,100,56
2026-05-22,1301,783,2805759.0,502313.0,77,50
2026-05-26,611,1271,1411827.0,1339991.0,76,44
2026-05-27,581,283,1098567.0,374038.0,69,48
2026-05-28,966,369,2664187.0,262021.0,81,50
2026-05-29,1470,1739,926823.0,3072308.0,80,67
2026-06-01,3648,3111,11541910.0,3287901.0,147,140
2026-06-02,11912,7868,11396674.0,14490378.0,253,237
2026-06-03,5718,2434,6486309.0,2681607.0,192,140
2026-06-04,1654,1366,1768402.0,3481488.0,133,108
2026-06-05,2996,1430,2611486.0,1020698.0,146,116
2026-06-08,2352,1461,3089474.0,2167014.0,134,111
2026-06-09,2434,1228,4388281.0,826791.0,152,108
2026-06-10,2707,1370,4055469.0,836437.0,145,81
2026-06-11,1732,511,2401650.0,353556.0,148,95
2026-06-12,1920,869,2168798.0,344356.0,91,55
2026-06-15,1342,1250,2001680.0,585141.0,111,79
2026-06-16,6079,2761,3417721.0,2748018.0,204,170
2026-06-17,4626,8468,4031809.0,24889853.0,232,199
2026-06-18,2766,4257,2783781.0,7762318.999999999,173,142
2026-06-22,3247,2199,3800416.0,2654122.0,155,124
2026-06-23,2139,2450,3020446.0,1950502.0,160,119
2026-06-24,1601,1266,1684427.0,1137269.0,155,108
2026-06-25,1513,1210,728316.0,2054394.0,114,112
2026-06-26,1904,2711,1588761.0,3508494.0,119,114
2026-06-29,3608,2737,2036824.0,9601605.0,180,141
2026-06-30,2087,1214,2578269.0,2191240.0,153,114
2026-07-01,1101,1262,898052.0,882166.0,122,100
2026-07-02,1975,1570,2332738.0,718718.0,103,92
2026-07-06,1634,2039,979518.0,820427.0,116,90
2026-07-07,1402,1198,1708241.0,870410.0,121,100
2026-07-08,1826,2074,2450081.0,1183409.0,142,102
2026-07-09,522,2095,557238.0,873416.0,86,68
2026-07-10,1219,1391,1484244.0,556541.0,94,72
2026-07-13,1784,1212,3282445.0,807107.0,139,110
2026-07-14,772,478,759143.0,278854.0,111,62
2026-07-15,673,363,901033.0,251293.0,88,63
2026-07-16,1017,541,1268196.0,315795.0,97,87
2026-07-17,2213,1215,2221353.0,614400.0,93,80
2026-07-20,594,326,792466.0,201987.0,73,76
2026-07-21,636,321,629608.0,196397.0,75,52
2026-07-22,1851,931,2606952.0,654869.0,126,85
2026-07-23,914,1372,1578892.0,489514.0,98,78
2026-07-24,1602,1097,2196099.0,192678.0,97,75
2026-07-27,799,1463,1178484.0,1889497.0,90,78
2026-07-28,1210,1116,2158979.0,488071.0,144,91
2026-07-29,3281,932,7960914.0,444263.0,142,83
2026-07-30,1738,1302,1402253.0,637131.0,113,86
2026-07-31,3690,2141,6705735.0,816879.0,165,122
2026-08-03,1623,994,2004676.0,677958.0,142,87
2026-08-04,2145,700,1400716.0,567173.0,108,85
2026-08-05,721,370,431345.0,307255.0,85,68
2026-08-06,374,697,200807.0,239156.0,64,55
2026-08-07,2244,2802,1577012.0,977771.0,87,67
2026-08-10,1005,947,723305.0,400932.0,70,58
2026-08-11,609,760,459947.0,663223.0,76,68
2026-08-12,444,917,571151.0,469025.99999999994,54,50
2026-08-13,517,325,428600.0,160147.0,94,53
2026-08-14,1912,1292,1742591.0,350219.0,63,63
2026-08-17,279,1199,366731.0,512594.0,57,46
2026-08-18,634,1227,291383.0,349637.0,51,61
2026-08-19,2089,1729,2555820.0,1601598.0,123,90
2026-08-20,1913,779,1604496.0,411856.0,94,59
2026-08-21,3272,1463,3732142.0,460813.0,117,85
2026-08-24,1963,567,4439345.0,320668.0,141,88
2026-08-25,790,711,999809.0,311768.0,66,71
2026-08-26,682,581,1968148.0,251954.0,106,60
2026-08-27,1491,980,2980553.0,996838.0,122,81
2026-08-28,2979,2272,5256146.0,2340231.0,121,73
2026-08-31,2167,1029,4113236.0,1124885.0,93,76
2026-09-01,618,406,531769.0,391835.0,71,61
2026-09-02,2619,2728,1859579.0,4543398.0,138,96
2026-09-03,1490,1128,1269300.0,1162489.0,87,81
2026-09-04,1969,1582,1273469.0,1308283.0,65,71
2026-09-08,796,440,791554.0,311576.0,73,73
2026-09-09,437,168,777788.0,96175.0,65,61
2026-09-10,1437,542,695526.0,638979.0,70,67
2026-09-11,2211,1661,1095902.0,1206613.0,113,102
2026-09-14,1729,1018,1034936.0,328018.0,75,62
2026-09-15,1441,1480,885162.0,945661.0,98,107
2026-09-16,1562,2562,1496453.0,5074336.000000001,105,103
2026-09-17,1391,738,558661.0,1123877.0,103,91
2026-09-18,2019,2214,1438837.0,1005998.0,115,105
