date,call_vol,put_vol,call_prem,put_prem,n_call,n_put
2026-01-30,11,22,110.0,6259.0,2,4
2026-02-02,61,11,24272.000000000004,6909.0,9,8
2026-02-03,167,491,164327.0,454841.0,11,22
2026-02-04,102,23,43663.99999999999,10202.0,6,8
2026-02-05,28,36,6992.0,15339.0,7,6
2026-02-06,43,32,4377.0,12519.0,13,7
2026-02-09,89,228,7245.0,91561.0,5,6
2026-02-10,21,29,3663.0,5800.0,6,4
2026-02-11,821,1256,213856.0,638509.0,13,12
2026-02-12,336,509,235249.0,419615.0,20,25
2026-02-13,86,228,39804.0,78116.0,6,11
2026-02-17,87,148,30017.0,56155.0,11,10
2026-02-18,61,140,7099.0,44081.0,13,11
2026-02-19,11,233,2125.0,88195.0,4,7
2026-02-20,110,62,32104.0,13769.0,11,9
2026-02-23,50,29,14725.0,14196.0,6,8
2026-02-24,81,30,25385.0,11541.0,8,5
2026-02-25,27,20,2641.0,5114.0,9,6
2026-02-26,26,22,5025.0,19158.0,4,3
2026-02-27,6,39,1166.0,18500.0,4,6
2026-03-02,8,14,2000.0,10948.0,2,6
2026-03-03,11,3,1920.0,784.0,5,3
2026-03-04,23,46,10119.0,5648.0,10,6
2026-03-05,109,9,55426.0,1573.0,6,4
2026-03-06,11,10,2375.0,2350.0,4,2
2026-03-09,6,30,2303.0,5969.0,4,4
2026-03-10,3,6,925.0,837.0,2,3
2026-03-11,26,13,5764.0,8486.0,5,5
2026-03-12,27,38,12872.0,17406.0,4,4
2026-03-13,12,39,2295.0,15260.0,5,4
2026-03-16,10,30,937.0,7078.0,6,7
2026-03-17,25,22,10839.0,8181.0,7,6
2026-03-18,26,67,3553.0,30558.0,9,11
2026-03-19,24,114,4186.0,64944.00000000001,12,12
2026-03-20,20,110,4224.0,69452.0,9,13
2026-03-23,81,41,9476.0,28392.0,8,14
2026-03-24,16,192,3435.0,40930.0,7,2
2026-03-25,34,21,2830.0,23370.0,3,3
2026-03-26,28,32,5565.0,19010.0,8,3
2026-03-27,193,926,41740.0,644320.0,5,6
2026-03-30,39,940,23921.0,681796.0,7,5
2026-03-31,21,17,4972.0,15038.0,6,4
2026-04-01,6,47,559.0,30886.0,4,12
2026-04-02,27,32,13600.0,12979.0,4,6
2026-04-06,5,8,828.0,6794.0,4,6
2026-04-07,30,42,25189.999999999996,28141.0,2,6
2026-04-08,140,13,36654.0,4346.0,7,6
2026-04-09,20,21,7014.0,12511.0,7,6
2026-04-10,5,4,3629.0,1040.0,4,4
2026-04-13,50,42,8889.0,9440.0,5,6
2026-04-14,16,46,2650.0,49558.0,2,10
2026-04-15,34,62,9159.0,8220.0,9,7
2026-04-16,431,20,160040.0,5813.0,10,5
2026-04-17,99,129,34415.0,21169.0,8,7
2026-04-20,1132,29,635735.0,12845.0,8,8
2026-04-21,105,21,67410.0,6919.0,12,5
2026-04-22,134,232,38534.0,88541.0,13,9
2026-04-23,203,406,70225.0,109218.0,6,6
2026-04-24,56,22,17360.0,7520.0,4,4
2026-04-27,122,50,42338.0,13419.0,5,7
2026-04-28,456,65,136090.0,18229.0,6,6
2026-04-29,72,107,42511.0,20277.0,7,8
2026-04-30,109,94,13437.0,29152.0,7,15
2026-05-01,11,732,2091.0,87781.0,7,11
2026-05-04,26,24,6979.0,7088.999999999999,10,7
2026-05-05,85,397,10632.0,60980.0,10,10
2026-05-06,57,46,6896.0,13538.0,8,12
2026-05-07,28,8,13380.0,4713.0,8,5
2026-05-08,136,394,20820.0,95268.0,8,5
2026-05-11,114,268,46972.0,74119.0,13,10
2026-05-12,67,2272,5956.0,292909.0,13,7
2026-05-13,30,7,1775.0,2629.0,3,4
2026-05-14,27,95,3933.0,38436.0,7,12
2026-05-15,19,186,5709.0,72140.0,9,14
2026-05-18,184,34,50859.0,9905.0,13,8
2026-05-19,65,149,17748.0,12450.0,7,4
2026-05-20,89,27,16475.0,4335.0,5,6
2026-05-21,34,14,9829.0,10635.0,3,8
2026-05-22,1,2,400.0,458.0,1,1
2026-05-26,19,4,4068.0,1948.0,7,2
2026-05-27,19,2,3754.0,715.0,8,2
2026-05-28,24,8,4242.0,2309.9999999999995,6,3
2026-05-29,62,34,16613.0,2361.0,15,3
2026-06-01,20,1,19844.0,446.0,5,1
2026-06-02,24,10,24710.0,1041.0,4,6
2026-06-03,17,39,7881.0,3566.0,5,7
2026-06-04,6,2,1030.0,90.0,4,1
2026-06-05,69,23,29232.0,6096.0,14,6
2026-06-08,17,1,2378.0,51.0,4,1
2026-06-09,9,144,1600.0,173169.0,4,9
2026-06-10,92,144,64204.00000000001,223233.0,9,9
2026-06-11,73,61,12289.0,46134.0,10,12
2026-06-12,10,19,2489.0,10872.0,4,7
2026-06-15,12,29,1945.0,5093.0,3,8
2026-06-16,13,9,385.0,647.0,2,2
2026-06-17,24,7,825.0,929.0,4,3
2026-06-18,73,46,28052.0,10879.000000000002,5,5
2026-06-22,6,20,2930.0,5190.0,4,3
2026-06-23,14,16,4883.0,10385.0,5,10
2026-06-24,143,92,49660.0,48826.0,9,4
2026-06-25,28,5,18718.0,2563.0,8,3
2026-06-26,92,17,27995.0,3152.0,12,4
2026-06-29,47,30,11801.0,16549.0,9,8
2026-06-30,57,20,20718.0,1545.0,11,3
2026-07-01,95,10,20991.0,2394.0,9,5
2026-07-02,187,39,123004.0,6327.0,11,8
2026-07-06,94,17,30205.0,1543.0,10,6
2026-07-07,59,174,56895.0,50510.0,10,7
2026-07-08,225,84,714003.0,37156.0,12,10
2026-07-09,15,14,4979.0,1894.0,3,3
2026-07-10,30,35,24348.0,9317.0,7,5
2026-07-13,64,15,142608.0,1360.0,5,4
2026-07-14,10,0,2660.0,0.0,4,0
2026-07-15,149,100,337694.0,36646.0,17,7
2026-07-16,450,11,224600.0,10660.0,15,3
2026-07-17,70,14,58273.0,7665.000000000001,12,3
2026-07-20,29,20,22682.0,6349.0,13,9
2026-07-21,13,6,9040.0,1914.0,4,3
2026-07-22,2,33,351.0,29465.0,2,3
2026-07-23,10,163,4260.0,50831.0,3,4
2026-07-24,65,2,23455.0,250.0,8,2
2026-07-27,103,6,141316.0,1425.0,9,3
2026-07-28,512,390,262305.0,158699.0,10,13
