date,call_vol,put_vol,call_prem,put_prem,n_call,n_put
2026-03-11,96,5,4392.0,2650.0,5,1
2026-03-12,48,80,3561.0,40397.0,5,6
2026-03-13,3,51,179.99999999999997,3151.0,1,2
2026-03-16,86,180,9171.0,20859.0,7,6
2026-03-17,3521,13,2192687.0,2051.0,11,5
2026-03-18,205,26,117243.0,10448.0,9,8
2026-03-19,349,52,102662.0,15856.0,11,11
2026-03-20,166,68,33245.0,6400.0,13,8
2026-03-23,61,4,42507.0,7360.0,9,2
2026-03-24,444,24,44894.0,5925.0,10,3
2026-03-25,277,20,494364.0,5581.0,5,3
2026-03-26,48,4,43783.0,6420.0,10,2
2026-03-27,98,22,24432.0,9606.0,7,3
2026-03-30,6907,16,3081415.0,5400.0,4,4
2026-03-31,167,5,56509.0,2250.0,11,1
2026-04-01,127,62,50505.0,23010.000000000004,8,4
2026-04-02,71095,88095,13718948.0,16998333.0,10,9
2026-04-06,35,15,10282.0,2820.0,4,3
2026-04-07,56,10,12289.0,3780.0,5,5
2026-04-08,228,6,17637.0,2175.0,12,3
2026-04-09,24,70,12914.0,25205.0,9,6
2026-04-10,21,18,16526.0,8836.0,6,6
2026-04-13,8,3,1599.9999999999998,1500.0,4,1
2026-04-14,9,19,6752.0,24434.0,6,4
2026-04-15,214,12,7622.000000000001,1175.0,7,7
2026-04-16,164,14,18401.0,2585.0,7,6
2026-04-17,26,31,11362.0,12682.0,9,7
2026-04-20,99,37,18278.0,18095.0,7,4
2026-04-21,101,70,67843.0,4565.0,12,5
2026-04-22,11,14,3795.0,2660.0,4,5
2026-04-23,18,28,6292.0,9700.0,3,6
2026-04-24,7,23,1750.0,5195.0,5,7
2026-04-27,57,39,27274.999999999996,7245.0,5,5
2026-04-28,76,36,14235.0,9027.0,2,6
2026-04-29,17,17,3086.0,4450.0,4,3
2026-04-30,21,813,5294.0,38594.0,5,7
2026-05-01,12,7,1860.0,388.0,6,2
2026-05-04,564,824,72965.0,59623.0,4,7
2026-05-05,561,540,79747.99999999999,27539.999999999996,6,1
2026-05-06,515,52,92215.0,5460.0,6,4
2026-05-07,2225,123,308589.0,47378.0,11,12
2026-05-08,72560,88191,2195477.0,2194650.9999999995,11,10
2026-05-11,46,57,12189.0,4770.0,10,7
2026-05-12,10,59,5940.0,9018.0,8,7
2026-05-13,712,29,68930.00000000001,6768.0,9,7
2026-05-14,4,15,3255.0,2700.0,4,4
2026-05-15,56,120,30294.0,16779.0,6,10
2026-05-18,102,26,50450.0,1897.0,9,2
2026-05-19,77,339,27953.0,50490.0,11,6
2026-05-20,113,8,5610.0,1172.0,9,3
2026-05-21,592,461,124762.0,29022.0,12,11
2026-05-22,42,35,18050.0,1857.0,11,5
2026-05-26,776,223,207558.0,21755.0,10,10
2026-05-27,287,269,233201.0,405011.0,15,12
2026-05-28,44,288,10630.0,78841.0,6,8
2026-05-29,35,36,6340.0,46577.00000000001,5,5
2026-06-01,2330,295,1077176.0,54515.0,26,18
2026-06-02,580,67,275923.00000000006,25361.0,13,11
2026-06-03,733,44,165827.0,8610.000000000002,12,4
2026-06-04,73,4,29890.0,710.0,6,4
2026-06-05,103,72,30157.0,38654.0,11,10
2026-06-08,635,51,898899.0000000001,68652.0,17,9
2026-06-09,144,313,68466.0,24398.0,15,5
2026-06-10,247,261,102224.0,35679.0,11,7
2026-06-11,83,15,55684.0,5736.0,11,5
2026-06-12,109,223,60425.0,26331.0,11,10
2026-06-15,127,523,57736.0,135917.0,11,10
2026-06-16,71,242,37959.0,65662.0,14,10
2026-06-17,143,470,70366.0,78747.0,12,12
2026-06-18,204,193,65300.0,20463.0,15,5
2026-06-22,97,103,22135.0,18745.0,10,7
2026-06-23,95,253,19151.0,47088.0,7,6
2026-06-24,211,365,98455.0,43408.0,18,11
2026-06-25,122,33,67790.0,3603.0,19,6
2026-06-26,43,105,14504.0,5036.0,8,7
2026-06-29,4454,403,922907.0,9376.0,25,9
2026-06-30,1544,44,1157826.0,6721.0,30,11
2026-07-01,905,1175,877875.0,97672.0,23,10
2026-07-02,823,52,168272.0,11733.0,14,10
2026-07-06,520,30,186122.0,5030.0,12,7
2026-07-07,39,11,13028.0,445.00000000000006,7,3
2026-07-08,30,233,22230.0,35594.0,9,8
2026-07-09,243,110,119025.0,13470.0,8,5
2026-07-10,130,30,49422.0,6595.0,10,9
2026-07-13,36,62,26498.0,13312.000000000002,11,7
2026-07-14,235,17,23067.0,495.0,8,5
2026-07-15,26,62,16692.0,5180.0,7,4
2026-07-16,816,6,304103.0,4710.0,9,2
2026-07-17,83,20,77573.0,3070.0,11,2
2026-07-20,17,16,13139.0,3706.0,5,4
2026-07-21,392,16,382341.00000000006,3240.0,4,5
2026-07-22,397,0,395450.0,0.0,4,0
2026-07-23,371,150,338025.0,57036.0,6,2
2026-07-24,347,11,363845.0,12746.0,3,4
2026-07-27,338,48,359807.0,3268.0,7,2
2026-07-28,331,142,382040.0,45100.0,5,6
2026-07-29,345,90,307796.0,12321.0,3,5
2026-07-30,373,37,361834.0,5120.0,4,3
2026-07-31,381,0,334767.0,0.0,3,0
2026-08-03,437,15,408351.0,1124.0,7,8
2026-08-04,935,3705,704144.0,628735.0,10,9
2026-08-05,339,267,333810.0,23107.0,5,8
2026-08-06,584,6574,449334.99999999994,787440.0,7,5
2026-08-07,379,45,404207.0,18462.0,6,4
2026-08-10,347,92,304290.0,10554.0,4,7
2026-08-11,337,228,283985.0,18978.0,8,10
2026-08-12,35,14,10496.0,721.0,5,4
2026-08-13,15,289,2550.0,42205.0,3,4
2026-08-14,12,119,5983.0,18957.0,6,8
2026-08-17,47,37,10964.0,13981.0,6,8
2026-08-18,55,12,41719.0,2042.0,12,6
2026-08-19,21,1,8437.0,85.0,8,1
2026-08-20,29,11,145.00000000000003,1295.0,1,2
2026-08-21,54,73,7394.0,9103.0,7,10
2026-08-24,21,21,3930.0,2422.0,8,8
2026-08-25,36,18,17758.0,5620.0,5,3
2026-08-26,1,19,401.99999999999994,2355.0,1,3
2026-08-27,3,375,125.00000000000001,563560.0,3,5
2026-08-28,5,4,2975.0,200.0,1,1
2026-08-31,8,43,2908.0,4409.0,2,3
2026-09-01,178,71,15021.0,10250.0,4,7
2026-09-02,63,141,21343.0,6330.0,8,6
2026-09-03,8,307,2030.0,10328.0,4,9
2026-09-04,79,1,10683.0,235.0,5,1
2026-09-08,3,41,2515.0,5158.0,3,4
2026-09-09,38,32,15613.000000000002,5446.0,5,7
2026-09-10,38,260,5502.0,17232.0,6,8
2026-09-11,16,14,5916.0,4406.0,4,3
2026-09-14,37,0,7016.0,0.0,4,0
2026-09-15,93,17,6027.0,2910.0,5,5
2026-09-16,393,7,4209.0,684.0,6,5
2026-09-17,35,390,3235.0,176360.0,5,5
2026-09-18,32,34,2182.0,3505.0,6,4
