date,call_vol,put_vol,call_prem,put_prem,n_call,n_put
2026-03-06,8,17,5980.0,15241.0,3,11
2026-03-09,20,152,24877.0,176233.0,9,20
2026-03-10,55,170,93484.0,98889.0,10,21
2026-03-11,25,14,16130.0,16290.0,10,5
2026-03-12,12,22,3241.0,86558.0,4,9
2026-03-13,18,61,42490.0,25767.0,10,8
2026-03-16,17,22,9211.0,37967.0,7,14
2026-03-17,32,59,32677.0,103772.0,10,19
2026-03-18,99,89,73863.0,78718.0,15,14
2026-03-19,101,245,135930.0,728425.0,17,44
2026-03-20,205,75,147493.0,148336.0,24,21
2026-03-23,145,17,151141.0,46911.0,15,9
2026-03-24,15,17,6836.0,51205.0,9,10
2026-03-25,27,170,21253.0,830316.0,14,18
2026-03-26,22,10,23487.0,48396.0,9,7
2026-03-27,8,25,7481.0,105434.0,6,15
2026-03-30,14,19,14377.0,47039.0,9,7
2026-03-31,68,13,38829.0,67834.0,10,9
2026-04-01,20,16,21471.0,28185.0,14,8
2026-04-02,20,34,63347.0,78944.0,7,11
2026-04-06,7,29,5491.0,25835.0,7,17
2026-04-07,2345,7,14443334.0,5575.0,13,4
2026-04-08,35,64,39625.0,136090.0,13,10
2026-04-09,58,33,46768.0,45028.0,11,15
2026-04-10,12,12,16622.0,20006.0,8,11
2026-04-13,91,27,65819.0,53495.0,10,12
2026-04-14,23,121,14236.0,36101.0,15,10
2026-04-15,52,14,40727.0,23155.0,7,9
2026-04-16,13,45,20777.0,21277.0,8,6
2026-04-17,65,91,67235.0,114207.0,19,11
2026-04-20,773,52,1160618.0,45230.0,10,8
2026-04-21,24,140,17754.0,120605.0,9,8
2026-04-22,115,173,135566.0,158561.0,3,12
2026-04-23,317,113,445707.0,55496.0,13,12
2026-04-24,90,198,127459.0,288742.0,24,31
2026-04-27,286,59,67857.0,61002.0,10,18
2026-04-28,34,33,19958.0,40760.0,13,15
2026-04-29,20,23,20751.0,27439.0,10,10
2026-04-30,13,61,11038.0,139452.0,8,16
2026-05-01,53,132,50579.0,206154.0,15,29
2026-05-04,100,360,185471.0,210512.0,19,18
2026-05-05,39,61,12686.0,62533.0,9,14
2026-05-06,15,25,13672.0,40022.0,8,11
2026-05-07,15,147,14278.0,258220.0,12,22
2026-05-08,30,56,33390.0,68784.0,6,11
2026-05-11,18,49,13537.0,100211.0,10,26
2026-05-12,38,20,10227.0,33920.0,13,9
2026-05-13,60,40,14925.0,51445.0,11,13
2026-05-14,14,201,8887.0,411631.0,10,22
2026-05-15,118,30,95943.0,43572.0,20,18
2026-05-18,210,42,126920.0,27729.0,19,14
2026-05-19,9,24,23687.0,13156.0,6,11
2026-05-20,15,14,55946.0,10406.0,9,5
2026-05-21,14,7,61558.99999999999,3101.0,3,4
2026-05-22,12,18,12650.0,15004.0,7,8
2026-05-26,17,10,11908.0,16635.0,7,9
2026-05-27,19,22,15425.000000000002,10324.0,3,4
2026-05-28,35,26,26669.0,37292.0,10,9
2026-05-29,12,10,13314.0,21828.0,7,7
2026-06-01,6,151,4665.0,397802.0,4,10
2026-06-02,14,67,19236.0,117978.0,6,18
2026-06-03,8,60,10259.0,131066.0,7,22
2026-06-04,10,47,12900.0,61854.0,7,9
2026-06-05,20,19,23801.0,25225.0,10,5
2026-06-08,70,31,114308.0,74368.0,12,7
2026-06-09,13,10,19508.0,13914.0,6,6
2026-06-10,13,20,12065.0,13296.0,8,10
2026-06-11,34,14,34502.0,14190.0,7,7
2026-06-12,12,41,11008.0,101442.0,5,6
2026-06-15,10,11,17342.0,11168.0,6,6
2026-06-16,24,17,22855.0,37861.0,9,8
2026-06-17,215,16,72428.0,23233.0,8,9
2026-06-18,35,147,22094.0,181967.0,12,11
2026-06-22,217,70,114397.0,150312.0,15,16
2026-06-23,90,99,82269.0,706390.0,8,15
2026-06-24,105,11,34090.0,6598.0,7,9
2026-06-25,12,23,17251.0,18342.0,6,13
2026-06-26,103,134,158663.0,329729.0,16,15
2026-06-29,64,16,74798.0,9654.0,15,8
2026-06-30,8,42,10621.0,35195.0,6,9
2026-07-01,86,54,129825.0,40903.0,23,14
2026-07-02,52,18,105406.0,23458.0,18,12
2026-07-06,20,12,45709.0,17362.0,10,3
2026-07-07,55,6,35289.0,8150.0,15,4
2026-07-08,15,341,21974.0,189340.0,9,5
2026-07-09,47,8,24327.0,7700.0,8,6
2026-07-10,20,2,81359.00000000001,1300.0,9,1
2026-07-13,21,4,22370.0,2542.0,12,4
2026-07-14,22,42,25146.0,6201.0,11,10
2026-07-15,42,82,111674.0,79390.0,10,23
2026-07-16,31,360,28589.0,401217.0,10,12
2026-07-17,46,526,85446.0,571840.0,16,13
2026-07-20,104,37,142996.0,42927.0,19,11
