date,call_vol,put_vol,call_prem,put_prem,n_call,n_put
2025-10-29,7768,3009,2724701.0,839007.0,198,134
2025-10-30,6659,2114,2458775.0,800123.0,180,117
2025-10-31,6219,5759,3625995.0,1339996.0,201,136
2025-11-03,15486,9278,4783641.0,2109582.0,221,146
2025-11-04,11894,4627,3880051.0,1629439.0,181,126
2025-11-05,38498,17050,11152648.0,4512154.0,239,192
2025-11-06,86269,33626,14401128.0,23540297.0,411,281
2025-11-07,62292,23141,10969474.0,6718428.0,414,316
2025-11-10,33692,8266,8525431.0,2115815.0,378,216
2025-11-11,26160,42978,3743934.0,4358048.0,283,159
2025-11-12,41343,9068,7078377.0,2006194.0,301,197
2025-11-13,14989,8720,3048095.0,4725826.0,269,181
2025-11-14,11804,8980,1795299.0,2999827.0,276,195
2025-11-17,39759,73449,4026041.0,12048696.0,311,233
2025-11-18,16623,7031,6759878.0,1566019.0,273,193
2025-11-19,5724,5919,899823.0,1639526.0,231,155
2025-11-20,18390,16992,4923887.0,7148957.0,275,198
2025-11-21,41643,28637,7841329.0,2399512.0,295,219
2025-11-24,29336,41159,4285928.0,5530943.0,311,229
2025-11-25,45239,8472,8382494.0,2092055.0,261,180
2025-11-26,22646,7337,3179827.0,1389266.0,262,160
2025-11-28,10597,6415,3112991.0,518972.0,208,152
2025-12-01,26086,14776,4770186.0,1652658.0,273,206
2025-12-02,12122,11825,2173372.0,1937428.0,233,169
2025-12-03,27378,8047,5339040.0,889899.0,214,150
2025-12-04,18944,11129,2964227.0,6408582.000000001,236,161
2025-12-05,10715,5558,1945544.0,955630.0,217,152
2025-12-08,23599,6864,7730612.0,920751.0,241,177
2025-12-09,12754,5469,2567911.0,746673.0,237,154
2025-12-10,7148,2287,2136996.0,360950.0,198,125
2025-12-11,5106,4243,1009612.0,1813093.0,199,145
2025-12-12,7815,3628,1226259.0,661553.0,211,154
2025-12-15,8131,2952,1238307.0,566154.0,191,143
2025-12-16,5608,3493,659177.0,659649.0,163,130
2025-12-17,20712,9021,4127612.0,1806711.0,248,182
2025-12-18,6708,4094,1105294.0,3609669.0,210,136
2025-12-19,9292,5002,1330702.0,1496939.0,195,146
2025-12-22,11264,5353,1779602.0,777901.0,239,161
2025-12-23,10118,4423,1346109.0,1080293.0,201,148
2025-12-24,3394,2161,671968.0,531200.0,167,119
2025-12-26,15057,6432,2121274.0,726653.0,239,156
2025-12-29,9059,5924,1905226.0,975357.0,216,152
2025-12-30,7081,2605,1725242.0,1081885.0,195,127
2025-12-31,8891,4938,1899337.0,907719.0,183,135
2026-01-02,19684,6828,6426742.0,924618.0,272,180
2026-01-05,10275,3902,2047610.0,716495.0,230,148
2026-01-06,6743,2251,1588651.0,330743.0,197,128
2026-01-07,32994,14582,17155197.0,634439.0,265,166
2026-01-08,9325,2962,3104485.0,395444.0,273,130
2026-01-09,15234,5459,6423527.0,512905.0,299,166
2026-01-12,11581,4816,5752801.0,678860.0,279,180
2026-01-13,3347,2061,1295225.0,353253.0,189,125
2026-01-14,8360,1937,4555663.0,310025.0,194,106
2026-01-15,5571,1799,2259942.0,370075.0,235,117
2026-01-16,14297,3405,6092110.0,441763.0,257,136
2026-01-20,15017,12109,6741498.0,3303258.0,275,171
2026-01-21,6779,4263,2360552.0,1092028.0,211,138
2026-01-22,4687,2328,1650811.0,595210.0,205,123
2026-01-23,8733,3275,1860031.0,898414.0,193,124
2026-01-26,4676,3548,1378419.0,873121.0,187,124
2026-01-27,4285,1214,1202441.0,463174.0,175,106
2026-01-28,2918,3710,831538.0,1001437.0,166,80
2026-01-29,4326,3465,1168052.0,1147647.0,182,114
2026-01-30,4941,4496,1102846.0,1207248.0,195,121
2026-02-02,5460,4295,1130437.0,1474731.0,183,127
2026-02-03,3721,2514,740274.0,805740.0,170,114
2026-02-04,21304,7700,7854616.0,3951338.0,211,156
2026-02-05,9853,4298,3563548.0,2572845.0,184,122
2026-02-06,20116,4032,7392244.0,777098.0,208,131
2026-02-09,17851,3984,4509186.0,1000221.0,176,136
2026-02-10,6548,4605,1457981.0,1009176.0,183,141
2026-02-11,19262,7756,4723746.0,2638912.0,227,174
2026-02-12,8423,4404,3774899.0,2400941.0,202,160
2026-02-13,9350,4077,2971882.0,828877.0,217,146
