date,call_vol,put_vol,call_prem,put_prem,n_call,n_put
2025-12-31,35,43,10013.0,5133.0,13,9
2026-01-02,21,146,39344.0,7445.0,3,4
2026-01-05,40,32,49124.0,6664.0,11,7
2026-01-06,54,4,27556.0,495.0,7,3
2026-01-07,262,3,146374.0,370.0,10,3
2026-01-08,14,12,3585.0,3133.0,8,5
2026-01-09,27,85,8562.0,4810.0,8,5
2026-01-12,85,111,20074.0,11690.0,10,6
2026-01-13,123,9,153614.0,1423.0,15,5
2026-01-14,344,16,193674.0,5699.0,10,5
2026-01-15,182,55,104587.0,1275.0,24,5
2026-01-16,1596,104,1131623.0,11294.0,15,5
2026-01-20,30,8,6134.0,2714.0,9,2
2026-01-21,75,9,45247.0,1259.0,10,5
2026-01-22,43,7,31274.0,1004.0,6,3
2026-01-23,16,5,6572.0,1042.0,9,3
2026-01-26,26,1,6777.0,85.0,6,1
2026-01-27,41,2,13605.0,395.0,9,2
2026-01-28,11,5,6717.0,1425.0,6,1
2026-01-29,16,64,7700.0,3790.0,6,8
2026-01-30,32,11,33531.0,845.0,7,3
2026-02-02,68,115,38533.0,20514.0,12,8
2026-02-03,90,77,123113.0,18990.0,16,8
2026-02-04,346,1962,146959.0,295585.0,11,11
2026-02-05,208,633,47928.0,61253.0,13,11
2026-02-06,523,645,300215.0,55420.0,21,16
2026-02-09,335,53,134391.0,9284.0,16,14
2026-02-10,50,277,57656.0,18988.0,9,8
2026-02-11,85,157,17475.0,11755.0,6,6
2026-02-12,129,81,48873.0,7063.0,13,9
2026-02-13,265,8,150175.0,2594.0,20,5
2026-02-17,137,14,124889.0,633.0,19,6
2026-02-18,494,86,81824.0,35022.0,20,13
2026-02-19,56,36,29469.0,12160.0,12,9
2026-02-20,138,14,97571.0,5374.0,20,5
2026-02-23,249,61,66903.0,11457.0,11,4
2026-02-24,54,91,43599.0,22722.0,13,10
2026-02-25,1333,45,268398.0,10408.0,19,7
2026-02-26,230,73,165547.0,170873.0,28,12
2026-02-27,101,20,53950.0,6532.0,24,5
2026-03-02,20,16,8878.0,2404.0,8,4
2026-03-03,69,62,45865.0,20195.0,14,7
2026-03-04,369,25,57753.0,2876.0000000000005,20,8
2026-03-05,82,338,23875.0,98158.99999999999,12,9
2026-03-06,520,357,124160.0,76302.0,25,12
2026-03-09,154,278,44596.0,95357.0,15,13
2026-03-10,82,126,65606.0,68515.0,13,9
2026-03-11,51,1011,17445.0,93629.0,9,5
2026-03-12,21,46,10730.0,18794.0,7,6
2026-03-13,159,1503,52424.0,220508.0,15,11
2026-03-16,102,19,129301.99999999999,19421.0,21,12
2026-03-17,69,21,50480.0,22413.0,13,4
2026-03-18,560,37,45799.0,2562.0,7,5
2026-03-19,69,26,21355.0,13541.0,9,13
2026-03-20,115,17,51272.0,3599.0,15,3
2026-03-23,73,32,26106.0,37700.0,12,7
2026-03-24,189,272,48821.0,39894.0,17,15
2026-03-25,72,71,27651.0,14115.0,11,8
2026-03-26,83,127,29039.0,18802.0,15,13
2026-03-27,93,49,49915.0,43407.0,13,9
2026-03-30,280,29,33549.0,12680.0,15,10
2026-03-31,27,313,17449.0,47458.0,10,6
2026-04-01,68,426,18682.0,45602.0,9,8
2026-04-02,32,85,26220.0,8315.0,10,4
2026-04-06,51,6,28990.0,1452.0,11,1
2026-04-07,56,9,25711.0,1977.0,11,5
2026-04-08,574,124,161140.0,3865.0,17,10
2026-04-09,242,169,71585.0,5731.0,22,7
2026-04-10,4603,72,186785.0,3762.0,13,5
2026-04-13,326,41,65125.0,55028.0,17,6
2026-04-14,336,60,27490.0,4851.0,14,4
2026-04-15,107,42,59166.0,9248.0,16,8
2026-04-16,181,283,64835.0,29393.0,16,8
2026-04-17,1183,24,395001.0,2856.0,26,3
2026-04-20,23,390,16798.0,64991.0,7,8
2026-04-21,1598,119,1280872.0,12631.0,10,6
2026-04-22,31,85,9356.0,44479.0,10,8
2026-04-23,64,9,36981.0,1470.0,9,4
2026-04-24,93,26,42885.0,10157.0,11,7
2026-04-27,466,123,265021.0,10335.0,18,7
2026-04-28,211,38,108772.00000000001,8246.0,14,10
2026-04-29,304,526,81681.0,104513.0,16,11
2026-04-30,2063,476,965331.0,169902.0,28,19
2026-05-01,337,314,73051.0,92287.0,14,11
2026-05-04,85,58,22110.0,13537.0,12,12
2026-05-05,113,24,136130.0,9022.0,14,3
2026-05-06,242,67,56768.0,30209.0,16,6
2026-05-07,71,5,19165.0,2560.0,9,3
2026-05-08,72,1111,15541.0,107617.0,14,9
2026-05-11,44,7,4283.0,3539.0,10,6
2026-05-12,106,13,11140.000000000002,3595.0,11,3
2026-05-13,86,1142,21200.0,63229.0,20,9
2026-05-14,322,11,84625.0,2800.0,23,5
2026-05-15,367,286,37527.0,64733.0,15,14
2026-05-18,99,43,50776.0,7071.0,15,12
2026-05-19,486,299,150533.0,33362.0,12,6
2026-05-20,3042,29,772719.0,7609.0,12,6
2026-05-21,41,7,8420.0,1773.0,6,4
2026-05-22,51,36,17290.0,5180.0,13,5
