size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
17531,AAL,12.7003,75663004,2025-07-23T23:58:23Z,False,222648.9593,,12.69,12.72,extended_hours_trade,L,1500,20,71903892110992,,regular,
15441,AAL,12.69,75643230,2025-07-23T23:56:32Z,False,195946.29,,12.70,12.72,extended_hours_trade,L,1500,497,71792669767734,,regular,
9990,AAL,12.7297,75598449,2025-07-23T23:29:57Z,False,127169.7030,,12.70,12.73,extended_hours_trade,L,800,265,70197404031665,,regular,
13000,AAL,12.7299,75563817,2025-07-23T22:55:33Z,False,165488.7000,,12.70,12.73,extended_hours_trade,L,70,40,68133813052813,,regular,
28844,AAL,12.7299,75488694,2025-07-23T22:27:10Z,False,367181.2356,,12.72,12.74,extended_hours_trade,L,86,423,66430400980790,,regular,
30000,AAL,12.70,75456112,2025-07-23T22:23:49Z,False,381000.00,,12.70,12.72,extended_hours_trade,L,889,2574,66229996971349,,regular,
8000,AAL,12.70,75307008,2025-07-23T21:25:29Z,False,101600.00,,12.70,12.71,extended_hours_trade,L,4000,750,62729498966335,,regular,
14000,AAL,12.70,75287267,2025-07-23T21:14:05Z,False,177800.00,,12.68,12.70,extended_hours_trade,L,195,250,62045929488812,,regular,
30200,AAL,12.69,75248137,2025-07-23T21:03:33Z,False,383238.00,,12.69,12.72,extended_hours_trade,L,4632,280,61413135482567,,regular,
534914,AAL,12.68,75095370,2025-07-23T20:31:00Z,False,6782709.52,prior_reference_price,12.68,12.70,extended_hours_trade,L,610,584,59460868656562,,regular,
10000,AAL,12.6898,74555917,2025-07-23T20:26:48Z,False,126898.0000,,12.68,12.70,extended_hours_trade,L,610,584,59208091018910,,regular,
9191,AAL,12.70,74534468,2025-07-23T20:18:31Z,False,116725.70,,12.68,12.74,extended_hours_trade,L,86,584,58711424171761,,regular,
10792,AAL,12.68,74451338,2025-07-23T20:00:11Z,False,136842.56,prior_reference_price,12.66,12.69,extended_hours_trade,L,10,305,57611378463628,,regular,
13540,AAL,12.68,74428087,2025-07-23T20:00:11Z,False,171687.20,prior_reference_price,12.66,12.69,extended_hours_trade,L,10,305,57611354990945,,regular,
13500,AAL,12.68,72415578,2025-07-23T20:00:00Z,False,171180.00,,12.69,12.70,extended_hours_trade,L,77610,15300,57600137927678,,regular,
8000,AAL,12.685,72110894,2025-07-23T19:59:55Z,False,101480.000,,12.68,12.69,,L,19022,216721,57595340434724,,regular,
19600,AAL,12.70,71887366,2025-07-23T19:59:50Z,False,248920.00,,12.69,12.70,,L,54515,37687,57590525954900,,regular,
16700,AAL,12.695,71866270,2025-07-23T19:59:50Z,False,212006.500,,12.69,12.70,,L,54515,37687,57590518922506,,regular,
15800,AAL,12.70,71732534,2025-07-23T19:59:42Z,False,200660.00,,12.69,12.70,,L,20071,71605,57582616432600,,regular,
8000,AAL,12.6901,71716625,2025-07-23T19:59:42Z,False,101520.8000,,12.69,12.70,,L,20071,71605,57582309344629,,regular,
8000,AAL,12.685,71541030,2025-07-23T19:59:30Z,False,101480.000,,12.68,12.69,,L,78316,247345,57570623585525,,regular,
19700,AAL,12.6799,71374450,2025-07-23T19:59:20Z,False,249794.0300,,12.68,12.69,,L,59757,134504,57560386466155,,regular,
17700,AAL,12.6799,71394350,2025-07-23T19:59:20Z,False,224434.2300,,12.68,12.69,,L,59757,134504,57560386998283,,regular,
9600,AAL,12.665,70758686,2025-07-23T19:58:58Z,False,121584.000,,12.66,12.67,,L,29372,75434,57538653575785,,regular,
8874,AAL,12.655,70333953,2025-07-23T19:58:22Z,False,112300.470,,12.65,12.66,,L,1347,80956,57502732774302,,regular,
9649,AAL,12.65,70021228,2025-07-23T19:58:08Z,False,122059.85,,12.64,12.65,,L,80672,96191,57488048434840,,regular,
8000,AAL,12.645,69944149,2025-07-23T19:58:01Z,False,101160.000,,12.64,12.65,,L,64016,42855,57481714969296,,regular,
8000,AAL,12.655,69815121,2025-07-23T19:57:53Z,False,101240.000,,12.65,12.66,,L,78453,76338,57473432775984,,regular,
8000,AAL,12.6701,69323498,2025-07-23T19:57:26Z,False,101360.8000,,12.66,12.67,,L,41598,51918,57446975724649,,regular,
7930,AAL,12.67,69258236,2025-07-23T19:57:09Z,False,100473.10,,12.67,12.68,,L,14046,43874,57429556346872,,regular,
8000,AAL,12.6799,69213556,2025-07-23T19:57:04Z,False,101439.2000,,12.67,12.68,,L,15962,43944,57424190226188,,regular,
8000,AAL,12.675,69153016,2025-07-23T19:57:02Z,False,101400.000,,12.67,12.68,,L,15962,43944,57422180105563,,regular,
39992,AAL,12.6682,68952629,2025-07-23T19:57:02Z,False,506626.6544,,12.67,12.68,,L,14362,32930,57422161190568,,regular,
7981,AAL,12.67,68736113,2025-07-23T19:56:23Z,False,101119.27,,12.66,12.67,,L,37343,11931,57383848650029,,regular,
9900,AAL,12.67,68700139,2025-07-23T19:56:16Z,False,125433.00,,12.66,12.67,,L,32436,30293,57376562936776,,regular,
8000,AAL,12.6648,68619309,2025-07-23T19:56:12Z,False,101318.4000,,12.66,12.67,,L,32261,30518,57372436031401,,regular,
10000,AAL,12.6699,68592967,2025-07-23T19:56:07Z,False,126699.0000,,12.66,12.67,,L,23736,43933,57367841817843,,regular,
10600,AAL,12.6865,68578367,2025-07-23T19:56:07Z,False,134476.9000,average_price_trade,12.66,12.67,,L,23736,43933,57367700091432,derivative_priced,regular,
22500,AAL,12.6865,68567767,2025-07-23T19:56:07Z,False,285446.2500,average_price_trade,12.66,12.67,,L,23736,43933,57367696072756,derivative_priced,regular,
8000,AAL,12.67,68507105,2025-07-23T19:55:56Z,False,101360.00,,12.66,12.67,,L,48036,32246,57356577559260,,regular,
8000,AAL,12.6648,68490798,2025-07-23T19:55:53Z,False,101318.4000,,12.66,12.67,,L,41519,36843,57353882260548,,regular,
9900,AAL,12.6799,68315082,2025-07-23T19:55:38Z,False,125531.0100,,12.67,12.68,,L,9344,33464,57338785726105,,regular,
9800,AAL,12.691,68302582,2025-07-23T19:55:38Z,False,124371.800,average_price_trade,12.67,12.68,,L,9344,33464,57338477577231,derivative_priced,regular,
9400,AAL,12.6799,68291327,2025-07-23T19:55:37Z,False,119191.0600,,12.67,12.68,,L,9344,33464,57337275833797,,regular,
8000,AAL,12.6752,68246339,2025-07-23T19:55:22Z,False,101401.6000,,12.67,12.68,,L,9703,25631,57322912807945,,regular,
8000,AAL,12.6752,68187820,2025-07-23T19:55:11Z,False,101401.6000,,12.67,12.68,,L,22647,29653,57311450685682,,regular,
8000,AAL,12.675,68179547,2025-07-23T19:55:11Z,False,101400.000,,12.67,12.68,,L,22647,29653,57311153838606,,regular,
8000,AAL,12.665,68043764,2025-07-23T19:55:10Z,False,101320.000,,12.66,12.67,,L,41458,16645,57310009786772,,regular,
8000,AAL,12.6648,68008636,2025-07-23T19:55:06Z,False,101318.4000,,12.66,12.67,,L,39454,37235,57306668048177,,regular,
