size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
41855,AAON,87.84,1078379,2026-01-14T21:19:19Z,False,3676543.20,prior_reference_price,83.01,163.13,extended_hours_trade,L,1,1,28273846468822,,regular,2026-01-14T21:19:19Z
2074,AAON,87.84,1036461,2026-01-14T21:00:38Z,False,182180.16,prior_reference_price,83.01,90,extended_hours_trade,L,1,1,28273845347995,,regular,2026-01-14T21:00:38Z
2400,AAON,87.84,1033508,2026-01-14T21:00:20Z,False,210816.00,prior_reference_price,83.01,90,extended_hours_trade,L,1,1,28273845330447,,regular,2026-01-14T21:00:20Z
1803,AAON,87.84,1030200,2026-01-14T21:00:20Z,False,158375.52,prior_reference_price,83.01,90,extended_hours_trade,L,1,1,28273845330035,,regular,2026-01-14T21:00:20Z
1900,AAON,87.84,936536,2026-01-14T21:00:00Z,False,166896.00,,83.01,90,extended_hours_trade,L,1,1,28273845310124,,regular,2026-01-14T21:00:00Z
1553,AAON,87.96,884306,2026-01-14T20:58:00Z,False,136601.88,,87.96,88.04,,L,205,50,28273845189655,,regular,2026-01-14T20:58:00Z
1159,AAON,87.97,834990,2026-01-14T20:53:53Z,False,101957.23,,87.88,88,,L,177,111,28273844943377,,regular,2026-01-14T20:53:53Z
5400,AAON,88,831291,2026-01-14T20:53:53Z,False,475200,,87.88,88,,L,177,111,28273844942733,,regular,2026-01-14T20:53:53Z
1270,AAON,88,825616,2026-01-14T20:53:53Z,False,111760,,87.88,88,,L,177,111,28273844942692,,regular,2026-01-14T20:53:53Z
1882,AAON,87.035,674910,2026-01-14T20:22:44Z,False,163799.870,,87.12,87.21,,L,3,54,28273843073994,,regular,2026-01-14T20:22:44Z
1798,AAON,87.18,668586,2026-01-14T20:22:44Z,False,156749.64,,87.12,87.21,,L,3,54,28273843073976,,regular,2026-01-14T20:22:44Z
1600,AAON,87.24,665641,2026-01-14T20:22:44Z,False,139584.00,,87.12,87.21,,L,3,54,28273843073972,,regular,2026-01-14T20:22:44Z
8749,AAON,86.94,647637,2026-01-14T20:17:37Z,False,760638.06,,86.75,87.13,,L,465,74,28273842767454,,regular,2026-01-14T20:17:37Z
13561,AAON,86.45,633389,2026-01-14T20:12:15Z,False,1172348.45,,86.4,86.46,,L,28,168,28273842445219,,regular,2026-01-14T20:12:15Z
1208,AAON,86,468906,2026-01-14T19:44:56Z,False,103888,,85.78,86.18,,L,7,33,28273840805588,,regular,2026-01-14T19:44:56Z
1600,AAON,85.94,458032,2026-01-14T19:44:54Z,False,137504.00,,85.76,85.96,,L,97,11,28273840804454,,regular,2026-01-14T19:44:54Z
1435,AAON,86.03,376598,2026-01-14T19:16:58Z,False,123453.05,,85.98,86.08,,L,46,297,28273839128172,,regular,2026-01-14T19:16:58Z
2131,AAON,85.8101,350363,2026-01-14T19:07:55Z,False,182861.3231,,85.76,85.94,,L,200,37,28273838585383,,regular,2026-01-14T19:07:55Z
1226,AAON,85.472,323718,2026-01-14T18:46:52Z,False,104788.672,,85.38,85.55,,L,8,10,28273837321716,,regular,2026-01-14T18:46:52Z
5300,AAON,84.85,294320,2026-01-14T18:18:16Z,False,449705.00,,84.79,85.21,,L,207,19,28273835606435,,regular,2026-01-14T18:18:16Z
3200,AAON,84.975,277188,2026-01-14T18:06:10Z,False,271920.000,,84.97,85.06,,L,200,100,28273834879918,,regular,2026-01-14T18:06:10Z
5000,AAON,84.87,229284,2026-01-14T17:44:34Z,False,424350.00,,84.82,85,,L,157,50,28273833583930,,regular,2026-01-14T17:44:34Z
2114,AAON,85.2115,130542,2026-01-14T16:38:11Z,False,180137.1110,,85.07,85.36,,L,428,6,28273829600786,,regular,2026-01-14T16:38:11Z
1267,AAON,84.885,28659,2026-01-14T14:49:11Z,False,107549.295,,84.48,85.18,,L,40,1,28273823061405,,regular,2026-01-14T14:49:11Z
6700,AAON,84.355,13215,2026-01-14T14:30:04Z,False,565178.500,,84.12,84.7,,L,26,1,28273821913623,,regular,2026-01-14T14:30:04Z
