size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4417,AAON,133.36,766715,2026-06-17T21:48:39Z,False,589051.12,average_price_trade,137,125.01,extended_hours_trade,L,23,1,28273848228659,,regular,2026-06-17T21:48:38Z
2098,AAON,133.36,762005,2026-06-17T20:00:22Z,False,279789.28,prior_reference_price,137,126,extended_hours_trade,L,23,3,28273841732437,,regular,2026-06-17T20:00:22Z
1781,AAON,133.36,759707,2026-06-17T20:00:22Z,False,237514.16,prior_reference_price,137,126,extended_hours_trade,L,23,3,28273841732159,,regular,2026-06-17T20:00:22Z
1982,AAON,133.36,757651,2026-06-17T20:00:22Z,False,264319.52,prior_reference_price,137,126,extended_hours_trade,L,23,3,28273841732147,,regular,2026-06-17T20:00:22Z
900,AAON,133.865,548922,2026-06-17T19:52:11Z,False,120478.500,,134.12,133.61,,L,705,449,28273841241276,,regular,2026-06-17T19:52:11Z
912,AAON,134.31,537542,2026-06-17T19:48:47Z,False,122490.72,,134.71,134.31,,L,78,125,28273841037103,,regular,2026-06-17T19:48:47Z
809,AAON,133.36,523710,2026-06-17T19:45:01Z,False,107888.24,,133.51,133.32,,L,139,26,28273840811141,,regular,2026-06-17T19:45:01Z
1040,AAON,136.515,444223,2026-06-17T19:06:21Z,False,141975.600,,136.83,136.29,,L,77,15,28273838491401,,regular,2026-06-17T19:06:21Z
898,AAON,134.9001,344776,2026-06-17T18:13:52Z,False,121140.2898,,135.55,134.9,,L,33,4,28273835342262,,regular,2026-06-17T18:13:52Z
1055,AAON,135.41,320211,2026-06-17T18:04:11Z,False,142857.55,,135,134.57,,L,20,5,28273834760943,,regular,2026-06-17T18:04:11Z
2200,AAON,137.2099,282992,2026-06-17T17:34:05Z,False,301861.7800,,137.37,137.16,,L,1,167,28273832955462,,regular,2026-06-17T17:34:05Z
1712,AAON,137.265,267092,2026-06-17T17:20:28Z,False,234997.680,,137.32,137.13,,L,27,59,28273832138266,,regular,2026-06-17T17:20:28Z
7700,AAON,136.175,131223,2026-06-17T15:14:27Z,False,1048547.500,,136.36,136.05,,L,42,19,28273824577042,,regular,2026-06-17T15:14:27Z
900,AAON,135.925,118761,2026-06-17T15:09:22Z,False,122332.500,,136.02,135.85,,L,12,86,28273824271571,,regular,2026-06-17T15:09:22Z
984,AAON,136.12,109508,2026-06-17T15:03:14Z,False,133942.08,,136.08,135.82,,L,1,11,28273823903676,,regular,2026-06-17T15:03:14Z
1334,AAON,134.695,59974,2026-06-17T14:17:44Z,False,179683.130,,135.34,134.46,,L,26,38,28273821173948,,regular,2026-06-17T14:17:44Z
1803,AAON,135.045,54027,2026-06-17T14:10:26Z,False,243486.135,,135.44,134.84,,L,15,1,28273820735907,,regular,2026-06-17T14:10:26Z
2490,AAON,134.92,27331,2026-06-17T13:51:49Z,False,335950.80,,135.49,134.27,,L,21,20,28273819618926,,regular,2026-06-17T13:51:49Z
1000,AAON,133.345,13791,2026-06-17T13:37:05Z,False,133345.000,,134.19,132.24,,L,24,29,28273818735369,,regular,2026-06-17T13:37:05Z
1000,AAON,133.31,11952,2026-06-17T13:36:18Z,False,133310.00,,133.31,131.13,,L,10,28,28273818688103,,regular,2026-06-17T13:36:18Z
