size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
7637,AAP,46.49,2786891,2025-06-30T21:51:52Z,False,355044.13,average_price_trade,45,46.49,extended_hours_trade,L,3,25,64312264441933,,regular,
26836,AAP,46.49,2779246,2025-06-30T20:32:54Z,False,1247605.64,average_price_trade,45,46.49,extended_hours_trade,L,3,25,59574540549109,,regular,
3000,AAP,46.405,2036773,2025-06-30T19:57:24Z,False,139215.000,,46.39,46.41,,L,8,102,57444519416756,,regular,
2642,AAP,46.10,1689610,2025-06-30T19:29:37Z,False,121796.20,,46.07,46.10,,L,275,5,55777205681535,,regular,
4836,AAP,45.93,1381719,2025-06-30T18:19:21Z,False,222117.48,,45.91,46.03,,L,200,12,51561524109091,,regular,
4646,AAP,45.8899,1119682,2025-06-30T17:14:04Z,False,213204.4754,,45.85,45.89,,L,212,10,47644339909172,,regular,
2277,AAP,45.425,951279,2025-06-30T16:28:16Z,False,103432.725,,45.38,45.46,,L,8,55,44896350958174,,regular,
2600,AAP,45.4699,940306,2025-06-30T16:26:20Z,False,118221.7400,,45.42,45.48,,L,27,201,44780978638808,,regular,
2442,AAP,45.535,668514,2025-06-30T15:02:06Z,False,111196.470,,45.51,45.60,,L,210,5,39726249975531,,regular,
5580,AAP,45.64,477616,2025-06-30T14:15:34Z,False,254671.20,,45.60,45.66,,L,16,4,36934806120723,,regular,
4700,AAP,44.9699,321966,2025-06-30T13:55:18Z,False,211358.5300,,44.93,44.97,,L,100,29,35718985487256,,regular,
4900,AAP,44.9769,311331,2025-06-30T13:54:53Z,False,220386.8100,,44.87,44.97,,L,20,25,35693209174183,,regular,
4095,AAP,45.09,304969,2025-06-30T13:54:32Z,False,184643.55,,44.91,45.09,,L,100,109,35672147067491,,regular,
10000,AAP,45.925,87617,2025-06-30T13:37:40Z,False,459250.000,,45.85,45.99,,L,150,142,34660499771288,,regular,
