size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6931,AAP,56.85,7320583,2025-08-14T20:04:52Z,False,394027.35,,58,56.85,extended_hours_trade,L,1,1,57892229874905,,regular,
1964,AAP,56.88,7077283,2025-08-14T19:59:36Z,False,111712.32,,56.88,56.87,,L,200,200,57576112961222,,regular,
2400,AAP,57.035,6935715,2025-08-14T19:57:54Z,False,136884.000,,57.14,57.06,,L,418,59,57474115732369,,regular,
3600,AAP,57.035,6617693,2025-08-14T19:49:32Z,False,205326.000,,57.07,57.04,,L,33,10,56972949532539,,regular,
1800,AAP,57.32,6544925,2025-08-14T19:48:23Z,False,103176.00,,57.33,57.30,,L,1135,102,56903121708979,,regular,
2000,AAP,57.36,6541444,2025-08-14T19:48:23Z,False,114720.00,,57.39,57.37,,L,100,274,56903100786693,,regular,
3000,AAP,57.4928,6494843,2025-08-14T19:47:03Z,False,172478.4000,,57.50,57.49,,L,179,42,56823496818253,,regular,
2000,AAP,57.4668,6480304,2025-08-14T19:46:47Z,False,114933.6000,,57.48,57.46,,L,105,12,56807835041584,,regular,
3204,AAP,56.69,6262374,2025-08-14T19:32:07Z,False,181634.76,,56.92,56.65,,L,1,271,55927339413971,,regular,
3000,AAP,56.975,6185630,2025-08-14T19:26:00Z,False,170925.000,,56.99,56.96,,L,100,14,55560699393062,,regular,
2200,AAP,57.0101,6054665,2025-08-14T19:16:50Z,False,125422.2200,,57.05,57.01,,L,17,136,55010870573539,,regular,
2200,AAP,57.0269,6048426,2025-08-14T19:16:15Z,False,125459.1800,,57.07,57,,L,100,400,54975773381857,,regular,
1900,AAP,56.935,6010320,2025-08-14T19:12:22Z,False,108176.500,,56.95,56.92,,L,35,388,54742013629290,,regular,
2902,AAP,56.5498,5920531,2025-08-14T19:01:33Z,False,164107.5196,,56.55,56.51,,L,290,20,54093047448294,,regular,
1755,AAP,57.0399,5579146,2025-08-14T18:18:17Z,False,100105.0245,,57.04,57,,L,60,212,51497939569752,,regular,
3300,AAP,56.9941,5576026,2025-08-14T18:17:52Z,False,188080.5300,,57.01,56.97,,L,129,222,51472954641967,,regular,
2993,AAP,56.80,5545155,2025-08-14T18:12:14Z,False,170002.40,,56.82,56.74,,L,100,1,51134407010932,,regular,
2412,AAP,57.1901,5489025,2025-08-14T18:03:32Z,False,137942.5212,,57.27,57.19,,L,38,140,50612678341538,,regular,
2709,AAP,57.165,5483098,2025-08-14T18:02:06Z,False,154859.985,,57.20,57.14,,L,100,213,50526601215214,,regular,
3750,AAP,57.2489,5471191,2025-08-14T18:00:12Z,False,214683.3750,,57.27,57.17,,L,50,9,50412551979678,,regular,
2200,AAP,57.21,5410834,2025-08-14T17:49:50Z,False,125862.00,,57.25,57.15,,L,133,50,49790840258462,,regular,
2200,AAP,57.3848,5349110,2025-08-14T17:42:29Z,False,126246.5600,,57.42,57.34,,L,183,171,49349983914689,,regular,
2800,AAP,57.1493,5211100,2025-08-14T17:31:37Z,False,160018.0400,,57.19,57.08,,L,54,129,48697070161912,,regular,
8200,AAP,57.04,5195305,2025-08-14T17:31:32Z,False,467728.00,,57.04,56.98,,L,150,11,48692717814545,,regular,
1798,AAP,56.865,5152374,2025-08-14T17:25:18Z,False,102243.270,,56.92,56.85,,L,200,77,48318061132226,,regular,
2500,AAP,56.8809,5147478,2025-08-14T17:24:58Z,False,142202.2500,,56.97,56.88,,L,172,100,48298221619835,,regular,
5000,AAP,57.28,5123867,2025-08-14T17:21:54Z,False,286400.00,,57.35,57.21,,L,50,90,48114089144327,,regular,
2021,AAP,57.3401,5088490,2025-08-14T17:19:45Z,False,115884.3421,,57.44,57.34,,L,150,105,47985906321503,,regular,
2979,AAP,57.3401,5091469,2025-08-14T17:19:45Z,False,170816.1579,,57.44,57.34,,L,150,105,47985906686862,,regular,
2200,AAP,57.3401,5074085,2025-08-14T17:16:55Z,False,126148.2200,,57.45,57.35,,L,3,50,47815843604561,,regular,
2200,AAP,57.2301,5055497,2025-08-14T17:14:25Z,False,125906.2200,,57.46,57.31,,L,50,7,47665651699031,,regular,
2200,AAP,57.0124,5040059,2025-08-14T17:12:58Z,False,125427.2800,,57.03,56.99,,L,209,215,47578040485430,,regular,
2800,AAP,57.0776,5011036,2025-08-14T17:09:43Z,False,159817.2800,,57.09,57.06,,L,9,51,47383472383849,,regular,
2200,AAP,57.181,5000174,2025-08-14T17:09:32Z,False,125798.200,,57.24,57.18,,L,157,87,47372209634721,,regular,
3000,AAP,57.275,4967084,2025-08-14T17:06:40Z,False,171825.000,,57.29,57.24,,L,15,50,47200209218398,,regular,
2200,AAP,57.24,4928189,2025-08-14T17:03:52Z,False,125928.00,,57.33,57.23,,L,50,50,47032456284496,,regular,
1900,AAP,57.18,4912262,2025-08-14T17:03:17Z,False,108642.00,,57.44,57.18,,L,3,150,46997303712755,,regular,
2200,AAP,57.3001,4830076,2025-08-14T16:55:37Z,False,126060.2200,,57.39,57.30,,L,22,305,46537886688499,,regular,
2800,AAP,57.345,4827876,2025-08-14T16:55:36Z,False,160566.000,,57.39,57.30,,L,22,305,46536181844046,,regular,
2800,AAP,57.285,4823521,2025-08-14T16:55:16Z,False,160398.000,,57.37,57.18,,L,100,313,46516624367262,,regular,
1856,AAP,57.18,4815720,2025-08-14T16:55:12Z,False,106126.08,,57.38,57.18,,L,56,411,46512497862295,,regular,
6300,AAP,57.075,4772716,2025-08-14T16:55:09Z,False,359572.500,,56.97,56.95,,L,15,9,46509214936919,,regular,
2800,AAP,57.0499,4541269,2025-08-14T16:41:35Z,False,159739.7200,,57.07,56.93,,L,100,165,45695326416181,,regular,
4000,AAP,56.5401,4509848,2025-08-14T16:39:15Z,False,226160.4000,,56.60,56.53,,L,13,20,45555728136364,,regular,
2236,AAP,55.7201,4378106,2025-08-14T16:19:56Z,False,124590.1436,,55.86,55.72,,L,100,100,44396966925535,,regular,
1800,AAP,56.3288,4253097,2025-08-14T16:07:07Z,False,101391.8400,,56.34,56.18,,L,26,4,43627043527718,,regular,
1956,AAP,56.04,4216330,2025-08-14T16:02:06Z,False,109614.24,,56.12,56,,L,23,9,43326491839850,,regular,
3800,AAP,56.845,4109039,2025-08-14T15:54:54Z,False,216011.000,,56.85,56.82,,L,80,210,42894016461622,,regular,
3950,AAP,56.85,4084183,2025-08-14T15:54:38Z,False,224557.50,,56.87,56.74,,L,243,50,42878814459392,,regular,
3157,AAP,56.82,3954974,2025-08-14T15:53:07Z,False,179380.74,,56.87,56.77,,L,300,200,42787490512847,,regular,
3600,AAP,56.235,3886903,2025-08-14T15:51:11Z,False,202446.000,,56.27,56.17,,L,50,84,42671948541123,,regular,
2000,AAP,56.3501,3879733,2025-08-14T15:51:00Z,False,112700.2000,,56.56,56.36,,L,50,9,42660469278244,,regular,
2057,AAP,56.0499,3835067,2025-08-14T15:48:46Z,False,115294.6443,,56.06,55.90,,L,21,100,42526748349569,,regular,
2643,AAP,56.0499,3833010,2025-08-14T15:48:46Z,False,148139.8857,,56.06,55.90,,L,21,100,42526747981519,,regular,
1900,AAP,56.0599,3824098,2025-08-14T15:48:25Z,False,106513.8100,,56.06,55.97,,L,111,86,42505521621886,,regular,
3000,AAP,56.12,3819298,2025-08-14T15:48:25Z,False,168360.00,,56.06,55.97,,L,111,86,42505506780290,,regular,
1974,AAP,55.8399,3804244,2025-08-14T15:48:19Z,False,110227.9626,,55.83,55.72,,L,16,268,42499521247037,,regular,
1902,AAP,55.69,3711992,2025-08-14T15:42:37Z,False,105922.38,,55.73,55.52,,L,150,50,42157145783789,,regular,
4000,AAP,55.37,3694676,2025-08-14T15:42:34Z,False,221480.00,,55.39,55.34,,L,300,150,42154173367930,,regular,
2000,AAP,55.4988,3652382,2025-08-14T15:42:00Z,False,110997.6000,,55.50,55.38,,L,100,100,42120365571599,,regular,
10500,AAP,54.855,3598453,2025-08-14T15:40:14Z,False,575977.500,,54.90,54.84,,L,39,300,42014378670774,,regular,
2500,AAP,54.9129,3585297,2025-08-14T15:40:09Z,False,137282.2500,,54.98,54.88,,L,32,200,42009294922785,,regular,
3000,AAP,54.145,3381520,2025-08-14T15:26:09Z,False,162435.000,,54.18,54.13,,L,59,37,41169114233995,,regular,
2584,AAP,54.541,3313287,2025-08-14T15:21:05Z,False,140933.944,,54.61,54.55,,L,27,1,40865919035268,,regular,
2400,AAP,54.47,3270606,2025-08-14T15:19:25Z,False,130728.00,,54.52,54.45,,L,7,30,40765242479973,,regular,
34600,AAP,54.86,3198572,2025-08-14T15:15:10Z,False,1898156.00,,54.89,54.86,,L,18,5,40510903958994,,regular,
2000,AAP,54.795,3085960,2025-08-14T15:12:23Z,False,109590.000,,54.81,54.75,,L,44,111,40343344961690,,regular,
2200,AAP,54.70,3075997,2025-08-14T15:11:39Z,False,120340.00,,54.66,54.60,,L,201,26,40299364593547,,regular,
3850,AAP,54,3001646,2025-08-14T15:06:03Z,False,207900,,53.92,53.63,,L,4,50,39963557753355,,regular,
2500,AAP,53.57,2970392,2025-08-14T15:04:14Z,False,133925.00,,53.57,53.48,,L,22,50,39854181247861,,regular,
6336,AAP,53.815,2931922,2025-08-14T15:02:06Z,False,340971.840,,53.85,53.77,,L,50,253,39726596761313,,regular,
4000,AAP,53.30,2616303,2025-08-14T14:39:43Z,False,213200.00,,53.33,53.29,,L,100,100,38383336334110,,regular,
1900,AAP,52.784,2554943,2025-08-14T14:36:44Z,False,100289.600,,52.85,52.79,,L,205,5,38204142294715,,regular,
2500,AAP,52.6448,2495325,2025-08-14T14:32:34Z,False,131612.0000,,52.74,52.57,,L,100,50,37954371375082,,regular,
2500,AAP,52.0044,2416500,2025-08-14T14:27:20Z,False,130011.0000,,52.01,52,,L,195,114,37640912619335,,regular,
2500,AAP,52.2156,2404629,2025-08-14T14:26:44Z,False,130539.0000,,52.22,52.21,,L,200,122,37604365760368,,regular,
2500,AAP,52.515,2316039,2025-08-14T14:22:39Z,False,131287.500,,52.61,52.43,,L,100,86,37359833765153,,regular,
2291,AAP,53.3998,2267216,2025-08-14T14:20:12Z,False,122338.9418,,53.29,53.23,,L,100,10,37212806782235,,regular,
2500,AAP,52.465,2140776,2025-08-14T14:16:06Z,False,131162.500,,52.52,52.30,,L,275,103,36966840409951,,regular,
2500,AAP,52.64,2045672,2025-08-14T14:13:39Z,False,131600.00,,52.71,52.60,,L,98,100,36819817462439,,regular,
2500,AAP,53.7401,1825719,2025-08-14T14:07:14Z,False,134350.2500,,53.90,53.74,,L,255,101,36434672959296,,regular,
5167,AAP,53.83,1696210,2025-08-14T14:02:10Z,False,278139.61,,54.01,53.94,,L,65,128,36130949585516,,regular,
5561,AAP,54.26,1666174,2025-08-14T14:02:06Z,False,301739.86,,54.28,54.24,,L,100,500,36126593945811,,regular,
2900,AAP,54.225,1659140,2025-08-14T14:02:03Z,False,157252.500,,54.27,54.17,,L,40,400,36123812260638,,regular,
1883,AAP,53.31,1429072,2025-08-14T13:53:57Z,False,100382.73,,53.41,53.40,,L,5,1,35637580412845,,regular,
2789,AAP,53.6216,1255925,2025-08-14T13:50:16Z,False,149550.6424,,53.72,53.62,,L,100,1,35416830704049,,regular,
4706,AAP,54.8099,1030991,2025-08-14T13:45:30Z,False,257935.3894,,54.88,54.74,,L,100,500,35130109601223,,regular,
3301,AAP,53.96,746038,2025-08-14T13:37:46Z,False,178121.96,,54.14,53.85,,L,50,2,34666209742972,,regular,
37600,AAP,53.96,741628,2025-08-14T13:37:45Z,False,2028896.00,,54.14,53.85,,L,50,2,34665971842854,,regular,
47099,AAP,53.96,704028,2025-08-14T13:37:45Z,False,2541462.04,,54.14,53.85,,L,50,2,34665966027166,,regular,
2000,AAP,53.475,633599,2025-08-14T13:37:02Z,False,106950.000,,53.67,53.35,,L,110,2,34622895232066,,regular,
6754,AAP,52.93,473884,2025-08-14T13:35:17Z,False,357489.22,,52.94,52.87,,L,28,1,34517608465089,,regular,
11100,AAP,53.67,397927,2025-08-14T13:34:19Z,False,595737.00,,53.86,53.48,,L,286,400,34459401102740,,regular,
5300,AAP,53.62,310331,2025-08-14T13:33:33Z,False,284186.00,,53.74,53.50,,L,178,300,34413578996323,,regular,
3000,AAP,53.62,304438,2025-08-14T13:33:32Z,False,160860.00,,53.74,53.50,,L,78,200,34412806232055,,regular,
5000,AAP,54.365,263746,2025-08-14T13:33:16Z,False,271825.000,,54.61,54.12,,L,339,525,34396956101171,,regular,
8400,AAP,54.365,258746,2025-08-14T13:33:16Z,False,456666.000,,54.61,54.12,,L,339,525,34396955475870,,regular,
6000,AAP,55,227027,2025-08-14T13:32:45Z,False,330000,,55.67,55.14,,L,21,14,34365089753519,,regular,
9000,AAP,55.97,206086,2025-08-14T13:32:31Z,False,503730.00,,56.18,55.76,,L,1,67,34351885258447,,regular,
