size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
10044,AA,72.41,4382621,2026-06-09T20:02:09Z,False,727286.04,prior_reference_price,70.53,74,extended_hours_trade,L,350,2000,37160129174518,,regular,2026-06-09T20:02:09Z
2281,AA,72.41,4371962,2026-06-09T20:01:51Z,False,165167.21,,70.53,74,extended_hours_trade,L,350,2000,37160129156392,,regular,2026-06-09T20:01:51Z
4000,AA,72.41,4368336,2026-06-09T20:01:51Z,False,289640.00,,70.53,74,extended_hours_trade,L,350,2000,37160129156377,,regular,2026-06-09T20:01:51Z
9500,AA,72.41,4362871,2026-06-09T20:01:51Z,False,687895.00,,70.53,74,extended_hours_trade,L,350,2000,37160129156355,,regular,2026-06-09T20:01:51Z
2730,AA,72.41,4352664,2026-06-09T20:01:51Z,False,197679.30,,70.53,74,extended_hours_trade,L,350,2000,37160129156335,,regular,2026-06-09T20:01:51Z
2244,AA,72.41,4348491,2026-06-09T20:01:51Z,False,162488.04,,70.53,74,extended_hours_trade,L,350,2000,37160129156319,,regular,2026-06-09T20:01:51Z
2322,AA,72.41,4345762,2026-06-09T20:01:51Z,False,168136.02,,70.53,74,extended_hours_trade,L,350,2000,37160129156309,,regular,2026-06-09T20:01:51Z
1586,AA,72.41,4343440,2026-06-09T20:01:51Z,False,114842.26,,70.53,74,extended_hours_trade,L,350,2000,37160129156307,,regular,2026-06-09T20:01:51Z
1516,AA,72.4337,3835292,2026-06-09T19:59:25Z,False,109809.4892,,72.43,72.45,,L,596,19,37160129010731,,regular,2026-06-09T19:59:25Z
1402,AA,72.225,3550781,2026-06-09T19:55:32Z,False,101259.450,,72.22,72.24,,L,200,35,37160128777476,,regular,2026-06-09T19:55:32Z
1400,AA,72.1992,3452324,2026-06-09T19:52:38Z,False,101078.8800,,72.18,72.21,,L,34,201,37160128603806,,regular,2026-06-09T19:52:38Z
1500,AA,72.155,3429130,2026-06-09T19:51:47Z,False,108232.500,,72.13,72.17,,L,14,179,37160128552636,,regular,2026-06-09T19:51:47Z
1784,AA,71.775,3311395,2026-06-09T19:47:30Z,False,128046.600,,71.76,71.79,,L,7,273,37160128295545,,regular,2026-06-09T19:47:30Z
1800,AA,71.82,3281666,2026-06-09T19:45:15Z,False,129276.00,,71.8,71.85,,L,4,22,37160128160986,,regular,2026-06-09T19:45:15Z
2000,AA,71.8,3263461,2026-06-09T19:43:01Z,False,143600.0,,71.8,71.84,,L,106,123,37160128026502,,regular,2026-06-09T19:43:01Z
1600,AA,71.719,3248765,2026-06-09T19:42:01Z,False,114750.400,,71.68,71.72,,L,100,242,37160127966450,,regular,2026-06-09T19:42:01Z
2015,AA,71.7,3245093,2026-06-09T19:42:00Z,False,144475.5,,71.68,71.72,,L,100,242,37160127965697,,regular,2026-06-09T19:42:00Z
2659,AA,72.035,3166208,2026-06-09T19:33:00Z,False,191541.065,,72.01,72.06,,L,200,79,37160127425361,,regular,2026-06-09T19:33:00Z
1800,AA,71.96,3146226,2026-06-09T19:31:25Z,False,129528.00,,71.94,71.98,,L,200,189,37160127330114,,regular,2026-06-09T19:31:25Z
1500,AA,71.878,3135447,2026-06-09T19:30:58Z,False,107817.000,,71.85,71.88,,L,106,63,37160127303560,,regular,2026-06-09T19:30:58Z
1880,AA,71.85,3126725,2026-06-09T19:30:15Z,False,135078.00,,71.83,71.85,,L,201,684,37160127260036,,regular,2026-06-09T19:30:15Z
2000,AA,71.88,3003192,2026-06-09T19:13:30Z,False,143760.00,,71.86,71.91,,L,324,2,37160126255396,,regular,2026-06-09T19:13:30Z
2344,AA,71.945,2981608,2026-06-09T19:09:30Z,False,168639.080,,71.93,71.97,,L,2,50,37160126015349,,regular,2026-06-09T19:09:30Z
1400,AA,71.81,2836644,2026-06-09T18:45:49Z,False,100534.00,,71.75,71.82,,L,297,257,37160124594562,,regular,2026-06-09T18:45:49Z
2902,AA,71.78,2811151,2026-06-09T18:41:58Z,False,208305.56,,71.77,71.81,,L,7,5,37160124363291,,regular,2026-06-09T18:41:58Z
2469,AA,71.64,2730482,2026-06-09T18:24:08Z,False,176879.16,,71.64,71.66,,L,100,64,37160123293067,,regular,2026-06-09T18:24:08Z
6513,AA,71.62,2726219,2026-06-09T18:24:07Z,False,466461.06,,71.63,71.66,,L,99,124,37160123292023,,regular,2026-06-09T18:24:07Z
2000,AA,71.57,2693835,2026-06-09T18:21:49Z,False,143140.00,,71.54,71.6,,L,122,114,37160123154209,,regular,2026-06-09T18:21:49Z
2000,AA,71.61,2690148,2026-06-09T18:21:14Z,False,143220.00,,71.58,71.63,,L,38,100,37160123119108,,regular,2026-06-09T18:21:14Z
6000,AA,71.4612,2669531,2026-06-09T18:17:29Z,False,428767.2000,,71.38,71.49,,L,112,93,37160122894916,,regular,2026-06-09T18:17:29Z
2000,AA,71.435,2626953,2026-06-09T18:08:26Z,False,142870.000,,71.43,71.47,,L,100,5,37160122351192,,regular,2026-06-09T18:08:26Z
1800,AA,71.13,2585849,2026-06-09T18:00:16Z,False,128034.00,,71.11,71.16,,L,100,1,37160121861232,,regular,2026-06-09T18:00:16Z
1500,AA,71.2341,2485144,2026-06-09T17:40:50Z,False,106851.1500,,71.21,71.35,,L,186,10,37160120695868,,regular,2026-06-09T17:40:49Z
2500,AA,71.04,2440754,2026-06-09T17:34:15Z,False,177600.00,,71.01,71.08,,L,12,60,37160120300067,,regular,2026-06-09T17:34:15Z
2000,AA,70.948,2378807,2026-06-09T17:23:23Z,False,141896.000,,70.88,70.95,,L,160,456,37160119648431,,regular,2026-06-09T17:23:23Z
1790,AA,70.94,2369259,2026-06-09T17:22:15Z,False,126982.60,,70.9,70.99,,L,200,153,37160119580038,,regular,2026-06-09T17:22:15Z
36796,AA,70.73,2349964,2026-06-09T17:20:46Z,False,2602581.08,,70.77,70.85,,L,12,21,37160119491221,,regular,2026-06-09T17:20:46Z
6385,AA,70.7601,2286077,2026-06-09T17:20:45Z,False,451803.2385,,70.78,70.87,,L,61,12,37160119490959,,regular,2026-06-09T17:20:45Z
5483,AA,70.7601,2291560,2026-06-09T17:20:45Z,False,387977.6283,,70.78,70.87,,L,61,12,37160119490959,,regular,2026-06-09T17:20:45Z
2200,AA,70.81,2278891,2026-06-09T17:20:45Z,False,155782.00,,70.78,70.87,,L,61,12,37160119490957,,regular,2026-06-09T17:20:45Z
4100,AA,70.81,2276364,2026-06-09T17:20:45Z,False,290321.00,,70.78,70.87,,L,61,12,37160119490954,,regular,2026-06-09T17:20:45Z
8726,AA,70.85,2269376,2026-06-09T17:20:21Z,False,618237.10,,70.84,70.88,,L,14,140,37160119466517,,regular,2026-06-09T17:20:21Z
3744,AA,70.89,2245832,2026-06-09T17:20:21Z,False,265412.16,,70.89,70.98,,L,37,50,37160119466330,,regular,2026-06-09T17:20:21Z
1600,AA,70.91,2224499,2026-06-09T17:20:21Z,False,113456.00,,70.92,70.99,,L,44,13,37160119466256,,regular,2026-06-09T17:20:21Z
7423,AA,70.96,2219012,2026-06-09T17:20:21Z,False,526736.08,,70.92,71.01,,L,25,3,37160119466228,,regular,2026-06-09T17:20:21Z
