size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6986,ABNB,149.7,13682566,2026-09-23T23:47:30Z,False,1045804.2,,149.87,149.58,extended_hours_trade,L,4,5,23785614536182,,regular,2026-09-23T23:47:30Z
700,ABNB,149.8182,13673482,2026-09-23T23:27:08Z,False,104872.7400,,150.19,149.85,extended_hours_trade,L,153,50,23785613313813,,regular,2026-09-23T23:27:08Z
900,ABNB,150.15,13662374,2026-09-23T21:27:06Z,False,135135.00,,150.38,150,extended_hours_trade,L,1,305,23785606111705,,regular,2026-09-23T21:27:06Z
1000,ABNB,150.0465,13661304,2026-09-23T21:23:55Z,False,150046.5000,,150.38,150,extended_hours_trade,L,1,305,23785605920619,,regular,2026-09-23T21:23:55Z
1000,ABNB,150.15,13653505,2026-09-23T20:33:58Z,False,150150.00,,150.19,150.11,extended_hours_trade,L,100,642,23785602924042,,regular,2026-09-23T20:33:58Z
9438,ABNB,149.58,13648917,2026-09-23T20:19:04Z,False,1411736.04,,150.19,149.83,extended_hours_trade,L,100,578,23785602029299,,regular,2026-09-23T20:19:02Z
2931,ABNB,149.58,13637545,2026-09-23T20:12:00Z,False,438418.98,average_price_trade,150.99,149.58,extended_hours_trade,L,100,5,23785601605807,,regular,2026-09-23T20:11:58Z
9204,ABNB,149.58,13634020,2026-09-23T20:08:35Z,False,1376734.32,prior_reference_price,151.6,149.58,extended_hours_trade,L,800,5,23785601401180,,regular,2026-09-23T20:08:35Z
137534,ABNB,151.4153,13624496,2026-09-23T20:08:20Z,False,20824751.8702,,151.6,149.58,extended_hours_trade,L,800,5,23785601386055,,regular,2026-09-23T20:08:20Z
1105,ABNB,150.53,13482910,2026-09-23T20:05:15Z,False,166335.65,,151.85,149.6,extended_hours_trade,L,340,8,23785601201201,,regular,2026-09-23T20:05:15Z
