size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
17148,ACHR,10.91,40705903,2025-10-23T20:00:26Z,False,187084.68,prior_reference_price,10.89,10.9,extended_hours_trade,L,3500,3500,0,,regular,
11902,ACHR,10.91,40678391,2025-10-23T20:00:26Z,False,129850.82,prior_reference_price,10.89,10.9,extended_hours_trade,L,3500,3500,0,,regular,
10000,ACHR,10.86,38447784,2025-10-23T19:57:09Z,False,108600.00,,10.86,10.87,,L,7209,1357,0,,regular,
13300,ACHR,10.8159,38297211,2025-10-23T19:56:06Z,False,143851.4700,average_price_trade,10.86,10.87,,L,1513,1208,0,derivative_priced,regular,
12000,ACHR,10.8601,38138843,2025-10-23T19:55:28Z,False,130321.2000,,10.86,10.87,,L,2564,800,0,,regular,
9700,ACHR,10.7956,37520807,2025-10-23T19:53:38Z,False,104717.3200,,10.79,10.8,,L,2791,1239,0,,regular,
9700,ACHR,10.775,37321567,2025-10-23T19:52:11Z,False,104517.500,,10.77,10.78,,L,624,2647,0,,regular,
9700,ACHR,10.7741,37296201,2025-10-23T19:52:08Z,False,104508.7700,,10.77,10.78,,L,2024,1946,0,,regular,
12000,ACHR,10.7899,37276873,2025-10-23T19:52:03Z,False,129478.8000,,10.78,10.79,,L,2432,1000,0,,regular,
9400,ACHR,10.7852,37264873,2025-10-23T19:52:02Z,False,101380.8800,,10.78,10.79,,L,2432,1000,0,,regular,
9400,ACHR,10.7701,37199552,2025-10-23T19:51:43Z,False,101238.9400,,10.77,10.78,,L,3181,469,0,,regular,
12000,ACHR,10.7801,37077319,2025-10-23T19:50:44Z,False,129361.2000,,10.78,10.79,,L,2850,778,0,,regular,
19935,ACHR,10.81,36835592,2025-10-23T19:49:42Z,False,215497.35,,10.8,10.81,,L,3258,3426,0,,regular,
10000,ACHR,10.8,36814833,2025-10-23T19:49:40Z,False,108000.0,,10.8,10.81,,L,3448,2926,0,,regular,
9382,ACHR,10.83,36695066,2025-10-23T19:48:29Z,False,101607.06,,10.82,10.83,,L,3337,1179,0,,regular,
9400,ACHR,10.8201,36624890,2025-10-23T19:47:33Z,False,101708.9400,,10.82,10.83,,L,7596,1530,0,,regular,
9400,ACHR,10.8301,36562107,2025-10-23T19:47:06Z,False,101802.9400,,10.83,10.84,,L,1490,2308,0,,regular,
9400,ACHR,10.8399,36548926,2025-10-23T19:47:01Z,False,101895.0600,,10.83,10.84,,L,1690,3108,0,,regular,
9400,ACHR,10.8202,36460662,2025-10-23T19:46:22Z,False,101709.8800,,10.82,10.83,,L,1835,754,0,,regular,
9400,ACHR,10.8101,36212611,2025-10-23T19:43:56Z,False,101614.9400,,10.81,10.82,,L,3230,661,0,,regular,
15800,ACHR,10.8,36107258,2025-10-23T19:43:23Z,False,170640.0,,10.8,10.81,,L,3300,3818,0,,regular,
18785,ACHR,10.93,34853721,2025-10-23T19:29:25Z,False,205320.05,,10.94,10.95,,L,1868,400,0,,regular,
11761,ACHR,10.95,34665413,2025-10-23T19:27:37Z,False,128782.95,,10.95,10.96,,L,2100,1970,0,,regular,
11600,ACHR,10.95,34605115,2025-10-23T19:27:37Z,False,127020.00,,10.95,10.96,,L,400,1966,0,,regular,
10000,ACHR,10.9799,34476205,2025-10-23T19:26:06Z,False,109799.0000,,10.97,10.98,,L,1400,1015,0,,regular,
9422,ACHR,10.98,34412670,2025-10-23T19:25:25Z,False,103453.56,,10.96,10.97,,L,2041,817,0,,regular,
