size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4134,ACM,68.29,985217,2026-07-17T20:00:22Z,False,282310.86,prior_reference_price,48,82.55,extended_hours_trade,L,70,10,28668978722807,,regular,2026-07-17T20:00:22Z
2371,ACM,68.29,981075,2026-07-17T20:00:22Z,False,161915.59,prior_reference_price,48,82.55,extended_hours_trade,L,70,10,28668978722801,,regular,2026-07-17T20:00:21Z
6300,ACM,68.29,973595,2026-07-17T20:00:04Z,False,430227.00,,48,82.55,extended_hours_trade,L,70,10,28668978704837,,regular,2026-07-17T20:00:03Z
1488,ACM,68.29,967295,2026-07-17T20:00:04Z,False,101615.52,,48,82.55,extended_hours_trade,L,70,10,28668978704836,,regular,2026-07-17T20:00:03Z
1900,ACM,68.29,964799,2026-07-17T20:00:03Z,False,129751.00,,48,82.55,extended_hours_trade,L,70,10,28668978704257,,regular,2026-07-17T20:00:03Z
5225,ACM,68.41,665861,2026-07-17T19:45:14Z,False,357442.25,,68.37,68.45,,L,150,215,28668977815458,,regular,2026-07-17T19:45:14Z
2474,ACM,68.4701,582453,2026-07-17T19:12:51Z,False,169395.0274,,68.47,68.53,,L,15,70,28668975872363,,regular,2026-07-17T19:12:51Z
1500,ACM,68.45,459119,2026-07-17T18:00:16Z,False,102675.00,,68.41,68.49,,L,70,194,28668971517423,,regular,2026-07-17T18:00:16Z
1500,ACM,68.265,408197,2026-07-17T17:27:08Z,False,102397.500,,68.2,68.33,,L,173,109,28668969529385,,regular,2026-07-17T17:27:08Z
1500,ACM,68.175,397544,2026-07-17T17:24:32Z,False,102262.500,,68.15,68.2,,L,1,100,28668969373427,,regular,2026-07-17T17:24:32Z
2285,ACM,69.142,105777,2026-07-17T14:16:44Z,False,157989.470,,69.12,69.23,,L,20,27,28668958105011,,regular,2026-07-17T14:16:43Z
1500,ACM,69.45,29733,2026-07-17T13:40:19Z,False,104175.00,,68.99,69.71,,L,1,248,28668955920637,,regular,2026-07-17T13:40:19Z
