size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
5436,ACN,197.55,4636286,2026-03-30T21:45:16Z,False,1073881.80,prior_reference_price,198,196,extended_hours_trade,L,110,1,33513708127504,,regular,2026-03-30T21:45:16Z
1083,ACN,197.55,4630397,2026-03-30T21:02:41Z,False,213946.65,prior_reference_price,198,196,extended_hours_trade_late_or_out_of_sequence,L,110,1,33513705572375,,regular,2026-03-30T21:02:41Z
2128,ACN,197.11,4628610,2026-03-30T20:58:54Z,False,419450.08,,198,196,sold_out_of_sequence,L,110,1,33513705345204,,regular,2026-03-30T20:58:54Z
597,ACN,195.95,4626382,2026-03-30T20:58:32Z,False,116982.15,,198,196,sold_out_of_sequence,L,110,1,33513705323070,,regular,2026-03-30T20:58:32Z
2460,ACN,196.18,4625755,2026-03-30T20:58:04Z,False,482602.80,,198,196,sold_out_of_sequence,L,110,1,33513705294949,,regular,2026-03-30T20:58:04Z
9108,ACN,197.55,4623041,2026-03-30T20:53:34Z,False,1799285.40,prior_reference_price,197.97,196.68,extended_hours_trade,L,50,50,33513705024831,,regular,2026-03-30T20:53:34Z
100000,ACN,197.55,4613649,2026-03-30T20:04:39Z,False,19755000.00,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513702090212,,regular,2026-03-30T20:04:39Z
816,ACN,197.55,4512749,2026-03-30T20:04:33Z,False,161200.80,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513702084620,,regular,2026-03-30T20:04:33Z
5280,ACN,197.55,4510537,2026-03-30T20:04:31Z,False,1043064.00,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513702081976,,regular,2026-03-30T20:04:31Z
3039,ACN,197.55,4504900,2026-03-30T20:04:12Z,False,600354.45,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513702063107,,regular,2026-03-30T20:04:12Z
3692,ACN,197.55,4501735,2026-03-30T20:03:40Z,False,729354.60,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513702031081,,regular,2026-03-30T20:03:40Z
2145,ACN,197.55,4498043,2026-03-30T20:03:40Z,False,423744.75,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513702031018,,regular,2026-03-30T20:03:40Z
1680,ACN,197.55,4494732,2026-03-30T20:02:43Z,False,331884.00,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513701974266,,regular,2026-03-30T20:02:43Z
813,ACN,197.55,4493052,2026-03-30T20:02:35Z,False,160608.15,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513701966658,,regular,2026-03-30T20:02:35Z
1224,ACN,197.55,4492215,2026-03-30T20:02:21Z,False,241801.20,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513701952492,,regular,2026-03-30T20:02:21Z
4908,ACN,197.55,4489944,2026-03-30T20:01:07Z,False,969575.40,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513701878012,,regular,2026-03-30T20:01:07Z
1252,ACN,197.55,4485036,2026-03-30T20:01:07Z,False,247332.60,prior_reference_price,198.15,197.04,extended_hours_trade,L,1,87,33513701877946,,regular,2026-03-30T20:01:07Z
11144,ACN,197.55,4483163,2026-03-30T20:00:32Z,False,2201497.20,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701843634,,regular,2026-03-30T20:00:32Z
35800,ACN,197.55,4471136,2026-03-30T20:00:22Z,False,7072290.00,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701833533,,regular,2026-03-30T20:00:22Z
583,ACN,197.55,4435336,2026-03-30T20:00:22Z,False,115171.65,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701833142,,regular,2026-03-30T20:00:22Z
663,ACN,197.55,4434753,2026-03-30T20:00:22Z,False,130975.65,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701833139,,regular,2026-03-30T20:00:22Z
814,ACN,197.55,4433868,2026-03-30T20:00:22Z,False,160805.70,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701833113,,regular,2026-03-30T20:00:22Z
6660,ACN,197.55,4431177,2026-03-30T20:00:22Z,False,1315683.00,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701833075,,regular,2026-03-30T20:00:22Z
924,ACN,197.55,4423909,2026-03-30T20:00:22Z,False,182536.20,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832900,,regular,2026-03-30T20:00:22Z
5421,ACN,197.55,4422047,2026-03-30T20:00:22Z,False,1070918.55,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832872,,regular,2026-03-30T20:00:22Z
7225,ACN,197.55,4416585,2026-03-30T20:00:22Z,False,1427298.75,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832856,,regular,2026-03-30T20:00:22Z
5728,ACN,197.55,4409360,2026-03-30T20:00:22Z,False,1131566.40,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832850,,regular,2026-03-30T20:00:22Z
5200,ACN,197.55,4403632,2026-03-30T20:00:22Z,False,1027260.00,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832846,,regular,2026-03-30T20:00:22Z
648,ACN,197.55,4398191,2026-03-30T20:00:22Z,False,128012.40,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832777,,regular,2026-03-30T20:00:22Z
656,ACN,197.55,4397176,2026-03-30T20:00:22Z,False,129592.80,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832771,,regular,2026-03-30T20:00:22Z
821,ACN,197.55,4396520,2026-03-30T20:00:22Z,False,162188.55,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832765,,regular,2026-03-30T20:00:22Z
757,ACN,197.55,4395699,2026-03-30T20:00:22Z,False,149545.35,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832764,,regular,2026-03-30T20:00:22Z
1407,ACN,197.55,4394942,2026-03-30T20:00:22Z,False,277952.85,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701832761,,regular,2026-03-30T20:00:22Z
714,ACN,197.55,4393346,2026-03-30T20:00:20Z,False,141050.70,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701831558,,regular,2026-03-30T20:00:20Z
6225,ACN,197.55,4392238,2026-03-30T20:00:17Z,False,1229748.75,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701828158,,regular,2026-03-30T20:00:17Z
536,ACN,197.55,4385761,2026-03-30T20:00:16Z,False,105886.80,prior_reference_price,198.15,197.6,extended_hours_trade,L,1,4,33513701826855,,regular,2026-03-30T20:00:16Z
10510,ACN,197.55,4384551,2026-03-30T20:00:08Z,False,2076250.50,average_price_trade,198.15,197.6,extended_hours_trade,L,1,4,33513701819252,,regular,2026-03-30T20:00:08Z
1000,ACN,197.55,4372662,2026-03-30T20:00:05Z,False,197550.00,,198.15,197.6,extended_hours_trade,L,1,4,33513701816134,,regular,2026-03-30T20:00:05Z
7912,ACN,197.55,4366784,2026-03-30T20:00:02Z,False,1563015.60,,198.15,197.6,extended_hours_trade,L,1,4,33513701813606,,regular,2026-03-30T20:00:02Z
2098,ACN,197.55,4368882,2026-03-30T20:00:02Z,False,414459.90,,198.15,197.6,extended_hours_trade,L,1,4,33513701813606,,regular,2026-03-30T20:00:02Z
1275,ACN,197.55,4370157,2026-03-30T20:00:02Z,False,251876.25,,198.15,197.6,extended_hours_trade,L,1,4,33513701813606,,regular,2026-03-30T20:00:02Z
744,ACN,197.55,4370901,2026-03-30T20:00:02Z,False,146977.20,,198.15,197.6,extended_hours_trade,L,1,4,33513701813606,,regular,2026-03-30T20:00:02Z
3619,ACN,197.55,4354766,2026-03-30T20:00:02Z,False,714933.45,,198.15,197.6,extended_hours_trade,L,1,4,33513701813551,,regular,2026-03-30T20:00:02Z
3195,ACN,197.55,4358261,2026-03-30T20:00:02Z,False,631172.25,,198.15,197.6,extended_hours_trade,L,1,4,33513701813551,,regular,2026-03-30T20:00:02Z
1000,ACN,197.41,3187046,2026-03-30T19:59:04Z,False,197410.00,,197.5,197.42,,L,285,46,33513701755508,,regular,2026-03-30T19:59:04Z
1100,ACN,197.3486,3138608,2026-03-30T19:58:37Z,False,217083.4600,average_price_trade,197.33,197.24,,L,172,11,33513701728593,derivative_priced,regular,2026-03-30T19:58:37Z
597,ACN,197.33,3122715,2026-03-30T19:58:04Z,False,117806.01,,197.36,197.31,,L,84,46,33513701695301,,regular,2026-03-30T19:58:04Z
900,ACN,197.3919,3095954,2026-03-30T19:57:20Z,False,177652.7100,average_price_trade,197.39,197.35,,L,111,48,33513701651249,derivative_priced,regular,2026-03-30T19:57:20Z
1500,ACN,197.4146,3093876,2026-03-30T19:57:18Z,False,296121.9000,average_price_trade,197.4,197.35,,L,130,48,33513701649429,derivative_priced,regular,2026-03-30T19:57:18Z
800,ACN,197.61,3046170,2026-03-30T19:55:31Z,False,158088.00,,197.66,197.52,,L,83,217,33513701541815,,regular,2026-03-30T19:55:31Z
600,ACN,197.3102,3028131,2026-03-30T19:54:56Z,False,118386.1200,average_price_trade,197.45,197.42,,L,175,3,33513701506900,derivative_priced,regular,2026-03-30T19:54:56Z
800,ACN,197.4,3024282,2026-03-30T19:54:41Z,False,157920.0,,197.43,197.37,,L,100,64,33513701492471,,regular,2026-03-30T19:54:41Z
1000,ACN,197.42,2993459,2026-03-30T19:53:45Z,False,197420.00,,197.4,197.34,,L,55,41,33513701436564,,regular,2026-03-30T19:53:45Z
600,ACN,197.2622,2982215,2026-03-30T19:53:30Z,False,118357.3200,average_price_trade,197.31,197.22,,L,181,2,33513701420739,derivative_priced,regular,2026-03-30T19:53:30Z
4657,ACN,197.2158,2974216,2026-03-30T19:53:05Z,False,918433.9806,,197.23,197.21,,L,101,118,33513701396453,,regular,2026-03-30T19:53:05Z
900,ACN,197.0658,2913844,2026-03-30T19:49:15Z,False,177359.2200,average_price_trade,197.26,197.14,,L,14,176,33513701166115,derivative_priced,regular,2026-03-30T19:49:15Z
600,ACN,196.7871,2851498,2026-03-30T19:41:56Z,False,118072.2600,average_price_trade,197.06,196.98,,L,11,229,33513700726775,derivative_priced,regular,2026-03-30T19:41:56Z
736,ACN,196.8686,2837454,2026-03-30T19:40:26Z,False,144895.2896,,196.8,196.75,,L,15,26,33513700636765,,regular,2026-03-30T19:40:26Z
600,ACN,196.72,2831170,2026-03-30T19:39:24Z,False,118032.00,,196.81,196.71,,L,55,20,33513700575498,,regular,2026-03-30T19:39:24Z
516,ACN,196.87,2819226,2026-03-30T19:37:10Z,False,101584.92,,196.86,196.77,,L,6,71,33513700441336,,regular,2026-03-30T19:37:10Z
600,ACN,196.671,2818145,2026-03-30T19:37:08Z,False,118002.600,average_price_trade,196.87,196.8,,L,13,25,33513700438878,derivative_priced,regular,2026-03-30T19:37:08Z
782,ACN,196.8527,2815385,2026-03-30T19:36:52Z,False,153938.8114,,196.95,196.84,,L,22,97,33513700422775,,regular,2026-03-30T19:36:52Z
3622,ACN,196.91,2811342,2026-03-30T19:36:35Z,False,713208.02,,196.84,196.74,,L,8,15,33513700406472,,regular,2026-03-30T19:36:35Z
1323,ACN,196.5081,2787095,2026-03-30T19:34:50Z,False,259980.2163,,196.55,196.44,,L,15,166,33513700300811,,regular,2026-03-30T19:34:50Z
562,ACN,196.43,2780049,2026-03-30T19:33:40Z,False,110393.66,,196.44,196.34,,L,134,34,33513700230948,,regular,2026-03-30T19:33:40Z
1100,ACN,196.5801,2775163,2026-03-30T19:32:43Z,False,216238.1100,average_price_trade,196.62,196.58,,L,66,6,33513700173834,derivative_priced,regular,2026-03-30T19:32:43Z
600,ACN,196.6048,2770285,2026-03-30T19:32:02Z,False,117962.8800,average_price_trade,196.47,196.4,,L,3,98,33513700133451,derivative_priced,regular,2026-03-30T19:32:02Z
609,ACN,196.39,2748746,2026-03-30T19:30:29Z,False,119601.51,,196.45,196.31,,L,18,60,33513700039733,,regular,2026-03-30T19:30:29Z
600,ACN,196.73,2728765,2026-03-30T19:28:15Z,False,118038.00,,196.74,196.7,,L,44,2,33513699906546,,regular,2026-03-30T19:28:15Z
600,ACN,196.8,2727938,2026-03-30T19:28:14Z,False,118080.0,,196.75,196.7,,L,57,2,33513699905519,,regular,2026-03-30T19:28:14Z
800,ACN,196.8,2718552,2026-03-30T19:28:14Z,False,157440.0,,196.8,196.7,,L,186,182,33513699905470,,regular,2026-03-30T19:28:14Z
600,ACN,196.8,2719152,2026-03-30T19:28:14Z,False,118080.0,,196.8,196.7,,L,186,182,33513699905470,,regular,2026-03-30T19:28:14Z
