size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
16185,ACN,177,3821806,2026-05-26T20:12:40Z,False,2864745,prior_reference_price,176.66,178.73,extended_hours_trade,L,1,5,33513702571077,,regular,2026-05-26T20:12:40Z
4486,ACN,177,3805621,2026-05-26T20:12:38Z,False,794022,prior_reference_price,176.66,178.73,extended_hours_trade,L,1,5,33513702569233,,regular,2026-05-26T20:12:38Z
1400,ACN,177,3800487,2026-05-26T20:00:30Z,False,247800,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,5,33513701841250,,regular,2026-05-26T20:00:30Z
5316,ACN,177,3799086,2026-05-26T20:00:30Z,False,940932,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,5,33513701841203,,regular,2026-05-26T20:00:30Z
5370,ACN,177,3793516,2026-05-26T20:00:30Z,False,950490,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,5,33513701841094,,regular,2026-05-26T20:00:30Z
800,ACN,177,3788102,2026-05-26T20:00:30Z,False,141600,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,5,33513701841069,,regular,2026-05-26T20:00:30Z
5397,ACN,177,3786882,2026-05-26T20:00:30Z,False,955269,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,5,33513701840900,,regular,2026-05-26T20:00:30Z
4628,ACN,177,3781485,2026-05-26T20:00:30Z,False,819156,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,5,33513701840878,,regular,2026-05-26T20:00:29Z
2128,ACN,177,3776857,2026-05-26T20:00:29Z,False,376656,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,5,33513701840516,,regular,2026-05-26T20:00:29Z
5397,ACN,177,3774729,2026-05-26T20:00:29Z,False,955269,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,45,33513701840331,,regular,2026-05-26T20:00:29Z
737,ACN,177,3768999,2026-05-26T20:00:24Z,False,130449,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,45,33513701835520,,regular,2026-05-26T20:00:24Z
788,ACN,177,3768262,2026-05-26T20:00:24Z,False,139476,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,45,33513701835415,,regular,2026-05-26T20:00:24Z
837,ACN,177,3767474,2026-05-26T20:00:24Z,False,148149,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,45,33513701835311,,regular,2026-05-26T20:00:24Z
849,ACN,177,3766637,2026-05-26T20:00:24Z,False,150273,prior_reference_price,176.66,178.04,extended_hours_trade,L,40,45,33513701835197,,regular,2026-05-26T20:00:24Z
