size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
11115,ADBE,350.14,5338342,2025-10-06T22:27:11Z,False,3891806.10,prior_reference_price,350.5,350,extended_hours_trade,L,50,2,0,,regular,
400,ADBE,350,5327101,2025-10-06T22:21:39Z,False,140000,,350.13,350,extended_hours_trade,L,7,2,0,,regular,
72626,ADBE,350.14,5325740,2025-10-06T21:18:31Z,False,25429267.64,average_price_trade,350.5,349.31,extended_hours_trade,L,50,10,0,,regular,
12237,ADBE,350.14,5252119,2025-10-06T20:54:18Z,False,4284663.18,average_price_trade,350.5,349.83,extended_hours_trade,L,50,6,0,,regular,
54820,ADBE,350.14,5239011,2025-10-06T20:42:16Z,False,19194674.80,prior_reference_price,350.5,349.83,extended_hours_trade,L,50,6,0,,regular,
300,ADBE,350.7,5184112,2025-10-06T20:39:06Z,False,105210.0,,350.5,349.83,extended_hours_trade,L,50,6,0,,regular,
4463,ADBE,350.14,5182394,2025-10-06T20:07:47Z,False,1562674.82,prior_reference_price,352,349.83,extended_hours_trade,L,500,6,0,,regular,
1154,ADBE,350.14,5177924,2025-10-06T20:05:49Z,False,404061.56,,352,349.83,extended_hours_trade,L,500,6,0,,regular,
491,ADBE,350.14,5176714,2025-10-06T20:02:55Z,False,171918.74,prior_reference_price,352,349.83,extended_hours_trade,L,500,6,0,,regular,
457,ADBE,350.14,5175776,2025-10-06T20:02:48Z,False,160013.98,prior_reference_price,352,349.83,extended_hours_trade,L,500,6,0,,regular,
494,ADBE,350.14,5174864,2025-10-06T20:02:41Z,False,172969.16,prior_reference_price,352,349.83,extended_hours_trade,L,500,6,0,,regular,
492,ADBE,350.14,5172461,2025-10-06T20:01:14Z,False,172268.88,prior_reference_price,351.6,349.83,extended_hours_trade,L,80,6,0,,regular,
3500,ADBE,350.14,5171969,2025-10-06T20:01:03Z,False,1225490.00,prior_reference_price,351.6,349.83,extended_hours_trade,L,80,6,0,,regular,
288,ADBE,350.14,5168355,2025-10-06T20:00:30Z,False,100840.32,prior_reference_price,351.6,350.2,extended_hours_trade,L,80,20,0,,regular,
756,ADBE,350.14,5167874,2025-10-06T20:00:27Z,False,264705.84,prior_reference_price,351.6,350.2,extended_hours_trade,L,80,20,0,,regular,
384,ADBE,350.14,5167118,2025-10-06T20:00:24Z,False,134453.76,prior_reference_price,351.6,350.2,extended_hours_trade,L,80,20,0,,regular,
323,ADBE,350.14,5166065,2025-10-06T20:00:14Z,False,113095.22,prior_reference_price,351.6,350.2,extended_hours_trade,L,80,20,0,,regular,
957,ADBE,350.14,5165117,2025-10-06T20:00:11Z,False,335083.98,prior_reference_price,351.6,350.2,extended_hours_trade,L,80,20,0,,regular,
