size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1780,AEIS,384.66,630464,2026-06-22T20:01:22Z,False,684694.80,,388,395.98,extended_hours_trade,L,1,40,29669706163388,,regular,2026-06-22T20:01:21Z
297,AEIS,388.23,628437,2026-06-22T20:00:27Z,False,115304.31,prior_reference_price,381.5,395.98,extended_hours_trade,L,1,5,29669706107997,,regular,2026-06-22T20:00:27Z
491,AEIS,388.23,628140,2026-06-22T20:00:27Z,False,190620.93,prior_reference_price,381.5,395.98,extended_hours_trade,L,1,5,29669706107948,,regular,2026-06-22T20:00:27Z
5152,AEIS,388.23,627649,2026-06-22T20:00:27Z,False,2000160.96,prior_reference_price,381.5,395.98,extended_hours_trade,L,1,5,29669706107902,,regular,2026-06-22T20:00:27Z
368,AEIS,388.23,622217,2026-06-22T20:00:13Z,False,142868.64,prior_reference_price,381.5,395.98,extended_hours_trade,L,1,5,29669706094133,,regular,2026-06-22T20:00:13Z
715,AEIS,388.23,621833,2026-06-22T20:00:13Z,False,277584.45,prior_reference_price,381.5,395.98,extended_hours_trade,L,1,5,29669706094125,,regular,2026-06-22T20:00:13Z
653,AEIS,388.23,621118,2026-06-22T20:00:13Z,False,253514.19,prior_reference_price,381.5,395.98,extended_hours_trade,L,1,5,29669706094123,,regular,2026-06-22T20:00:13Z
763,AEIS,388.23,619944,2026-06-22T20:00:01Z,False,296219.49,,387.9,389.94,extended_hours_trade,L,128,128,29669706082275,,regular,2026-06-22T20:00:00Z
275,AEIS,389.02,471312,2026-06-22T19:58:22Z,False,106980.50,,389.02,389.1,,L,127,308,29669705983177,,regular,2026-06-22T19:58:22Z
268,AEIS,388.905,468437,2026-06-22T19:57:58Z,False,104226.540,,388.76,389,,L,30,11,29669705958856,,regular,2026-06-22T19:57:58Z
360,AEIS,388.77,465203,2026-06-22T19:57:30Z,False,139957.20,,388.55,388.77,,L,94,92,29669705931136,,regular,2026-06-22T19:57:30Z
333,AEIS,388.7,460284,2026-06-22T19:56:56Z,False,129437.1,,387.89,388.69,,L,31,56,29669705897537,,regular,2026-06-22T19:56:56Z
1631,AEIS,388.71,459272,2026-06-22T19:56:37Z,False,633986.01,contingent_trade,387.88,388.7,,L,15,262,29669705878514,qualified_contingent_trade,regular,2026-06-22T19:56:36Z
320,AEIS,388.92,436339,2026-06-22T19:53:54Z,False,124454.40,,388.92,389.26,,L,11,48,29669705714883,,regular,2026-06-22T19:53:54Z
320,AEIS,389.25,432109,2026-06-22T19:53:03Z,False,124560.00,,389.25,389.58,,L,84,98,29669705663809,,regular,2026-06-22T19:53:03Z
650,AEIS,389.319,431647,2026-06-22T19:52:50Z,False,253057.350,,389.25,389.58,,L,2,28,29669705651376,,regular,2026-06-22T19:52:50Z
736,AEIS,389.319,430997,2026-06-22T19:52:50Z,False,286538.784,,389.25,389.58,,L,2,28,29669705651375,,regular,2026-06-22T19:52:50Z
350,AEIS,389.43,429379,2026-06-22T19:52:29Z,False,136300.50,,389.24,389.43,,L,99,5,29669705629785,,regular,2026-06-22T19:52:29Z
270,AEIS,389.085,405479,2026-06-22T19:45:28Z,False,105052.950,,388.86,389.26,,L,50,85,29669705209036,,regular,2026-06-22T19:45:28Z
500,AEIS,388.9783,395891,2026-06-22T19:43:37Z,False,194489.1500,,388.55,389.07,,L,15,23,29669705098264,,regular,2026-06-22T19:43:37Z
309,AEIS,388.5415,393536,2026-06-22T19:43:33Z,False,120059.3235,average_price_trade,388.55,389.07,,L,15,26,29669705093793,derivative_priced,regular,2026-06-22T19:43:33Z
2770,AEIS,388.54,393227,2026-06-22T19:43:33Z,False,1076255.80,,388.55,389.07,,L,15,26,29669705093792,,regular,2026-06-22T19:43:33Z
380,AEIS,388.92,384557,2026-06-22T19:41:51Z,False,147789.60,,388.72,388.97,,L,1,10,29669704992639,,regular,2026-06-22T19:41:51Z
271,AEIS,388.7,376177,2026-06-22T19:39:50Z,False,105337.7,,388.54,388.7,,L,180,30,29669704871091,,regular,2026-06-22T19:39:50Z
2000,AEIS,387.79,358145,2026-06-22T19:32:32Z,False,775580.00,,387.8,388.15,,L,2,5,29669704433657,,regular,2026-06-22T19:32:32Z
674,AEIS,386.8899,341759,2026-06-22T19:27:36Z,False,260763.7926,,386.6,386.89,,L,39,5,29669704137430,,regular,2026-06-22T19:27:36Z
270,AEIS,388.295,329876,2026-06-22T19:20:13Z,False,104839.650,,387.98,388.19,,L,9,85,29669703693770,,regular,2026-06-22T19:20:13Z
400,AEIS,388.6,320581,2026-06-22T19:12:34Z,False,155440.0,,388.17,388.62,,2,80,8,29669703235102,,regular,2026-06-22T19:12:34Z
922,AEIS,387.78,318119,2026-06-22T19:10:52Z,False,357533.16,,387.44,388.1,,L,15,1,29669703132880,,regular,2026-06-22T19:10:52Z
269,AEIS,387.65,315769,2026-06-22T19:09:47Z,False,104277.85,,387.64,388.17,,L,92,12,29669703068744,,regular,2026-06-22T19:09:47Z
265,AEIS,387.385,285990,2026-06-22T18:47:58Z,False,102657.025,,387.09,387.74,,L,101,5,29669701759732,,regular,2026-06-22T18:47:58Z
870,AEIS,387.3207,270062,2026-06-22T18:38:14Z,False,336969.0090,,387.03,387.4,,L,94,96,29669701175028,,regular,2026-06-22T18:38:14Z
440,AEIS,386.9,260894,2026-06-22T18:31:46Z,False,170236.0,,386.76,387.06,,L,50,1,29669700787567,,regular,2026-06-22T18:31:46Z
318,AEIS,387.0099,249185,2026-06-22T18:25:05Z,False,123069.1482,,386.66,387.01,,L,45,30,29669700385910,,regular,2026-06-22T18:25:05Z
318,AEIS,387.01,248867,2026-06-22T18:25:05Z,False,123069.18,,386.27,386.66,,L,4,85,29669700385908,,regular,2026-06-22T18:25:05Z
700,AEIS,386.4441,247927,2026-06-22T18:24:26Z,False,270510.8700,,386.27,386.66,,L,4,53,29669700347421,,regular,2026-06-22T18:24:26Z
674,AEIS,384.9899,224897,2026-06-22T18:08:56Z,False,259483.1926,,384.28,384.91,,L,30,276,29669699417619,,regular,2026-06-22T18:08:56Z
266,AEIS,384.54,223066,2026-06-22T18:07:17Z,False,102287.64,,384.09,384.91,,L,35,123,29669699318102,,regular,2026-06-22T18:07:17Z
4016,AEIS,383.2,221968,2026-06-22T18:05:58Z,False,1538931.2,,383.2,383.71,,L,1,150,29669699239619,,regular,2026-06-22T18:05:58Z
297,AEIS,382.92,196895,2026-06-22T17:38:06Z,False,113727.24,,382.93,384.02,,L,11,3,29669697567727,,regular,2026-06-22T17:38:06Z
440,AEIS,383.51,184397,2026-06-22T17:22:53Z,False,168744.40,,382.91,383.62,,L,5,1,29669696654726,,regular,2026-06-22T17:22:53Z
320,AEIS,383.51,180206,2026-06-22T17:22:37Z,False,122723.20,,382.91,383.64,,L,2,1,29669696638508,,regular,2026-06-22T17:22:37Z
280,AEIS,383.49,178898,2026-06-22T17:22:35Z,False,107377.20,,382.91,383.64,,L,2,1,29669696636586,,regular,2026-06-22T17:22:35Z
320,AEIS,383.51,178447,2026-06-22T17:22:35Z,False,122723.20,,382.91,383.64,,L,2,1,29669696635877,,regular,2026-06-22T17:22:35Z
300,AEIS,382.7835,174135,2026-06-22T17:21:12Z,False,114835.0500,,382.5,383.17,,L,1,6,29669696553720,,regular,2026-06-22T17:21:12Z
600,AEIS,383.4674,163237,2026-06-22T17:03:40Z,False,230080.4400,,382.19,383.07,,L,1,10,29669695501315,,regular,2026-06-22T17:03:40Z
798,AEIS,382.1901,162447,2026-06-22T17:02:27Z,False,304987.6998,,382.21,383.64,,L,7,3,29669695428567,,regular,2026-06-22T17:02:27Z
320,AEIS,383.3825,156908,2026-06-22T16:58:37Z,False,122682.4000,,382.87,383.41,,L,4,10,29669695198578,,regular,2026-06-22T16:58:37Z
300,AEIS,382.9899,148338,2026-06-22T16:55:38Z,False,114896.9700,,382.19,382.8,,L,23,316,29669695019127,,regular,2026-06-22T16:55:38Z
320,AEIS,379.045,141321,2026-06-22T16:46:03Z,False,121294.400,,378.85,379.5,,L,56,2,29669694444327,,regular,2026-06-22T16:46:03Z
600,AEIS,379.485,138751,2026-06-22T16:45:16Z,False,227691.000,,379.07,379.88,,L,3,3,29669694397493,,regular,2026-06-22T16:45:16Z
