size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
5379,AEO,18.8799,105470853,2025-09-04T22:30:27Z,False,101554.9821,,18.86,18.90,extended_hours_trade,L,1000,2052,66627763411980,,regular,
5531,AEO,18.94,105430253,2025-09-04T22:01:17Z,False,104757.14,,18.83,18.88,extended_hours_trade,L,100,1350,64877080961629,,regular,
11017,AEO,18.86,105255777,2025-09-04T21:27:45Z,False,207780.62,,18.83,18.90,extended_hours_trade,L,30,300,62865222804684,,regular,
7086,AEO,18.8794,105107688,2025-09-04T20:40:49Z,False,133779.4284,,18.86,18.88,extended_hours_trade,L,54,500,60049863568337,,regular,
14543,AEO,18.85,105022858,2025-09-04T20:26:53Z,False,274135.55,,18.79,18.86,extended_hours_trade,L,200,2000,59213551783478,,regular,
6000,AEO,18.7401,104986027,2025-09-04T20:22:05Z,False,112440.6000,,18.74,18.76,extended_hours_trade,L,20,1953,58925483494666,,regular,
6500,AEO,18.7799,104913199,2025-09-04T20:12:35Z,False,122069.3500,,18.76,18.78,extended_hours_trade,L,200,1000,58355634781013,,regular,
10000,AEO,18.7703,104890397,2025-09-04T20:10:42Z,False,187703.0000,,18.77,18.80,extended_hours_trade,L,300,5378,58242493673393,,regular,
10000,AEO,18.7899,104838727,2025-09-04T20:04:06Z,False,187899.0000,,18.74,18.80,extended_hours_trade,L,50,200,57846802872152,,regular,
11700,AEO,18.79,104739404,2025-09-04T20:00:42Z,False,219843.00,prior_reference_price,18.78,18.81,extended_hours_trade,L,200,812,57642969417404,,regular,
29155,AEO,18.79,104727571,2025-09-04T20:00:42Z,False,547822.45,prior_reference_price,18.78,18.81,extended_hours_trade,L,200,812,57642912345440,,regular,
9800,AEO,18.79,104698294,2025-09-04T20:00:42Z,False,184142.00,prior_reference_price,18.78,18.81,extended_hours_trade,L,200,812,57642905552446,,regular,
11830,AEO,18.79,104688094,2025-09-04T20:00:42Z,False,222285.70,prior_reference_price,18.78,18.81,extended_hours_trade,L,200,812,57642901181781,,regular,
44425,AEO,18.79,104676264,2025-09-04T20:00:42Z,False,834745.75,prior_reference_price,18.78,18.81,extended_hours_trade,L,200,812,57642900184015,,regular,
17690,AEO,18.79,104631839,2025-09-04T20:00:42Z,False,332395.10,prior_reference_price,18.78,18.81,extended_hours_trade,L,200,812,57642897035274,,regular,
5851,AEO,18.79,104592884,2025-09-04T20:00:17Z,False,109940.29,,18.78,18.82,extended_hours_trade,L,200,200,57617719780456,,regular,
6549,AEO,18.8033,103323017,2025-09-04T19:59:59Z,False,123142.8117,,18.80,18.81,,L,2100,2325,57599271665777,,regular,
9304,AEO,18.805,103312218,2025-09-04T19:59:58Z,False,174961.720,,18.80,18.81,,L,2100,2325,57598497068005,,regular,
7600,AEO,18.81,103299340,2025-09-04T19:59:57Z,False,142956.00,,18.80,18.81,,L,2300,2125,57597987088054,,regular,
5394,AEO,18.8084,103291740,2025-09-04T19:59:57Z,False,101452.5096,,18.80,18.81,,L,2300,2125,57597780974828,,regular,
6000,AEO,18.8199,102953992,2025-09-04T19:59:46Z,False,112919.4000,,18.82,18.83,,L,600,1605,57586240778025,,regular,
10000,AEO,18.8213,102866591,2025-09-04T19:59:43Z,False,188213.0000,,18.82,18.84,,L,2100,2305,57583328786545,,regular,
5996,AEO,18.8186,102787259,2025-09-04T19:59:38Z,False,112836.3256,,18.81,18.82,,L,822,2090,57578494420430,,regular,
8600,AEO,18.818,102757552,2025-09-04T19:59:37Z,False,161834.800,,18.81,18.82,,L,2522,1890,57577022699861,,regular,
14923,AEO,18.8099,102432389,2025-09-04T19:59:22Z,False,280700.1377,,18.80,18.81,,L,1605,3562,57562882059716,,regular,
10000,AEO,18.8001,102408509,2025-09-04T19:59:22Z,False,188001.0000,,18.80,18.81,,L,1605,3486,57562389163706,,regular,
10000,AEO,18.80,102385197,2025-09-04T19:59:19Z,False,188000.00,,18.80,18.81,,L,905,3086,57559448240474,,regular,
10000,AEO,18.8099,102368578,2025-09-04T19:59:18Z,False,188099.0000,,18.80,18.81,,L,2905,2586,57558720328987,,regular,
10000,AEO,18.8199,102336118,2025-09-04T19:59:17Z,False,188199.0000,,18.80,18.81,,L,3117,2886,57557350793100,,regular,
9917,AEO,18.8087,102228806,2025-09-04T19:59:14Z,False,186525.8779,,18.80,18.81,,L,1612,3875,57554208634436,,regular,
6900,AEO,18.8099,102166073,2025-09-04T19:59:08Z,False,129788.3100,,18.80,18.81,,L,1401,2207,57548961789131,,regular,
9900,AEO,18.8099,102150315,2025-09-04T19:59:08Z,False,186218.0100,,18.80,18.81,,L,1900,2162,57548455233801,,regular,
9934,AEO,18.809,102134316,2025-09-04T19:59:07Z,False,186848.606,,18.81,18.82,,L,2610,2286,57547654752895,,regular,
7000,AEO,18.825,101880935,2025-09-04T19:58:52Z,False,131775.000,,18.82,18.83,,L,568,1500,57532004748640,,regular,
8000,AEO,18.8199,101826249,2025-09-04T19:58:47Z,False,150559.2000,,18.80,18.81,,L,1700,2761,57527581462952,,regular,
8601,AEO,18.7975,101396391,2025-09-04T19:58:06Z,False,161677.2975,,18.79,18.80,,L,1983,1852,57486166876302,,regular,
13000,AEO,18.7899,101255636,2025-09-04T19:57:47Z,False,244268.7000,,18.78,18.79,,L,1300,2232,57467186928138,,regular,
7710,AEO,18.779,101032792,2025-09-04T19:57:18Z,False,144786.090,,18.77,18.78,,L,600,1753,57438368767865,,regular,
11540,AEO,18.7699,101000924,2025-09-04T19:57:14Z,False,216604.6460,,18.76,18.77,,L,1500,2905,57434800696787,,regular,
8000,AEO,18.7429,100848654,2025-09-04T19:56:57Z,False,149943.2000,,18.74,18.75,,L,1200,1131,57417303498226,,regular,
6852,AEO,18.76,100699589,2025-09-04T19:56:37Z,False,128543.52,,18.76,18.77,,L,2641,2773,57397028405107,,regular,
5500,AEO,18.765,100553358,2025-09-04T19:56:09Z,False,103207.500,,18.76,18.77,,L,4194,2000,57369294586931,,regular,
15300,AEO,18.6875,100515844,2025-09-04T19:56:02Z,False,285918.7500,average_price_trade,18.76,18.77,,L,4054,1800,57362783229799,derivative_priced,regular,
10000,AEO,18.74,100340958,2025-09-04T19:55:48Z,False,187400.00,,18.73,18.74,,L,600,1872,57348806862752,,regular,
19600,AEO,18.6823,100283799,2025-09-04T19:55:33Z,False,366173.0800,average_price_trade,18.73,18.74,,L,1505,709,57333651312394,derivative_priced,regular,
