size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
9826,AEO,17.53,4125353,2026-03-17T20:06:04Z,False,172249.78,,17.9,17.09,extended_hours_trade,L,4,237,29549447360628,,regular,2026-03-17T20:06:04Z
6840,AEO,17.53,4108971,2026-03-17T20:01:29Z,False,119905.20,prior_reference_price,17.9,17.09,extended_hours_trade,L,4,4,29549447085563,,regular,2026-03-17T20:01:29Z
6429,AEO,17.53,4101620,2026-03-17T20:00:55Z,False,112700.37,prior_reference_price,17.9,17.09,extended_hours_trade,L,4,4,29549447051614,,regular,2026-03-17T20:00:55Z
10896,AEO,17.53,4094846,2026-03-17T20:00:43Z,False,191006.88,prior_reference_price,17.9,17.09,extended_hours_trade,L,4,4,29549447040141,,regular,2026-03-17T20:00:43Z
8004,AEO,17.5902,2845477,2026-03-17T19:47:33Z,False,140791.9608,,17.6,17.59,,L,37,272,29549446250228,,regular,2026-03-17T19:47:33Z
7065,AEO,17.49,1871810,2026-03-17T17:36:51Z,False,123566.85,,17.49,17.48,,L,385,664,29549438408397,,regular,2026-03-17T17:36:51Z
7567,AEO,17.36,1497297,2026-03-17T16:40:38Z,False,131363.12,,17.37,17.35,,L,200,200,29549435035232,,regular,2026-03-17T16:40:38Z
7567,AEO,17.32,1485049,2026-03-17T16:39:29Z,False,131060.44,,17.33,17.31,,L,105,291,29549434965830,,regular,2026-03-17T16:39:29Z
11373,AEO,17.38,1342247,2026-03-17T16:18:19Z,False,197662.74,,17.38,17.37,,L,19,219,29549433696417,,regular,2026-03-17T16:18:19Z
9447,AEO,17.38,1070936,2026-03-17T15:31:20Z,False,164188.86,,17.4,17.38,,L,400,400,29549430876714,,regular,2026-03-17T15:31:20Z
8848,AEO,17.71,210528,2026-03-17T13:37:27Z,False,156698.08,,17.77,17.74,,L,267,79,29549424044104,,regular,2026-03-17T13:37:27Z
8000,AEO,17.7501,126441,2026-03-17T13:33:16Z,False,142000.8000,,17.87,17.76,,L,10,40,29549423792618,,regular,2026-03-17T13:33:16Z
