size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
36667,AES,14.4,7553949,2026-04-14T21:37:41Z,False,528004.8,prior_reference_price,14.34,14.5,extended_hours_trade,L,105,15,28707639268017,,regular,2026-04-14T21:37:41Z
741167,AES,14.4,7516984,2026-04-14T20:59:49Z,False,10672804.8,prior_reference_price,14.3,14.5,extended_hours_trade,L,100,100,28707636996003,,regular,2026-04-14T20:59:49Z
16560,AES,14.4,6774921,2026-04-14T20:05:33Z,False,238464.0,,14.4,14.45,extended_hours_trade,L,400,1183,28707633739581,,regular,2026-04-14T20:05:33Z
8829,AES,14.4,6755028,2026-04-14T20:02:30Z,False,127137.6,prior_reference_price,14.4,14.45,extended_hours_trade,L,400,1600,28707633557080,,regular,2026-04-14T20:02:30Z
30150,AES,14.4,6746199,2026-04-14T20:02:29Z,False,434160.0,prior_reference_price,14.4,14.45,extended_hours_trade,L,400,1600,28707633556141,,regular,2026-04-14T20:02:29Z
20413,AES,14.4,6711910,2026-04-14T20:01:38Z,False,293947.2,prior_reference_price,14.4,14.45,extended_hours_trade,L,400,1100,28707633504739,,regular,2026-04-14T20:01:38Z
7866,AES,14.4,6691497,2026-04-14T20:01:20Z,False,113270.4,prior_reference_price,14.4,14.45,extended_hours_trade,L,400,1100,28707633486954,,regular,2026-04-14T20:01:20Z
12180,AES,14.4,6678531,2026-04-14T20:00:33Z,False,175392.0,prior_reference_price,14.4,14.45,extended_hours_trade,L,400,1100,28707633440207,,regular,2026-04-14T20:00:33Z
29892,AES,14.4,6650786,2026-04-14T20:00:27Z,False,430444.8,prior_reference_price,14.4,14.41,extended_hours_trade,L,400,1100,28707633433883,,regular,2026-04-14T20:00:27Z
8000,AES,14.42,4287817,2026-04-14T19:45:12Z,False,115360.00,,14.42,14.43,,L,11251,4960,28707632519402,,regular,2026-04-14T19:45:12Z
9312,AES,14.42,4162438,2026-04-14T19:36:01Z,False,134279.04,,14.42,14.43,,L,12796,9384,28707631967495,,regular,2026-04-14T19:36:01Z
8205,AES,14.425,4084299,2026-04-14T19:31:49Z,False,118357.125,,14.42,14.43,,L,14750,13449,28707631716024,,regular,2026-04-14T19:31:49Z
8818,AES,14.425,4075646,2026-04-14T19:31:49Z,False,127199.650,,14.42,14.43,,L,14750,13449,28707631716023,,regular,2026-04-14T19:31:49Z
8816,AES,14.435,3816498,2026-04-14T19:28:00Z,False,127258.960,,14.43,14.44,,L,14861,6491,28707631487007,,regular,2026-04-14T19:28:00Z
