size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2482,AFRM,74.9588,5871549,2025-10-03T23:16:00Z,False,186047.7416,,75,74.82,extended_hours_trade,L,500,133,0,,regular,
1429,AFRM,74.83,5865876,2025-10-03T23:07:01Z,False,106932.07,,74.91,74.82,extended_hours_trade,L,126,133,0,,regular,
1497,AFRM,74.91,5862664,2025-10-03T22:20:40Z,False,112140.27,,75,74.82,extended_hours_trade,L,500,133,0,,regular,
1736,AFRM,74.83,5844165,2025-10-03T20:00:12Z,False,129904.88,prior_reference_price,74.86,74.51,extended_hours_trade,L,5400,1,0,,regular,
8019,AFRM,74.83,5842429,2025-10-03T20:00:12Z,False,600061.77,prior_reference_price,74.86,74.51,extended_hours_trade,L,5400,1,0,,regular,
9475,AFRM,74.83,5831485,2025-10-03T20:00:11Z,False,709014.25,prior_reference_price,74.86,74.51,extended_hours_trade,L,5400,1,0,,regular,
2126,AFRM,74.83,5821656,2025-10-03T20:00:11Z,False,159088.58,prior_reference_price,74.86,74.51,extended_hours_trade,L,5400,1,0,,regular,
1700,AFRM,74.7499,5009054,2025-10-03T19:56:58Z,False,127074.8300,average_price_trade,74.92,74.89,,L,72,124,0,derivative_priced,regular,
2000,AFRM,74.6701,4967475,2025-10-03T19:56:01Z,False,149340.2000,,74.69,74.67,,L,305,215,0,,regular,
1500,AFRM,74.6,4950926,2025-10-03T19:55:39Z,False,111900.0,,74.61,74.59,,L,137,175,0,,regular,
1982,AFRM,74.705,4845204,2025-10-03T19:54:10Z,False,148065.310,,74.72,74.69,,L,196,365,0,,regular,
7219,AFRM,74.57,4785318,2025-10-03T19:52:45Z,False,538320.83,,74.56,74.54,,L,153,110,0,,regular,
1824,AFRM,74.5699,4755099,2025-10-03T19:52:18Z,False,136015.4976,,74.58,74.56,,L,190,200,0,,regular,
1900,AFRM,74.5301,4736076,2025-10-03T19:52:09Z,False,141607.1900,,74.56,74.53,,L,180,113,0,,regular,
7037,AFRM,74.4999,4717074,2025-10-03T19:51:59Z,False,524255.7963,,74.51,74.49,,L,151,400,0,,regular,
2339,AFRM,74.4999,4719454,2025-10-03T19:51:59Z,False,174255.2661,,74.51,74.49,,L,151,400,0,,regular,
9000,AFRM,74.44,4699276,2025-10-03T19:51:44Z,False,669960.00,,74.45,74.43,,L,105,184,0,,regular,
5000,AFRM,74.4301,4667000,2025-10-03T19:51:03Z,False,372150.5000,,74.45,74.41,,L,251,151,0,,regular,
4400,AFRM,74.4699,4661853,2025-10-03T19:51:02Z,False,327667.5600,,74.45,74.41,,L,251,151,0,,regular,
1500,AFRM,74.515,4587349,2025-10-03T19:48:42Z,False,111772.500,,74.52,74.5,,L,36,225,0,,regular,
1900,AFRM,74.54,4570390,2025-10-03T19:47:52Z,False,141626.00,,74.55,74.53,,L,54,467,0,,regular,
4200,AFRM,74.52,4543746,2025-10-03T19:47:04Z,False,312984.00,,74.53,74.5,,L,39,3653,0,,regular,
2000,AFRM,74.9452,4279084,2025-10-03T19:26:52Z,False,149890.4000,,74.96,74.93,,L,128,35,0,,regular,
2500,AFRM,74.8347,4225462,2025-10-03T19:20:21Z,False,187086.7500,,74.85,74.82,,L,102,508,0,,regular,
1600,AFRM,74.8801,4158898,2025-10-03T19:11:46Z,False,119808.1600,,74.9,74.88,,L,24,67,0,,regular,
2500,AFRM,74.79,4087303,2025-10-03T19:00:59Z,False,186975.00,,74.83,74.75,,L,30,123,0,,regular,
2700,AFRM,74.8,4083290,2025-10-03T19:00:58Z,False,201960.0,,74.79,74.76,,L,22,10,0,,regular,
3331,AFRM,74.9,4057076,2025-10-03T18:59:32Z,False,249491.9,,74.88,74.84,,L,179,483,0,,regular,
6000,AFRM,74.8892,4044466,2025-10-03T18:58:26Z,False,449335.2000,,74.89,74.87,,L,120,175,0,,regular,
2028,AFRM,74.9,4014725,2025-10-03T18:57:48Z,False,151897.2,,74.9,74.89,,L,2,270,0,,regular,
1631,AFRM,74.9,4016356,2025-10-03T18:57:48Z,False,122161.9,,74.9,74.89,,L,2,270,0,,regular,
2689,AFRM,74.7393,3993968,2025-10-03T18:55:07Z,False,200973.9777,,74.7,74.68,,L,31,175,0,,regular,
1400,AFRM,74.745,3918243,2025-10-03T18:47:01Z,False,104643.000,,74.76,74.74,,L,102,49,0,,regular,
1500,AFRM,74.795,3822790,2025-10-03T18:35:56Z,False,112192.500,,74.82,74.77,,L,38,69,0,,regular,
4569,AFRM,74.97,3805567,2025-10-03T18:32:31Z,False,342537.93,,74.99,74.94,,L,151,30,0,,regular,
1932,AFRM,75.07,3787061,2025-10-03T18:30:52Z,False,145035.24,,75.12,75.07,,L,620,204,0,,regular,
1850,AFRM,75.0938,3744618,2025-10-03T18:22:25Z,False,138923.5300,,75.09,75.05,,L,40,4,0,,regular,
2594,AFRM,75.03,3720235,2025-10-03T18:18:39Z,False,194627.82,,75.09,75.03,,L,20,137,0,,regular,
1495,AFRM,74.95,3708752,2025-10-03T18:17:11Z,False,112050.25,,74.96,74.89,,L,145,320,0,,regular,
2500,AFRM,74.905,3702213,2025-10-03T18:16:01Z,False,187262.500,,74.95,74.86,,L,145,198,0,,regular,
53500,AFRM,74.79,3657896,2025-10-03T18:11:09Z,False,4001265.00,contingent_trade,74.79,74.74,,L,6,35,0,qualified_contingent_trade,regular,
1837,AFRM,74.6001,3569320,2025-10-03T18:05:33Z,False,137040.3837,,74.63,74.6,,L,2,100,0,,regular,
4400,AFRM,74.71,3528431,2025-10-03T18:01:51Z,False,328724.00,,74.74,74.68,,L,300,213,0,,regular,
7500,AFRM,74.51,3487673,2025-10-03T17:57:04Z,False,558825.00,,74.56,74.45,,L,87,154,0,,regular,
2700,AFRM,74.46,3438852,2025-10-03T17:54:23Z,False,201042.00,,74.57,74.48,,L,199,49,0,,regular,
2532,AFRM,74.46,3435393,2025-10-03T17:54:21Z,False,188532.72,,74.56,74.52,,L,2,100,0,,regular,
2000,AFRM,74.6301,3424457,2025-10-03T17:54:08Z,False,149260.2000,,74.71,74.63,,L,51,149,0,,regular,
3200,AFRM,74.74,3370217,2025-10-03T17:50:54Z,False,239168.00,,74.7,74.67,,L,110,296,0,,regular,
2600,AFRM,74.8,3363366,2025-10-03T17:50:53Z,False,194480.0,,74.88,74.8,,L,44,300,0,,regular,
1500,AFRM,75,3324795,2025-10-03T17:46:37Z,False,112500,,75.06,75.02,,L,128,50,0,,regular,
3000,AFRM,75.15,3300175,2025-10-03T17:45:40Z,False,225450.00,,75.15,75.1,,L,36,3000,0,,regular,
2700,AFRM,75.1,3278089,2025-10-03T17:44:13Z,False,202770.0,,75.15,75.08,,L,46,110,0,,regular,
2700,AFRM,75.1,3247068,2025-10-03T17:43:23Z,False,202770.0,,75.12,75.06,,L,32,20,0,,regular,
1600,AFRM,75.03,3239286,2025-10-03T17:43:09Z,False,120048.00,,75.09,75.01,,L,110,64,0,,regular,
1400,AFRM,75.03,3237686,2025-10-03T17:43:09Z,False,105042.00,,75.09,75.01,,L,110,64,0,,regular,
2561,AFRM,75.64,3181695,2025-10-03T17:38:16Z,False,193714.04,,75.69,75.64,,L,200,490,0,,regular,
1700,AFRM,75.6642,3178383,2025-10-03T17:38:11Z,False,128629.1400,,75.7,75.65,,L,12,22,0,,regular,
1881,AFRM,75.4101,3125761,2025-10-03T17:33:54Z,False,141846.3981,,75.46,75.39,,L,120,48,0,,regular,
1453,AFRM,75.276,3104962,2025-10-03T17:30:44Z,False,109376.028,,75.3,75.27,,L,100,2,0,,regular,
5537,AFRM,75.19,3080381,2025-10-03T17:26:14Z,False,416327.03,,75.19,75.17,,L,14,6,0,,regular,
3443,AFRM,75.19,3074844,2025-10-03T17:26:14Z,False,258879.17,,75.19,75.17,,L,14,6,0,,regular,
8000,AFRM,75.2206,3069837,2025-10-03T17:26:13Z,False,601764.8000,,75.25,75.19,,L,65,130,0,,regular,
