size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1751,AFRM,65.13,3490594,2026-04-27T20:00:55Z,False,114042.63,prior_reference_price,64,65.39,extended_hours_trade,L,15,500,23600917347269,,regular,2026-04-27T20:00:55Z
5796,AFRM,65.13,3487117,2026-04-27T20:00:14Z,False,377493.48,prior_reference_price,65.1,65.39,extended_hours_trade,L,15,181,23600917305975,,regular,2026-04-27T20:00:14Z
2522,AFRM,65.13,3480637,2026-04-27T20:00:14Z,False,164257.86,prior_reference_price,65.1,65.39,extended_hours_trade,L,15,181,23600917305945,,regular,2026-04-27T20:00:14Z
19500,AFRM,65.13,3478115,2026-04-27T20:00:14Z,False,1270035.00,prior_reference_price,65.1,65.39,extended_hours_trade,L,15,181,23600917305934,,regular,2026-04-27T20:00:14Z
5266,AFRM,65.13,3458615,2026-04-27T20:00:14Z,False,342974.58,prior_reference_price,65.1,65.39,extended_hours_trade,L,15,181,23600917305932,,regular,2026-04-27T20:00:14Z
1583,AFRM,65.13,3447608,2026-04-27T20:00:01Z,False,103100.79,,65.1,65.4,extended_hours_trade,L,764,181,23600917293063,,regular,2026-04-27T20:00:01Z
82685,AFRM,65.1325,2892457,2026-04-27T19:56:28Z,False,5385480.7625,average_price_trade,65.05,65.07,,L,739,300,23600917080093,derivative_priced,regular,2026-04-27T19:56:28Z
1903,AFRM,65.06,2777758,2026-04-27T19:55:29Z,False,123809.18,,65.06,65.08,,L,550,100,23600917021231,,regular,2026-04-27T19:55:29Z
1996,AFRM,65.06,2774754,2026-04-27T19:55:29Z,False,129859.76,,65.06,65.08,,L,550,100,23600917021230,,regular,2026-04-27T19:55:29Z
2090,AFRM,65.285,2572701,2026-04-27T19:44:44Z,False,136445.650,,65.26,65.31,,L,310,1002,23600916375855,,regular,2026-04-27T19:44:44Z
2000,AFRM,65.15,2340532,2026-04-27T19:33:46Z,False,130300.00,,65.13,65.17,,L,302,757,23600915717870,,regular,2026-04-27T19:33:46Z
2130,AFRM,65.1806,2291846,2026-04-27T19:30:25Z,False,138834.6780,,65.18,65.22,,L,20,400,23600915517026,,regular,2026-04-27T19:30:25Z
1600,AFRM,65.19,2279734,2026-04-27T19:30:04Z,False,104304.00,,65.19,65.25,,L,10,115,23600915496267,,regular,2026-04-27T19:30:04Z
