size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1099,AIT,263.82,244886,2025-02-20T21:00:31Z,False,289938.18,prior_reference_price,247,268.94,extended_hours_trade,L,6,70,57631053946878,,,
400,AIT,263.82,243716,2025-02-20T21:00:30Z,False,105528.00,prior_reference_price,247,268.94,extended_hours_trade,L,6,70,57630802978191,,,
871,AIT,263.82,243068,2025-02-20T21:00:06Z,False,229787.22,,247,0,extended_hours_trade,L,0,70,57606819347030,,,
726,AIT,263.82,242137,2025-02-20T21:00:06Z,False,191533.32,,247,0,extended_hours_trade,L,0,70,57606818950551,,,
400,AIT,263.5352,152601,2025-02-20T20:13:54Z,False,105414.0800,,263.17,264.04,,L,21,22,54834098268403,,,
600,AIT,264.04,152163,2025-02-20T20:12:51Z,False,158424.00,,263.17,264.04,,L,158,12,54771290610972,,,
400,AIT,263.515,130812,2025-02-20T19:38:15Z,False,105406.000,,263.32,263.60,,L,13,101,52695368588898,,,
400,AIT,263.52,129278,2025-02-20T19:36:11Z,False,105408.00,,263.32,263.68,,L,16,110,52571292080671,,,
400,AIT,262.65,109255,2025-02-20T18:50:52Z,False,105060.00,,262.46,262.84,,L,5,162,49852499554555,,,
500,AIT,262.565,107367,2025-02-20T18:42:52Z,False,131282.500,,262.47,262.99,,L,131,22,49372727290737,,,
3700,AIT,262.08,100590,2025-02-20T18:09:16Z,False,969696.00,,261.69,262.77,,L,4,102,47356442243787,,,
1100,AIT,262.08,101690,2025-02-20T18:09:16Z,False,288288.00,,261.69,262.77,,L,4,102,47356442912944,,,
1200,AIT,263.02,92780,2025-02-20T18:09:16Z,False,315624.00,,262.85,263.23,,L,37,1,47356401040357,,,
800,AIT,263.02,91580,2025-02-20T18:09:16Z,False,210416.00,,262.85,263.23,,L,37,1,47356400496118,,,
400,AIT,262.475,65732,2025-02-20T16:32:04Z,False,104990.000,,262.23,262.56,,L,50,100,41524761213412,,,
590,AIT,262.555,59440,2025-02-20T16:31:19Z,False,154907.450,,262.30,262.56,,L,32,300,41479824605339,,,
395,AIT,262.625,57429,2025-02-20T16:30:23Z,False,103736.875,,262.38,262.53,,L,10,100,41423034383640,,,
400,AIT,262.67,44829,2025-02-20T16:20:09Z,False,105068.00,,262.20,262.24,,L,1,200,40809313774905,,,
400,AIT,262.52,34771,2025-02-20T15:59:27Z,False,105008.00,,261.90,262.49,,L,93,100,39567658380371,,,
400,AIT,262.555,33201,2025-02-20T15:58:07Z,False,105022.000,,262.21,262.63,,L,81,5,39487876212836,,,
504,AIT,263.305,8013,2025-02-20T14:47:58Z,False,132705.720,,262.49,263.42,,L,12,27,35278570838786,,,
588,AIT,264.545,5584,2025-02-20T14:30:10Z,False,155552.460,,263.09,267.20,,L,25,2,34210386403264,,,
1310,AIT,264.545,4956,2025-02-20T14:30:10Z,False,346553.950,,263.09,267.20,,L,25,2,34210326160685,,,
