size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3886,AI,28.50,4812261,2025-02-21T21:01:24Z,False,110751.00,prior_reference_price,28.50,28.59,extended_hours_trade,L,3010,3,57684639249296,,,
7088,AI,28.50,4805682,2025-02-21T21:00:17Z,False,202008.00,prior_reference_price,28.46,29.54,extended_hours_trade,L,200,50,57617399396740,,,
6412,AI,28.50,4798593,2025-02-21T21:00:17Z,False,182742.00,prior_reference_price,28.46,29.54,extended_hours_trade,L,200,50,57617394854194,,,
5872,AI,28.50,4792181,2025-02-21T21:00:17Z,False,167352.00,prior_reference_price,28.46,29.54,extended_hours_trade,L,200,50,57617392641315,,,
5200,AI,28.47,4377575,2025-02-21T20:57:01Z,False,148044.00,,28.47,28.48,,L,74,217,57421217985598,,,
3600,AI,28.5301,4074637,2025-02-21T20:37:43Z,False,102708.3600,,28.54,28.56,,L,125,300,56263272453006,,,
4000,AI,28.5401,4046958,2025-02-21T20:35:47Z,False,114160.4000,,28.54,28.56,,L,18,200,56147439614975,,,
10000,AI,28.52,3983360,2025-02-21T20:30:56Z,False,285200.00,,28.52,28.54,,L,111,511,55856388389588,,,
4000,AI,28.5001,3905211,2025-02-21T20:23:58Z,False,114000.4000,,28.50,28.52,,L,100,350,55438345112705,,,
7015,AI,28.4895,3859042,2025-02-21T20:15:57Z,False,199853.8425,,28.47,28.49,,L,200,316,54957841836253,,,
4090,AI,28.47,3806183,2025-02-21T20:09:10Z,False,116442.30,,28.49,28.51,,L,200,205,54550584405161,,,
3547,AI,28.4201,3648233,2025-02-21T19:47:39Z,False,100806.0947,,28.42,28.45,,L,200,65,53259656166495,,,
6112,AI,28.50,3569397,2025-02-21T19:40:33Z,False,174192.00,,28.51,28.53,,L,303,14,52833758004322,,,
4888,AI,28.59,3445529,2025-02-21T19:25:57Z,False,139747.92,,28.58,28.59,,L,216,119,51957469028403,,,
6186,AI,28.685,3204466,2025-02-21T19:02:03Z,False,177445.410,,28.67,28.70,,L,244,150,50523741363407,,,
4500,AI,28.66,3162052,2025-02-21T18:57:09Z,False,128970.00,,28.64,28.67,,L,205,112,50229689459557,,,
3700,AI,28.6704,3052656,2025-02-21T18:45:28Z,False,106080.4800,,28.65,28.69,,L,306,51,49528108863989,,,
5000,AI,28.7571,2981588,2025-02-21T18:38:29Z,False,143785.5000,,28.73,28.77,,L,350,150,49109075683602,,,
5400,AI,28.6116,2865755,2025-02-21T18:29:10Z,False,154502.6400,,28.59,28.63,,L,230,250,48550947932874,,,
5000,AI,28.60,2809711,2025-02-21T18:23:45Z,False,143000.00,,28.56,28.62,,L,105,126,48225656739096,,,
5000,AI,28.57,2799925,2025-02-21T18:22:35Z,False,142850.00,,28.55,28.59,,L,150,250,48155042945759,,,
6000,AI,28.69,2775154,2025-02-21T18:17:53Z,False,172140.00,,28.68,28.72,,L,350,161,47873503660040,,,
4940,AI,28.61,2672695,2025-02-21T18:06:24Z,False,141333.40,,28.60,28.64,,L,250,4,47184864412766,,,
12071,AI,28.5501,2538015,2025-02-21T17:57:30Z,False,344628.2571,,28.55,28.59,,L,50,15,46650184006851,,,
5000,AI,28.6256,2506583,2025-02-21T17:55:58Z,False,143128.0000,,28.60,28.63,,L,150,155,46558340990378,,,
5000,AI,28.5401,2485188,2025-02-21T17:54:04Z,False,142700.5000,,28.54,28.58,,L,160,56,46444683617333,,,
5316,AI,28.57,2471052,2025-02-21T17:53:03Z,False,151878.12,,28.54,28.57,,L,150,57,46383461911800,,,
