size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6177,AJG,218.69,1790382,2026-06-12T21:36:19Z,False,1350848.13,prior_reference_price,218.7,219.3,extended_hours_trade,L,99,1,27015422071458,,regular,2026-06-12T21:36:19Z
4264,AJG,218.69,1784195,2026-06-12T20:58:15Z,False,932494.16,average_price_trade,218.69,219.3,extended_hours_trade,L,50,1,27015419787574,,regular,2026-06-12T20:58:15Z
506,AJG,218.69,1779931,2026-06-12T20:39:50Z,False,110657.14,,218.52,219.35,extended_hours_trade,L,1,1,27015418682440,,regular,2026-06-12T20:39:50Z
5091,AJG,218.69,1779425,2026-06-12T20:18:29Z,False,1113350.79,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015417401054,,regular,2026-06-12T20:18:29Z
1301,AJG,218.69,1774334,2026-06-12T20:18:28Z,False,284515.69,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015417400372,,regular,2026-06-12T20:18:28Z
1439,AJG,218.69,1773031,2026-06-12T20:07:55Z,False,314694.91,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015416767393,,regular,2026-06-12T20:07:55Z
5000,AJG,218.69,1771585,2026-06-12T20:00:45Z,False,1093450.00,,201.53,223.02,extended_hours_trade,L,8,25,27015416337293,,regular,2026-06-12T20:00:44Z
10000,AJG,218.69,1766585,2026-06-12T20:00:29Z,False,2186900.00,,201.53,223.02,extended_hours_trade,L,8,25,27015416321294,,regular,2026-06-12T20:00:28Z
689,AJG,218.69,1756319,2026-06-12T20:00:23Z,False,150677.41,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015416315008,,regular,2026-06-12T20:00:23Z
900,AJG,218.69,1755398,2026-06-12T20:00:22Z,False,196821.00,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015416314657,,regular,2026-06-12T20:00:22Z
1458,AJG,218.69,1754498,2026-06-12T20:00:22Z,False,318850.02,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015416314289,,regular,2026-06-12T20:00:22Z
1964,AJG,218.69,1753040,2026-06-12T20:00:22Z,False,429507.16,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015416313968,,regular,2026-06-12T20:00:22Z
1998,AJG,218.69,1751076,2026-06-12T20:00:21Z,False,436942.62,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015416313636,,regular,2026-06-12T20:00:21Z
2048,AJG,218.69,1749078,2026-06-12T20:00:21Z,False,447877.12,prior_reference_price,201.53,223.02,extended_hours_trade,L,8,25,27015416312845,,regular,2026-06-12T20:00:21Z
907,AJG,218.69,1747027,2026-06-12T20:00:08Z,False,198351.83,average_price_trade,201.53,0,extended_hours_trade,L,0,25,27015416300737,,regular,2026-06-12T20:00:08Z
1685,AJG,218.69,1745204,2026-06-12T20:00:03Z,False,368492.65,,203.34,239.4,extended_hours_trade,L,100,100,27015416295128,,regular,2026-06-12T20:00:03Z
500,AJG,218.52,1373925,2026-06-12T19:59:36Z,False,109260.00,,218.47,218.63,,L,116,36,27015416268731,,regular,2026-06-12T19:59:36Z
625,AJG,218.52,1338166,2026-06-12T19:58:47Z,False,136575.00,,218.5,218.55,,L,40,140,27015416219376,,regular,2026-06-12T19:58:47Z
600,AJG,219.1253,1325141,2026-06-12T19:58:33Z,False,131475.1800,average_price_trade,218.42,218.49,,L,20,125,27015416204922,derivative_priced,regular,2026-06-12T19:58:33Z
1112,AJG,218.5249,1324541,2026-06-12T19:58:32Z,False,242999.6888,average_price_trade,218.42,218.49,,L,20,125,27015416204774,derivative_priced,regular,2026-06-12T19:58:32Z
500,AJG,218.61,1284383,2026-06-12T19:57:13Z,False,109305.00,,218.48,218.74,,L,187,211,27015416125731,,regular,2026-06-12T19:57:13Z
700,AJG,219.4844,1253320,2026-06-12T19:55:20Z,False,153639.0800,average_price_trade,218.9,219.06,,L,31,100,27015416012018,derivative_priced,regular,2026-06-12T19:55:20Z
725,AJG,219.09,1240122,2026-06-12T19:54:30Z,False,158840.25,,218.97,219.11,,L,100,45,27015415961964,,regular,2026-06-12T19:54:30Z
2580,AJG,219.5662,1233370,2026-06-12T19:53:40Z,False,566480.7960,average_price_trade,219.24,219.46,,L,101,42,27015415912358,derivative_priced,regular,2026-06-12T19:53:40Z
638,AJG,219.5,1206828,2026-06-12T19:51:14Z,False,140041.0,,219.46,219.5,,L,851,35,27015415765885,,regular,2026-06-12T19:51:14Z
800,AJG,219.505,1204655,2026-06-12T19:51:13Z,False,175604.000,,219.5,219.51,,L,840,196,27015415765677,,regular,2026-06-12T19:51:13Z
700,AJG,219.78,1187447,2026-06-12T19:49:40Z,False,153846.00,,219.82,219.9,,L,1206,200,27015415672227,,regular,2026-06-12T19:49:40Z
500,AJG,219.67,1178826,2026-06-12T19:49:40Z,False,109835.00,,219.62,219.79,,L,800,27,27015415672036,,regular,2026-06-12T19:49:40Z
500,AJG,219.67,1178126,2026-06-12T19:49:40Z,False,109835.00,,219.62,219.79,,L,800,27,27015415672021,,regular,2026-06-12T19:49:40Z
500,AJG,219.67,1174530,2026-06-12T19:49:33Z,False,109835.00,,219.66,219.78,,L,500,20,27015415664849,,regular,2026-06-12T19:49:33Z
500,AJG,219.465,1145068,2026-06-12T19:44:25Z,False,109732.500,,219.37,219.55,,L,30,12,27015415357196,,regular,2026-06-12T19:44:25Z
7500,AJG,219.465,1144258,2026-06-12T19:44:25Z,False,1645987.500,,219.37,219.55,,L,30,12,27015415357172,,regular,2026-06-12T19:44:25Z
8800,AJG,219.8025,1106546,2026-06-12T19:41:09Z,False,1934262.0000,,219.78,219.86,,L,9,22,27015415161020,,regular,2026-06-12T19:41:09Z
500,AJG,219.835,1071985,2026-06-12T19:30:50Z,False,109917.500,,219.72,219.95,,L,5,100,27015414542354,,regular,2026-06-12T19:30:50Z
500,AJG,219.84,1061515,2026-06-12T19:30:24Z,False,109920.00,,219.78,219.97,,L,20,40,27015414516835,,regular,2026-06-12T19:30:24Z
9200,AJG,219.84,1059438,2026-06-12T19:30:24Z,False,2022528.00,,219.78,219.97,,L,20,40,27015414516805,,regular,2026-06-12T19:30:24Z
500,AJG,219.84,1050026,2026-06-12T19:30:24Z,False,109920.00,,219.78,219.92,,L,22,30,27015414516202,,regular,2026-06-12T19:30:24Z
600,AJG,220.06,1046175,2026-06-12T19:30:23Z,False,132036.00,,220.06,220.28,,L,218,37,27015414515487,,regular,2026-06-12T19:30:23Z
1000,AJG,220.135,1045362,2026-06-12T19:30:23Z,False,220135.000,,220.06,220.28,,L,218,37,27015414514873,,regular,2026-06-12T19:30:23Z
2000,AJG,220.185,1042958,2026-06-12T19:30:16Z,False,440370.000,,220.09,220.28,,L,123,159,27015414508539,,regular,2026-06-12T19:30:16Z
1000,AJG,220.185,1040790,2026-06-12T19:30:10Z,False,220185.000,,220.09,220.28,,L,122,114,27015414502569,,regular,2026-06-12T19:30:10Z
1000,AJG,220.185,1039664,2026-06-12T19:29:57Z,False,220185.000,,220.09,220.28,,L,112,114,27015414489297,,regular,2026-06-12T19:29:57Z
1600,AJG,220.185,1038439,2026-06-12T19:29:52Z,False,352296.000,,220.06,220.28,,L,102,32,27015414484354,,regular,2026-06-12T19:29:52Z
1000,AJG,220.185,1036204,2026-06-12T19:29:45Z,False,220185.000,,220.06,220.29,,L,100,32,27015414477302,,regular,2026-06-12T19:29:45Z
1300,AJG,220.19,1035174,2026-06-12T19:29:43Z,False,286247.00,,220.06,220.29,,L,100,32,27015414474865,,regular,2026-06-12T19:29:43Z
700,AJG,220.19,1033874,2026-06-12T19:29:43Z,False,154133.00,,220.06,220.29,,L,100,32,27015414474862,,regular,2026-06-12T19:29:43Z
1000,AJG,220.21,1030494,2026-06-12T19:29:37Z,False,220210.00,,220.12,220.27,,L,18,194,27015414469781,,regular,2026-06-12T19:29:37Z
1500,AJG,220.21,1029067,2026-06-12T19:29:37Z,False,330315.00,,220.23,220.3,,L,2,11,27015414469767,,regular,2026-06-12T19:29:37Z
1000,AJG,220.13,1020887,2026-06-12T19:26:14Z,False,220130.00,,220.04,220.2,,L,3,7,27015414266620,,regular,2026-06-12T19:26:14Z
898,AJG,219.855,1008298,2026-06-12T19:21:12Z,False,197429.790,,219.75,219.96,,L,101,13,27015413963999,,regular,2026-06-12T19:21:12Z
9000,AJG,219.8,1000437,2026-06-12T19:19:09Z,False,1978200.0,,219.7,219.95,,L,20,24,27015413841608,,regular,2026-06-12T19:19:09Z
1000,AJG,219.8,991437,2026-06-12T19:19:08Z,False,219800.0,,219.7,219.95,,L,20,24,27015413839997,,regular,2026-06-12T19:19:08Z
550,AJG,219.8699,986722,2026-06-12T19:17:22Z,False,120928.4450,,219.74,219.87,,L,100,41,27015413734785,,regular,2026-06-12T19:17:22Z
5000,AJG,219.43,975927,2026-06-12T19:13:18Z,False,1097150.00,,219.36,219.54,,L,151,47,27015413490635,,regular,2026-06-12T19:13:18Z
1335,AJG,219.585,965745,2026-06-12T19:12:04Z,False,293145.975,,219.51,219.66,,L,71,20,27015413416204,,regular,2026-06-12T19:12:04Z
1025,AJG,219.5201,959854,2026-06-12T19:10:48Z,False,225008.1025,,219.6,219.65,,L,124,11,27015413340742,,regular,2026-06-12T19:10:48Z
2140,AJG,219.17,930579,2026-06-12T19:00:59Z,False,469023.80,,219.15,219.25,,L,22,19,27015412751726,,regular,2026-06-12T19:00:59Z
1868,AJG,219.375,916625,2026-06-12T18:59:01Z,False,409792.500,,219.22,219.42,,L,5,15,27015412633604,,regular,2026-06-12T18:59:01Z
1300,AJG,219.495,909691,2026-06-12T18:56:42Z,False,285343.500,,219.57,219.62,,L,140,26,27015412494136,,regular,2026-06-12T18:56:42Z
500,AJG,219.285,897613,2026-06-12T18:53:00Z,False,109642.500,,219.17,219.4,,L,207,119,27015412272743,,regular,2026-06-12T18:53:00Z
900,AJG,219.215,829489,2026-06-12T18:35:01Z,False,197293.500,,219.05,219.39,,L,111,24,27015411193617,,regular,2026-06-12T18:35:01Z
500,AJG,219.23,823611,2026-06-12T18:34:10Z,False,109615.00,,219.21,219.39,,L,10,15,27015411142590,,regular,2026-06-12T18:34:10Z
500,AJG,219.23,823091,2026-06-12T18:34:10Z,False,109615.00,,219.24,219.39,,L,10,5,27015411142190,,regular,2026-06-12T18:34:10Z
700,AJG,219.23,822391,2026-06-12T18:34:10Z,False,153461.00,,219.24,219.39,,L,10,5,27015411142183,,regular,2026-06-12T18:34:10Z
495,AJG,219.2,799063,2026-06-12T18:27:20Z,False,108504.0,,219.08,219.33,,L,6,10,27015410732344,,regular,2026-06-12T18:27:20Z
500,AJG,219.26,796934,2026-06-12T18:26:37Z,False,109630.00,,219.2,219.34,,L,110,7,27015410689199,,regular,2026-06-12T18:26:37Z
500,AJG,219.26,796111,2026-06-12T18:26:24Z,False,109630.00,,219.2,219.34,,L,100,7,27015410676573,,regular,2026-06-12T18:26:24Z
600,AJG,219.24,791590,2026-06-12T18:25:29Z,False,131544.00,,219.18,219.3,,L,13,2,27015410621256,,regular,2026-06-12T18:25:29Z
500,AJG,219.005,772464,2026-06-12T18:13:46Z,False,109502.500,,218.93,219.13,,L,200,29,27015409917850,,regular,2026-06-12T18:13:46Z
1700,AJG,218.89,768301,2026-06-12T18:13:21Z,False,372113.00,,218.81,219.08,,L,5,25,27015409892958,,regular,2026-06-12T18:13:21Z
