size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6422,AKAM,82.79,2590490,2025-03-17T20:27:40Z,False,531677.38,,83.88,81,extended_hours_trade,L,3,1,59260945526557,,,
10178,AKAM,82.79,2584068,2025-03-17T20:25:30Z,False,842636.62,average_price_trade,83.88,81,extended_hours_trade,L,3,1,59130999241716,,,
10178,AKAM,82.79,2573890,2025-03-17T20:23:56Z,False,842636.62,,83.88,81,extended_hours_trade,L,3,1,59036125233948,,,
1552,AKAM,82.79,2563413,2025-03-17T20:04:23Z,False,128490.08,prior_reference_price,83.88,81,extended_hours_trade,L,3,1,57863727423067,,,
2145,AKAM,82.79,2559833,2025-03-17T20:02:52Z,False,177584.55,prior_reference_price,83.88,81,extended_hours_trade,L,3,1,57772847603826,,,
6900,AKAM,82.79,2556881,2025-03-17T20:02:04Z,False,571251.00,prior_reference_price,83.88,81,extended_hours_trade,L,3,1,57724332840019,,,
1872,AKAM,82.79,2543422,2025-03-17T20:00:06Z,False,154982.88,,83.04,82.60,extended_hours_trade,L,2415,2415,57606546206094,,,
1600,AKAM,82.79,2541550,2025-03-17T20:00:06Z,False,132464.00,,83.04,82.60,extended_hours_trade,L,2415,2415,57606539387997,,,
1544,AKAM,82.79,2539771,2025-03-17T20:00:06Z,False,127827.76,,83.04,82.60,extended_hours_trade,L,2415,2415,57606450123031,,,
1580,AKAM,82.79,2271900,2025-03-17T20:00:00Z,False,130808.20,,82.88,82.72,extended_hours_trade,L,2422,616,57600772888814,,,
1700,AKAM,82.79,2260480,2025-03-17T20:00:00Z,False,140743.00,,82.82,82.79,extended_hours_trade,L,325,9935,57600037118727,,,
2010,AKAM,82.825,2166245,2025-03-17T19:57:46Z,False,166478.250,,82.84,82.81,,L,955,1444,57466418606994,,,
2900,AKAM,82.825,2163891,2025-03-17T19:57:44Z,False,240192.500,,82.84,82.81,,L,72,1174,57464495464828,,,
1449,AKAM,82.80,2143675,2025-03-17T19:57:31Z,False,119977.20,,82.86,82.85,,L,38,106,57451743839868,,,
8300,AKAM,82.82,2115527,2025-03-17T19:56:47Z,False,687406.00,,82.86,82.83,,L,700,229,57407739465523,,,
1200,AKAM,83.52,1739668,2025-03-17T19:36:40Z,False,100224.00,,83.53,83.50,,L,52,61,56200574978440,,,
2000,AKAM,83.3257,1452940,2025-03-17T18:39:37Z,False,166651.4000,,83.35,83.33,,L,42,30,52777734157528,,,
2260,AKAM,83.2001,1348546,2025-03-17T18:13:31Z,False,188032.2260,,83.21,83.16,,L,152,1,51211282222232,,,
11100,AKAM,82.90,1292507,2025-03-17T18:01:36Z,False,920190.00,contingent_trade,82.92,82.87,,L,10,38,50496748861200,qualified_contingent_trade,,
9000,AKAM,82.90,1237514,2025-03-17T17:52:26Z,False,746100.00,,82.92,82.88,,L,1,357,49946598250800,,,
2390,AKAM,82.8036,1157501,2025-03-17T17:35:57Z,False,197900.6040,,82.83,82.79,,L,170,333,48957697424467,,,
1926,AKAM,82.825,1126356,2025-03-17T17:26:45Z,False,159520.950,,82.85,82.81,,L,220,40,48405037088657,,,
2008,AKAM,82.50,1049878,2025-03-17T17:07:25Z,False,165660.00,,82.49,82.42,,L,1,41,47245220713022,,,
1346,AKAM,82.265,976687,2025-03-17T16:48:31Z,False,110728.690,,82.28,82.25,,L,616,74,46111322038005,,,
1300,AKAM,82.37,747009,2025-03-17T15:44:20Z,False,107081.00,,82.36,82.33,,L,15,226,42260504633150,,,
1935,AKAM,82.6301,689812,2025-03-17T15:30:38Z,False,159889.2435,,82.67,82.63,,L,100,405,41438385059850,,,
19000,AKAM,82.72,654614,2025-03-17T15:20:30Z,False,1571680.00,contingent_trade,82.72,82.68,,L,1,1,40830864774421,qualified_contingent_trade,,
8850,AKAM,82.44,324515,2025-03-17T14:16:02Z,False,729594.00,,82.46,82.41,,L,4,40,36962205777035,,,
1607,AKAM,82.39,256882,2025-03-17T14:05:22Z,False,132400.73,,82.44,82.33,,L,57,207,36322694122516,,,
1641,AKAM,82.295,141789,2025-03-17T13:45:37Z,False,135046.095,,82.32,82.27,,L,110,102,35137051513747,,,
2500,AKAM,81.9449,99896,2025-03-17T13:39:10Z,False,204862.2500,,82.13,81.96,,L,65,58,34750362394544,,,
