size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
11595,AKAM,103.87,2874366,2026-05-01T23:20:06Z,False,1204372.65,average_price_trade,103.46,103.86,extended_hours_trade,L,50,1,31082762328039,,regular,2026-05-01T23:20:06Z
35395,AKAM,103.87,2862140,2026-05-01T20:48:22Z,False,3676478.65,prior_reference_price,103.46,103.86,extended_hours_trade,L,50,1,31082753223424,,regular,2026-05-01T20:48:22Z
2500,AKAM,102.98,2826659,2026-05-01T20:26:59Z,False,257450.00,average_price_trade,103.46,103.86,extended_hours_trade,L,50,1,31082751940946,,regular,2026-05-01T20:26:58Z
1008,AKAM,103.87,2820203,2026-05-01T20:00:07Z,False,104700.96,,103.66,104,extended_hours_trade,L,1,1,31082750329119,,regular,2026-05-01T20:00:07Z
2127,AKAM,103.87,2818427,2026-05-01T20:00:06Z,False,220931.49,,103.66,104,extended_hours_trade,L,1,1,31082750327156,,regular,2026-05-01T20:00:05Z
1800,AKAM,103.87,2815135,2026-05-01T20:00:05Z,False,186966.00,,103.66,104,extended_hours_trade,L,1,1,31082750327094,,regular,2026-05-01T20:00:05Z
20000,AKAM,103.87,2812935,2026-05-01T20:00:05Z,False,2077400.00,,103.66,104,extended_hours_trade,L,1,1,31082750327083,,regular,2026-05-01T20:00:05Z
1529,AKAM,103.87,2792627,2026-05-01T20:00:00Z,False,158817.23,,103.66,104,extended_hours_trade,L,1,1,31082750321801,,regular,2026-05-01T20:00:00Z
1000,AKAM,103.83,2318573,2026-05-01T19:58:46Z,False,103830.00,,103.82,103.83,,L,562,240,31082750248063,,regular,2026-05-01T19:58:46Z
7805,AKAM,103.96,2270455,2026-05-01T19:58:00Z,False,811407.80,contingent_trade,103.94,103.98,,L,123,1250,31082750201765,qualified_contingent_trade,regular,2026-05-01T19:57:59Z
3995,AKAM,103.96,2274450,2026-05-01T19:58:00Z,False,415320.20,contingent_trade,103.94,103.98,,L,123,1250,31082750201765,qualified_contingent_trade,regular,2026-05-01T19:57:59Z
1000,AKAM,103.9799,2245823,2026-05-01T19:57:36Z,False,103979.9000,,103.98,104,,L,207,1052,31082750177766,,regular,2026-05-01T19:57:36Z
1560,AKAM,104.17,2061337,2026-05-01T19:52:11Z,False,162505.20,,104.16,104.18,,L,242,348,31082749852328,,regular,2026-05-01T19:52:10Z
1200,AKAM,104.27,1983179,2026-05-01T19:48:15Z,False,125124.00,,104.23,104.27,,L,43,45,31082749616601,,regular,2026-05-01T19:48:15Z
1200,AKAM,104.15,1953202,2026-05-01T19:46:31Z,False,124980.00,,104.11,104.15,,L,248,5,31082749512556,,regular,2026-05-01T19:46:31Z
12600,AKAM,104.37,1786839,2026-05-01T19:29:01Z,False,1315062.00,contingent_trade,104.34,104.39,,L,184,20,31082748462154,qualified_contingent_trade,regular,2026-05-01T19:28:59Z
1066,AKAM,104.355,1666599,2026-05-01T19:05:47Z,False,111242.430,,104.31,104.4,,L,381,240,31082747068253,,regular,2026-05-01T19:05:47Z
1000,AKAM,104.27,1610246,2026-05-01T18:53:39Z,False,104270.00,,104.16,104.27,,L,251,145,31082746340415,,regular,2026-05-01T18:53:39Z
1955,AKAM,104.27,1589704,2026-05-01T18:46:54Z,False,203847.85,,104.23,104.31,,L,54,225,31082745935577,,regular,2026-05-01T18:46:54Z
1400,AKAM,104.2,1575234,2026-05-01T18:41:30Z,False,145880.0,,104.15,104.25,,L,59,401,31082745612010,,regular,2026-05-01T18:41:30Z
1000,AKAM,104.05,1527071,2026-05-01T18:23:15Z,False,104050.00,,103.98,104.12,,L,62,6,31082744516515,,regular,2026-05-01T18:23:15Z
1590,AKAM,103.925,1482097,2026-05-01T18:08:34Z,False,165240.750,,103.89,103.96,,L,55,41,31082743635426,,regular,2026-05-01T18:08:34Z
18100,AKAM,104,1480067,2026-05-01T18:08:05Z,False,1882400,contingent_trade,103.89,103.92,,L,45,40,31082743606850,qualified_contingent_trade,regular,2026-05-01T18:08:05Z
996,AKAM,103.545,1275143,2026-05-01T16:58:21Z,False,103130.820,,103.49,103.59,,L,34,200,31082739422395,,regular,2026-05-01T16:58:21Z
1200,AKAM,103.57,1204606,2026-05-01T16:36:52Z,False,124284.00,,103.53,103.63,,L,229,60,31082738133270,,regular,2026-05-01T16:36:51Z
1500,AKAM,103.555,1194499,2026-05-01T16:33:21Z,False,155332.500,,103.48,103.57,,L,1,359,31082737922566,,regular,2026-05-01T16:33:21Z
4700,AKAM,103.425,1172380,2026-05-01T16:29:01Z,False,486097.500,,103.38,103.47,,L,115,100,31082737662826,,regular,2026-05-01T16:29:01Z
1391,AKAM,103.4,1156505,2026-05-01T16:28:58Z,False,143829.4,,103.32,103.4,,L,120,275,31082737659907,,regular,2026-05-01T16:28:58Z
12600,AKAM,103.17,1098200,2026-05-01T16:15:03Z,False,1299942.00,,103.13,103.21,,L,84,236,31082736824674,,regular,2026-05-01T16:15:03Z
1323,AKAM,103.365,1028949,2026-05-01T16:07:03Z,False,136751.895,,103.33,103.36,,L,204,1205,31082736344994,,regular,2026-05-01T16:07:03Z
1389,AKAM,103.365,1027524,2026-05-01T16:07:03Z,False,143573.985,,103.33,103.36,,L,204,1205,31082736344993,,regular,2026-05-01T16:07:03Z
1742,AKAM,103.165,1013743,2026-05-01T16:06:02Z,False,179713.430,,103.11,103.19,,L,30,1909,31082736284011,,regular,2026-05-01T16:06:02Z
1072,AKAM,103.12,1012001,2026-05-01T16:06:02Z,False,110544.64,,103.11,103.19,,L,30,1909,31082736284006,,regular,2026-05-01T16:06:02Z
1516,AKAM,103.13,1010530,2026-05-01T16:06:02Z,False,156345.08,,103.11,103.19,,L,30,1909,31082736284002,,regular,2026-05-01T16:06:02Z
1742,AKAM,103.165,1008912,2026-05-01T16:06:02Z,False,179713.430,,103.11,103.19,,L,30,1909,31082736284000,,regular,2026-05-01T16:06:02Z
975,AKAM,103.055,983080,2026-05-01T16:03:35Z,False,100478.625,,103,103.11,,L,200,501,31082736136340,,regular,2026-05-01T16:03:35Z
1100,AKAM,103.055,982105,2026-05-01T16:03:33Z,False,113360.500,,103,103.11,,L,100,501,31082736134541,,regular,2026-05-01T16:03:33Z
1300,AKAM,103.055,980305,2026-05-01T16:03:33Z,False,133971.500,,103,103.11,,L,191,501,31082736134360,,regular,2026-05-01T16:03:33Z
1500,AKAM,103.08,976805,2026-05-01T16:03:32Z,False,154620.00,,103.08,103.16,,L,210,91,31082736134142,,regular,2026-05-01T16:03:32Z
5700,AKAM,103.045,936141,2026-05-01T15:49:47Z,False,587356.500,,102.96,103.08,,L,4,25,31082735308544,,regular,2026-05-01T15:49:47Z
998,AKAM,103.08,926504,2026-05-01T15:49:40Z,False,102873.84,,103.03,103.08,,L,4,100,31082735302095,,regular,2026-05-01T15:49:40Z
1005,AKAM,103.115,924306,2026-05-01T15:49:23Z,False,103630.575,,103.03,103.08,,L,4,25,31082735284175,,regular,2026-05-01T15:49:23Z
1500,AKAM,102.855,918588,2026-05-01T15:48:19Z,False,154282.500,,102.75,102.95,,L,250,120,31082735221075,,regular,2026-05-01T15:48:19Z
2751,AKAM,102.905,915282,2026-05-01T15:48:19Z,False,283091.655,,102.85,102.96,,L,100,100,31082735220665,,regular,2026-05-01T15:48:19Z
1700,AKAM,102.59,840493,2026-05-01T15:29:25Z,False,174403.00,,102.57,102.61,,L,10,14,31082734086393,,regular,2026-05-01T15:29:25Z
1500,AKAM,102.34,827374,2026-05-01T15:27:28Z,False,153510.00,,102.27,102.37,,L,42,101,31082733969265,,regular,2026-05-01T15:27:28Z
10037,AKAM,101.8,754223,2026-05-01T15:09:43Z,False,1021766.6,,101.92,102.05,,L,120,24,31082732904416,,regular,2026-05-01T15:09:43Z
1400,AKAM,102.81,674049,2026-05-01T14:55:39Z,False,143934.00,,102.7,102.89,,L,10,200,31082732061045,,regular,2026-05-01T14:55:39Z
192271,AKAM,103,624064,2026-05-01T14:45:32Z,False,19803913,,102.78,102.93,,L,3,148,31082731453240,,regular,2026-05-01T14:45:31Z
1500,AKAM,103.475,418578,2026-05-01T14:39:45Z,False,155212.500,,103.41,103.54,,L,429,100,31082731106596,,regular,2026-05-01T14:39:45Z
1000,AKAM,103.82,399674,2026-05-01T14:34:11Z,False,103820.00,,103.63,103.8,,L,9,100,31082730772535,,regular,2026-05-01T14:34:11Z
1000,AKAM,103.805,396454,2026-05-01T14:33:35Z,False,103805.000,,103.74,103.89,,L,26,59,31082730737106,,regular,2026-05-01T14:33:35Z
1000,AKAM,103.785,394981,2026-05-01T14:33:10Z,False,103785.000,,103.67,103.85,,L,50,200,31082730711409,,regular,2026-05-01T14:33:10Z
1810,AKAM,103.9,343263,2026-05-01T14:23:29Z,False,188059.0,,103.91,104.15,,L,481,10,31082730130262,,regular,2026-05-01T14:23:29Z
2426,AKAM,102.69,286024,2026-05-01T14:08:08Z,False,249125.94,,102.71,102.85,,L,81,1,31082729209190,,regular,2026-05-01T14:08:08Z
4174,AKAM,102.69,283498,2026-05-01T14:08:04Z,False,428628.06,,102.71,102.85,,L,82,1,31082729205563,,regular,2026-05-01T14:08:04Z
18562,AKAM,104.085,214999,2026-05-01T13:56:19Z,False,1932025.770,,103.58,103.91,,L,100,56,31082728501015,,regular,2026-05-01T13:56:19Z
1000,AKAM,104.3513,176845,2026-05-01T13:54:07Z,False,104351.3000,average_price_trade,104.29,104.5,,L,234,301,31082728368862,,regular,2026-05-01T13:54:07Z
1500,AKAM,104.295,170781,2026-05-01T13:52:05Z,False,156442.500,,104.16,104.33,,L,42,300,31082728246769,,regular,2026-05-01T13:52:05Z
1500,AKAM,104.28,162022,2026-05-01T13:50:39Z,False,156420.00,,104.21,104.4,,L,153,19,31082728160889,,regular,2026-05-01T13:50:39Z
8359,AKAM,104.506,86334,2026-05-01T13:35:14Z,False,873565.654,,104.25,104.89,,L,200,100,31082727235850,,regular,2026-05-01T13:35:13Z
995,AKAM,103.775,57227,2026-05-01T13:33:17Z,False,103256.125,,103.3,104.06,,L,3,211,31082727118183,,regular,2026-05-01T13:33:16Z
1700,AKAM,103.545,44645,2026-05-01T13:30:57Z,False,176026.500,,103.25,103.98,,L,17,10,31082726978743,,regular,2026-05-01T13:30:57Z
6389,AKAM,103.555,41482,2026-05-01T13:30:10Z,False,661612.895,,103.25,104,,L,1419,10,31082726931923,,regular,2026-05-01T13:30:10Z
5593,AKAM,102.98,9536,2026-05-01T12:09:47Z,False,575967.14,average_price_trade,99.56,107.15,extended_hours_trade,L,5,54,31082722108733,,regular,2026-05-01T12:09:47Z
