size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
16766,ALAB,71.09,8746044,2025-05-07T21:22:06Z,False,1191894.94,average_price_trade,71.01,71.25,extended_hours_trade,L,200,30,62526430302178,,,
4259,ALAB,71.09,8724740,2025-05-07T20:35:32Z,False,302772.31,,69.55,71.31,extended_hours_trade,L,180,1,59732271610532,,,
2468,ALAB,71.03,8411111,2025-05-07T19:59:44Z,False,175302.04,,71.23,71.24,,L,433,200,57584986766172,,,
2075,ALAB,71.245,8404918,2025-05-07T19:59:42Z,False,147833.375,,71.24,71.25,,L,1311,274,57582861498704,,,
2546,ALAB,71.245,8400991,2025-05-07T19:59:40Z,False,181389.770,,71.24,71.25,,L,1887,281,57580659496877,,,
2511,ALAB,71.255,8395408,2025-05-07T19:59:38Z,False,178921.305,,71.25,71.26,,L,19700,481,57578457666514,,,
2589,ALAB,71.255,8390335,2025-05-07T19:59:36Z,False,184479.195,,71.25,71.26,,L,1084,450,57576255427889,,,
2259,ALAB,71.255,8386453,2025-05-07T19:59:34Z,False,160965.045,,71.25,71.26,,L,946,628,57574053485075,,,
1807,ALAB,71.255,8380851,2025-05-07T19:59:31Z,False,128757.785,,71.25,71.26,,L,940,668,57571851582960,,,
1500,ALAB,71.265,8366236,2025-05-07T19:59:27Z,False,106897.500,,71.26,71.27,,L,11486,3599,57567360622538,,,
2000,ALAB,71.0901,8179264,2025-05-07T19:57:31Z,False,142180.2000,,71.15,71.22,,L,7,70,57451946170459,,,
4500,ALAB,70.65,7863124,2025-05-07T19:53:09Z,False,317925.00,,70.65,70.82,,L,182,106,57189988269695,,,
9257,ALAB,70.65,7857722,2025-05-07T19:53:09Z,False,654007.05,,70.65,70.82,,L,182,106,57189987158427,,,
2834,ALAB,71.05,7823244,2025-05-07T19:53:00Z,False,201355.70,,71.04,71.08,,L,52,100,57180860458784,,,
4664,ALAB,70.81,7636554,2025-05-07T19:50:16Z,False,330257.84,,70.78,70.79,,L,74,11,57016805744984,,,
15343,ALAB,70.81,7651897,2025-05-07T19:50:16Z,False,1086437.83,,70.78,70.79,,L,74,11,57016805811175,,,
4487,ALAB,71.279,7420624,2025-05-07T19:46:34Z,False,319828.873,,71.08,71.25,,L,10,30,56794463237382,,,
2500,ALAB,69.75,7104354,2025-05-07T19:40:40Z,False,174375.00,,69.71,69.77,,L,57,101,56440995009234,,,
3340,ALAB,69.725,7035896,2025-05-07T19:38:12Z,False,232881.500,,69.70,69.75,,L,372,100,56292767625647,,,
2100,ALAB,69.185,6915431,2025-05-07T19:33:27Z,False,145288.500,,69.13,69.22,,L,5,96,56007527823433,,,
1600,ALAB,69.21,6672564,2025-05-07T19:20:59Z,False,110736.00,,69.15,69.21,,L,626,158,55259604592342,,,
1900,ALAB,69.35,6649709,2025-05-07T19:20:06Z,False,131765.00,,69.23,69.33,,L,61,5,55206982395165,,,
1900,ALAB,69.035,6617343,2025-05-07T19:19:13Z,False,131166.500,,69.01,69.04,,L,40,100,55153484371126,,,
2000,ALAB,69.095,6608001,2025-05-07T19:18:37Z,False,138190.000,,69.06,69.12,,L,31,32,55117527541215,,,
2650,ALAB,68.99,6567653,2025-05-07T19:17:26Z,False,182823.50,,68.98,69.07,,L,317,228,55046637684584,,,
3300,ALAB,69.16,6439813,2025-05-07T19:10:23Z,False,228228.00,,69.06,69.12,,L,25,211,54623407792999,,,
5000,ALAB,69.0899,6392430,2025-05-07T19:07:20Z,False,345449.5000,,69,69.09,,L,15,5,54440359481149,,,
2700,ALAB,68.50,6160102,2025-05-07T18:49:50Z,False,184950.00,,68.40,68.53,,L,100,40,53390778847300,,,
2000,ALAB,68.5601,6045853,2025-05-07T18:43:31Z,False,137120.2000,,68.55,68.68,,L,303,1,53011173958484,,,
3291,ALAB,68.45,5985298,2025-05-07T18:38:12Z,False,225268.95,,68.40,68.53,,L,201,1,52692783322069,,,
4300,ALAB,68,5736154,2025-05-07T18:18:21Z,False,292400,,67.96,68.11,,L,1,47,51501351547846,,,
