size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1380,ALB,99.54,1631345,2024-12-16T21:07:00Z,False,137365.20,average_price_trade,100.99,99.43,extended_hours_trade,L,10,2,58020180008473,,,
5247,ALB,99.54,1629844,2024-12-16T21:06:45Z,False,522286.38,average_price_trade,100.99,99.43,extended_hours_trade,L,10,2,58005374688351,,,
1216,ALB,99.54,1623734,2024-12-16T21:02:34Z,False,121040.64,prior_reference_price,100.99,99.43,extended_hours_trade,L,10,2,57754121693298,,,
9100,ALB,99.54,1622518,2024-12-16T21:02:34Z,False,905814.00,prior_reference_price,100.99,99.43,extended_hours_trade,L,10,2,57754054565080,,,
2310,ALB,99.54,1612779,2024-12-16T21:02:05Z,False,229937.40,prior_reference_price,100.99,99.43,extended_hours_trade,L,10,2,57725575099469,,,
1080,ALB,99.54,1609854,2024-12-16T21:01:11Z,False,107503.20,prior_reference_price,100.99,99.43,extended_hours_trade,L,10,2,57671137667513,,,
5205,ALB,99.54,1607894,2024-12-16T21:00:19Z,False,518105.70,prior_reference_price,100.99,99.43,extended_hours_trade,L,10,2,57619823070690,,,
1383,ALB,99.54,1602689,2024-12-16T21:00:19Z,False,137663.82,prior_reference_price,100.99,99.43,extended_hours_trade,L,10,2,57619818553203,,,
2300,ALB,99.54,1598731,2024-12-16T21:00:19Z,False,228942.00,prior_reference_price,100.99,99.43,extended_hours_trade,L,10,2,57619539603405,,,
1433,ALB,99.54,1595988,2024-12-16T21:00:19Z,False,142640.82,prior_reference_price,100.99,99.43,extended_hours_trade,L,10,2,57619524087622,,,
1341,ALB,99.54,1592081,2024-12-16T21:00:02Z,False,133483.14,,100.99,96.85,extended_hours_trade,L,10,1,57602531114018,,,
1700,ALB,99.8102,1257860,2024-12-16T20:56:59Z,False,169677.3400,average_price_trade,99.73,99.68,,L,189,5,57419263138662,derivative_priced,,
18000,ALB,99.86,1212604,2024-12-16T20:55:01Z,False,1797480.00,contingent_trade,99.86,99.81,,L,108,500,57301777501913,qualified_contingent_trade,,
36000,ALB,99.77,1148622,2024-12-16T20:51:30Z,False,3591720.00,,99.80,99.73,,L,94,30,57090353921078,,,
18000,ALB,99.63,1107779,2024-12-16T20:50:59Z,False,1793340.00,,99.64,99.60,,L,51,2,57059336333271,,,
18000,ALB,99.78,1087642,2024-12-16T20:49:28Z,True,1796040.00,,99.80,99.76,,L,94,209,56968243362990,,,
1163,ALB,99.62,1044766,2024-12-16T20:42:32Z,False,115858.06,,99.68,99.62,,L,3,100,56552709735780,,,
18000,ALB,99.73,1041013,2024-12-16T20:42:08Z,False,1795140.00,contingent_trade,99.73,99.70,,L,194,100,56528284728029,qualified_contingent_trade,,
37000,ALB,99.74,1021884,2024-12-16T20:41:57Z,False,3690380.00,contingent_trade,99.74,99.69,,L,103,136,56517792075936,qualified_contingent_trade,,
18000,ALB,99.68,976044,2024-12-16T20:39:21Z,False,1794240.00,,99.71,99.63,,L,42,6,56361831124341,,,
1211,ALB,100.39,860698,2024-12-16T20:04:51Z,False,121572.29,,100.45,100.39,,L,20,24,54291003468091,,,
1000,ALB,100.2629,853306,2024-12-16T20:03:52Z,False,100262.9000,,100.32,100.26,,L,25,249,54232966916327,,,
1227,ALB,100.21,810528,2024-12-16T19:41:22Z,False,122957.67,,100.25,100.21,,L,4,27,52882781187765,,,
1500,ALB,100.45,788709,2024-12-16T19:26:14Z,False,150675.00,,100.47,100.37,,L,59,14,51974826138169,,,
1341,ALB,100.29,783915,2024-12-16T19:25:09Z,False,134488.89,,100.40,100.29,,L,31,10,51909581163361,,,
