size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
7599,ALB,61.57,3986492,2025-05-12T20:02:22Z,False,467870.43,prior_reference_price,61,63,extended_hours_trade,L,40,50,57742611364714,,,
2546,ALB,61.57,3977697,2025-05-12T20:01:10Z,False,156757.22,prior_reference_price,61,63,extended_hours_trade,L,40,50,57670000240044,,,
1787,ALB,61.57,3966951,2025-05-12T20:00:27Z,False,110025.59,prior_reference_price,61,63,extended_hours_trade,L,40,50,57627346883716,,,
2230,ALB,61.57,3962568,2025-05-12T20:00:27Z,False,137301.10,prior_reference_price,61,63,extended_hours_trade,L,40,50,57627310825110,,,
6888,ALB,61.57,3960338,2025-05-12T20:00:27Z,False,424094.16,prior_reference_price,61,63,extended_hours_trade,L,40,50,57627308714662,,,
2112,ALB,61.57,3946209,2025-05-12T20:00:02Z,False,130035.84,,61.21,62.09,extended_hours_trade,L,100,200,57602606177349,,,
1717,ALB,61.265,3202407,2025-05-12T19:42:51Z,False,105192.005,,61.24,61.27,,L,1,100,56571950055469,,,
2118,ALB,61.22,3177405,2025-05-12T19:39:11Z,False,129663.96,,61.22,61.24,,L,30,3,56351833919520,,,
2000,ALB,61.3184,3083718,2025-05-12T19:23:30Z,False,122636.8000,,61.30,61.34,,L,125,180,55410057641731,,,
40000,ALB,61.66,2923339,2025-05-12T18:51:14Z,False,2466400.00,,61.63,61.68,,L,120,2,53474681017653,,,
3000,ALB,61.7456,2783861,2025-05-12T18:19:10Z,False,185236.8000,,61.73,61.75,,L,1,10,51550874860614,,,
2088,ALB,62.0688,2717062,2025-05-12T17:59:46Z,False,129599.6544,,62.06,62.11,,L,52,100,50386858899584,,,
4484,ALB,62.07,2631965,2025-05-12T17:43:10Z,False,278321.88,,62.01,62.07,,L,10,100,49390012328889,,,
1984,ALB,62.2232,2587549,2025-05-12T17:37:48Z,False,123450.8288,,62.18,62.25,,L,18,132,49068161121892,,,
1800,ALB,62.318,2453701,2025-05-12T17:16:39Z,False,112172.400,,62.26,62.32,,L,329,20,47799297027544,,,
40000,ALB,61.56,2259740,2025-05-12T16:38:18Z,False,2462400.00,,61.54,61.57,,L,5,36,45498765630257,,,
5318,ALB,61.365,2155255,2025-05-12T16:14:07Z,False,326339.070,,61.33,61.40,,L,278,132,44047160540897,,,
100000,ALB,61.18,1977600,2025-05-12T15:32:25Z,False,6118000.00,,61.16,61.23,,L,23,10,41545332801230,,,
2800,ALB,60.98,1829898,2025-05-12T15:26:12Z,False,170744.00,,60.98,61.05,,L,10,3,41172455161596,,,
4000,ALB,61,1798701,2025-05-12T15:23:11Z,False,244000,,61,61.05,,L,400,16,40991107958425,,,
1854,ALB,61.406,1255394,2025-05-12T14:30:30Z,False,113846.724,,61.34,61.45,,L,51,195,37830840193816,,,
2031,ALB,61.875,1142164,2025-05-12T14:24:15Z,False,125668.125,,61.79,61.94,,L,20,436,37455550681096,,,
3698,ALB,61.7898,1131727,2025-05-12T14:23:29Z,False,228498.6804,,61.66,61.71,,L,269,20,37409468042276,,,
6000,ALB,62.13,1007737,2025-05-12T14:14:09Z,False,372780.00,,62.13,62.19,,L,176,96,36849096433549,,,
2000,ALB,62.0592,845313,2025-05-12T14:01:48Z,False,124118.4000,,61.98,62.10,,L,17,105,36108607533300,,,
4874,ALB,62.07,842323,2025-05-12T14:01:34Z,False,302529.18,,61.93,62.08,,L,17,4,36094425242781,,,
2071,ALB,61.895,820028,2025-05-12T14:00:10Z,False,128184.545,,61.75,61.90,,L,18,16,36010801089925,,,
2215,ALB,62.80,467782,2025-05-12T13:42:40Z,False,139102.00,,62.69,62.80,,L,129,5,34960107232612,,,
5000,ALB,63.23,313350,2025-05-12T13:35:16Z,False,316150.00,,63.28,63.45,,L,16,616,34516891237827,,,
3600,ALB,63.15,243228,2025-05-12T13:33:58Z,False,227340.00,,63.09,63.29,,L,16,20,34438428832417,,,
2400,ALB,63.20,228613,2025-05-12T13:33:41Z,False,151680.00,,62.85,63.23,,L,120,226,34421061194883,,,
2700,ALB,63.15,216531,2025-05-12T13:33:30Z,False,170505.00,,63.07,63.20,,L,79,20,34410573105563,,,
4200,ALB,62.99,197911,2025-05-12T13:33:08Z,False,264558.00,,62.85,62.99,,L,16,23,34388247580489,,,
2000,ALB,62.06,109392,2025-05-12T13:30:07Z,False,124120.00,,62.06,62.28,,L,300,100,34207835533623,,,
