size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
33278,ALGM,26.42,3490738,2025-12-18T23:25:12Z,False,879204.76,average_price_trade,25.91,26.94,extended_hours_trade,L,74,77,24004656529851,,regular,
20957,ALGM,26.42,3457405,2025-12-18T22:48:13Z,False,553683.94,prior_reference_price,25.91,26.94,extended_hours_trade,L,74,77,24004654310775,,regular,
12400,ALGM,26.42,3436448,2025-12-18T22:45:44Z,False,327608.00,prior_reference_price,25.91,26.94,extended_hours_trade,L,74,77,24004654161940,,regular,
40757,ALGM,26.42,3424048,2025-12-18T22:45:44Z,False,1076799.94,prior_reference_price,25.91,26.94,extended_hours_trade,L,74,77,24004654161933,,regular,
8325,ALGM,26.42,3370117,2025-12-18T21:00:10Z,False,219946.50,prior_reference_price,26.32,26.52,extended_hours_trade,L,1215,1215,24004647827652,,regular,
3894,ALGM,26.483,2910711,2025-12-18T20:51:25Z,False,103124.802,,26.48,26.5,,L,29,359,24004647302965,,regular,
6500,ALGM,26.58,1324632,2025-12-18T15:34:38Z,False,172770.00,,26.56,26.58,,L,310,39,24004628296078,,regular,
42242,ALGM,26.7,1070012,2025-12-18T15:07:27Z,False,1127861.4,,26.62,26.73,,L,100,25,24004626664748,,regular,
50000,ALGM,26.39,907049,2025-12-18T14:41:10Z,False,1319500.00,,26.36,26.45,,L,2,18,24004625087652,,regular,
649200,ALGM,26,797087,2025-12-18T14:38:34Z,False,16879200,,26.3,26.41,,L,1620,53,24004624931620,intermarket_sweep,regular,
46100,ALGM,26.26,141045,2025-12-18T14:37:13Z,False,1210586.00,,26.17,26.3,,L,29,100,24004624850993,,regular,
12400,ALGM,26.325,70278,2025-12-18T14:30:54Z,False,326430.000,,26.25,26.35,,L,41,2170,24004624472174,,regular,
7900,ALGM,26.325,56811,2025-12-18T14:30:41Z,False,207967.500,,26.25,26.35,,L,41,2170,24004624459342,,regular,
25000,ALGM,26.155,48442,2025-12-18T14:30:26Z,False,653875.000,,25.98,26.25,,L,100,2095,24004624443645,,regular,
