size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3090,ALGN,173.76,1277761,2026-06-22T22:01:03Z,False,536918.40,average_price_trade,170.39,182.1,extended_hours_trade,L,100,11,31194426734453,,regular,2026-06-22T22:01:02Z
4500,ALGN,173.76,1274600,2026-06-22T21:27:43Z,False,781920.00,prior_reference_price,170.39,182.1,extended_hours_trade,L,100,11,31194424734476,,regular,2026-06-22T21:27:43Z
19728,ALGN,173.76,1270100,2026-06-22T21:26:20Z,False,3427937.28,prior_reference_price,170.39,182.1,extended_hours_trade,L,100,11,31194424651485,,regular,2026-06-22T21:26:20Z
21793,ALGN,173.76,1250159,2026-06-22T20:04:00Z,False,3786751.68,prior_reference_price,173,177.2,extended_hours_trade,L,11,1,31194419711097,,regular,2026-06-22T20:04:00Z
21800,ALGN,173.76,1228366,2026-06-22T20:03:50Z,False,3787968.00,prior_reference_price,173,177.2,extended_hours_trade,L,11,1,31194419701746,,regular,2026-06-22T20:03:50Z
1205,ALGN,173.76,1206565,2026-06-22T20:01:36Z,False,209380.80,,173,177.2,extended_hours_trade,L,11,1,31194419567636,,regular,2026-06-22T20:01:36Z
2445,ALGN,173.76,1205360,2026-06-22T20:00:25Z,False,424843.20,prior_reference_price,173,180,extended_hours_trade,L,10,1,31194419495866,,regular,2026-06-22T20:00:25Z
79000,ALGN,173.76,1202915,2026-06-22T20:00:24Z,False,13727040.00,prior_reference_price,173,180,extended_hours_trade,L,10,1,31194419495603,,regular,2026-06-22T20:00:24Z
4438,ALGN,173.76,1123403,2026-06-22T20:00:23Z,False,771146.88,prior_reference_price,173,180,extended_hours_trade,L,10,1,31194419494206,,regular,2026-06-22T20:00:23Z
14200,ALGN,173.76,1118458,2026-06-22T20:00:20Z,False,2467392.00,prior_reference_price,173,180,extended_hours_trade,L,10,1,31194419491359,,regular,2026-06-22T20:00:20Z
573,ALGN,175.05,600200,2026-06-22T19:54:30Z,False,100303.65,,175.05,175.36,,L,14,11,31194419141385,,regular,2026-06-22T19:54:30Z
600,ALGN,175.02,598653,2026-06-22T19:54:06Z,False,105012.00,,175.03,175.24,,L,4,2,31194419117671,,regular,2026-06-22T19:54:06Z
600,ALGN,175.02,597631,2026-06-22T19:54:06Z,False,105012.00,,175.03,175.24,,L,4,2,31194419117664,,regular,2026-06-22T19:54:06Z
1600,ALGN,175.02,596311,2026-06-22T19:54:06Z,False,280032.00,,175.03,175.24,,L,4,2,31194419117645,,regular,2026-06-22T19:54:06Z
900,ALGN,174.59,577329,2026-06-22T19:53:27Z,False,157131.00,,174.59,174.77,,L,22,350,31194419078619,,regular,2026-06-22T19:53:27Z
1000,ALGN,174.67,571440,2026-06-22T19:53:10Z,False,174670.00,,174.67,174.99,,L,100,90,31194419060916,,regular,2026-06-22T19:53:10Z
1100,ALGN,175.5,486089,2026-06-22T19:39:07Z,False,193050.0,,175.29,175.75,,L,33,1,31194418218207,,regular,2026-06-22T19:39:07Z
10310,ALGN,174.835,477449,2026-06-22T19:39:07Z,False,1802548.850,,174.79,174.96,,L,135,1,31194418217899,,regular,2026-06-22T19:39:07Z
1597,ALGN,174.725,439146,2026-06-22T19:29:27Z,False,279035.825,,174.61,174.84,,L,253,51,31194417638712,,regular,2026-06-22T19:29:27Z
