size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
58897,ALK,52.51,3379228,2026-02-24T21:00:33Z,False,3092681.47,prior_reference_price,53.93,50,extended_hours_trade,L,2,52,27754154300397,,regular,2026-02-24T21:00:33Z
91700,ALK,52.51,3320331,2026-02-24T21:00:33Z,False,4815167.00,prior_reference_price,53.93,50,extended_hours_trade,L,2,52,27754154300164,,regular,2026-02-24T21:00:33Z
7600,ALK,52.51,3228543,2026-02-24T21:00:33Z,False,399076.00,prior_reference_price,53.93,50,extended_hours_trade,L,2,52,27754154299774,,regular,2026-02-24T21:00:33Z
2005,ALK,52.51,3219217,2026-02-24T21:00:04Z,False,105282.55,,52.54,52.51,extended_hours_trade,L,166,19,27754154271177,,regular,2026-02-24T21:00:04Z
5553,ALK,52.5614,2205403,2026-02-24T20:54:24Z,False,291873.4542,,52.59,52.57,,L,11,161,27754153931379,,regular,2026-02-24T20:54:24Z
3880,ALK,52.6801,2101690,2026-02-24T20:47:53Z,False,204398.7880,,52.7,52.68,,L,10,184,27754153540723,,regular,2026-02-24T20:47:53Z
4443,ALK,52.76,2062503,2026-02-24T20:43:27Z,False,234412.68,,52.78,52.76,,L,107,305,27754153274124,,regular,2026-02-24T20:43:27Z
3141,ALK,52.745,2054031,2026-02-24T20:43:22Z,False,165672.045,,52.75,52.73,,L,10,505,27754153269034,,regular,2026-02-24T20:43:22Z
1966,ALK,52.65,2027589,2026-02-24T20:39:54Z,False,103509.90,,52.67,52.61,,L,318,30,27754153060940,,regular,2026-02-24T20:39:54Z
11490,ALK,52.76,1935145,2026-02-24T20:26:35Z,False,606212.40,,52.81,52.76,,L,508,30,27754152262682,,regular,2026-02-24T20:26:35Z
4088,ALK,53.1007,1903548,2026-02-24T20:20:25Z,False,217075.6616,,53.13,53.11,,L,13,1,27754151892612,,regular,2026-02-24T20:20:25Z
2700,ALK,53.31,1778995,2026-02-24T19:43:28Z,False,143937.00,,53.4,53.34,,L,245,20,27754149675597,,regular,2026-02-24T19:43:28Z
2200,ALK,53.565,1733524,2026-02-24T19:29:14Z,False,117843.000,,53.59,53.54,,L,516,85,27754148820867,,regular,2026-02-24T19:29:14Z
2700,ALK,53.555,1698899,2026-02-24T19:28:17Z,False,144598.500,,53.59,53.53,,L,30,21,27754148764538,,regular,2026-02-24T19:28:17Z
3121,ALK,53.245,1584940,2026-02-24T19:21:16Z,False,166177.645,,53.28,53.16,,L,200,130,27754148343532,,regular,2026-02-24T19:21:16Z
6596,ALK,53.43,1424933,2026-02-24T19:04:42Z,False,352424.28,,53.48,53.39,,L,400,40,27754147348755,,regular,2026-02-24T19:04:42Z
2417,ALK,53.245,1393944,2026-02-24T19:02:09Z,False,128693.165,,53.27,53.22,,L,109,2,27754147195972,,regular,2026-02-24T19:02:09Z
1900,ALK,53,1315728,2026-02-24T18:37:13Z,False,100700,,52.99,52.96,,L,600,13,27754145700260,,regular,2026-02-24T18:37:13Z
2821,ALK,52.4,1182395,2026-02-24T17:47:02Z,False,147820.4,,52.46,52.4,,L,36,107,27754142689159,,regular,2026-02-24T17:47:02Z
3600,ALK,52.64,1068729,2026-02-24T17:11:59Z,False,189504.00,,52.66,52.62,,L,113,100,27754140585906,,regular,2026-02-24T17:11:59Z
1900,ALK,52.695,1053405,2026-02-24T17:10:17Z,False,100120.500,,52.7,52.69,,L,6,6,27754140484052,,regular,2026-02-24T17:10:17Z
3000,ALK,52.64,963052,2026-02-24T16:44:18Z,False,157920.00,,52.65,52.63,,L,113,104,27754138925144,,regular,2026-02-24T16:44:18Z
5194,ALK,52.66,945010,2026-02-24T16:42:42Z,False,273516.04,,52.66,52.64,,L,27,60,27754138828937,,regular,2026-02-24T16:42:42Z
4255,ALK,52.66,939664,2026-02-24T16:42:42Z,False,224068.30,,52.66,52.64,,L,27,60,27754138828935,,regular,2026-02-24T16:42:42Z
5600,ALK,53.09,633432,2026-02-24T15:53:21Z,False,297304.00,,53.08,53.03,,L,10,1,27754135868404,,regular,2026-02-24T15:53:21Z
3000,ALK,53.02,539868,2026-02-24T15:36:18Z,False,159060.00,,53.09,52.95,,L,2,170,27754134845015,,regular,2026-02-24T15:36:18Z
2000,ALK,52.1891,233619,2026-02-24T15:00:11Z,False,104378.2000,,52.27,52.16,,L,12,100,27754132677885,,regular,2026-02-24T15:00:11Z
2178,ALK,52.005,213067,2026-02-24T14:55:45Z,False,113266.890,,52.26,52.04,,L,30,70,27754132412457,,regular,2026-02-24T14:55:45Z
12700,ALK,51.98,189335,2026-02-24T14:53:49Z,False,660146.00,,52.08,52,,L,235,27,27754132296188,,regular,2026-02-24T14:53:49Z
54416,ALK,50.63,54501,2026-02-24T13:00:08Z,False,2755082.08,average_price_trade,52.88,48,extended_hours_trade,L,20,100,27754125475012,,regular,2026-02-24T13:00:08Z
