size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4153,ALK,38.63,5333168,2026-03-23T20:52:11Z,False,160430.39,prior_reference_price,38.63,39.71,extended_hours_trade,L,300,100,27754153798235,,regular,2026-03-23T20:52:11Z
7000,ALK,39.659,5328395,2026-03-23T20:14:32Z,False,277613.000,,38.63,39.72,extended_hours_trade,L,30,3,27754151539109,,regular,2026-03-23T20:14:32Z
5603,ALK,38.63,5315634,2026-03-23T20:00:38Z,False,216443.89,prior_reference_price,38.51,39.72,extended_hours_trade,L,30,20,27754150705505,,regular,2026-03-23T20:00:38Z
4848,ALK,38.63,5310031,2026-03-23T20:00:38Z,False,187278.24,prior_reference_price,38.51,39.72,extended_hours_trade,L,30,20,27754150705493,,regular,2026-03-23T20:00:38Z
26019,ALK,38.63,5305183,2026-03-23T20:00:38Z,False,1005113.97,prior_reference_price,38.51,39.72,extended_hours_trade,L,30,20,27754150705480,,regular,2026-03-23T20:00:38Z
4932,ALK,38.63,5279134,2026-03-23T20:00:38Z,False,190523.16,prior_reference_price,38.51,39.72,extended_hours_trade,L,30,20,27754150705461,,regular,2026-03-23T20:00:38Z
15669,ALK,38.63,5273738,2026-03-23T20:00:38Z,False,605293.47,prior_reference_price,38.51,39.72,extended_hours_trade,L,30,20,27754150705396,,regular,2026-03-23T20:00:38Z
3200,ALK,38.6588,4525341,2026-03-23T19:58:16Z,False,123708.1600,average_price_trade,38.65,38.66,,L,1269,121,27754150563170,derivative_priced,regular,2026-03-23T19:58:16Z
3600,ALK,38.6304,4351580,2026-03-23T19:54:47Z,False,139069.4400,average_price_trade,38.66,38.67,,L,1,261,27754150354708,derivative_priced,regular,2026-03-23T19:54:47Z
5100,ALK,38.6743,4224050,2026-03-23T19:50:45Z,False,197238.9300,average_price_trade,38.6,38.62,,L,24,264,27754150112071,derivative_priced,regular,2026-03-23T19:50:45Z
4000,ALK,38.98,3826575,2026-03-23T19:06:21Z,False,155920.00,,38.96,38.99,,L,303,200,27754147448429,,regular,2026-03-23T19:06:21Z
4000,ALK,38.9772,3814504,2026-03-23T19:04:55Z,False,155908.8000,,38.97,39.02,,L,20,1,27754147361956,,regular,2026-03-23T19:04:55Z
4055,ALK,39.07,3781010,2026-03-23T19:01:19Z,False,158428.85,,39.08,39.11,,L,409,61,27754147146627,,regular,2026-03-23T19:01:19Z
4000,ALK,39.16,3764248,2026-03-23T18:59:32Z,False,156640.00,,39.14,39.17,,L,40,510,27754147039484,,regular,2026-03-23T18:59:32Z
8000,ALK,39.1401,3631108,2026-03-23T18:40:17Z,False,313120.8000,,39.14,39.17,,L,100,300,27754145884572,,regular,2026-03-23T18:40:17Z
3162,ALK,39.17,3608119,2026-03-23T18:39:18Z,False,123855.54,,39.17,39.19,,L,10,420,27754145824905,,regular,2026-03-23T18:39:18Z
8336,ALK,39.16,3595455,2026-03-23T18:37:41Z,False,326437.76,,39.14,39.2,,L,181,300,27754145728548,,regular,2026-03-23T18:37:41Z
9000,ALK,39.06,3475298,2026-03-23T18:28:29Z,False,351540.00,,39.06,39.11,,L,280,14,27754145175923,,regular,2026-03-23T18:28:29Z
7184,ALK,39.1,3441548,2026-03-23T18:26:48Z,False,280894.4,,39.07,39.11,,L,234,300,27754145075197,,regular,2026-03-23T18:26:48Z
7200,ALK,39.055,3429175,2026-03-23T18:25:40Z,False,281196.000,,39.04,39.07,,L,310,190,27754145006786,,regular,2026-03-23T18:25:40Z
3500,ALK,38.9,3373731,2026-03-23T18:19:35Z,False,136150.0,,38.87,38.93,,L,200,325,27754144642737,,regular,2026-03-23T18:19:35Z
4100,ALK,38.9,3368298,2026-03-23T18:19:19Z,False,159490.0,,38.88,38.93,,L,101,52,27754144625767,,regular,2026-03-23T18:19:19Z
3600,ALK,38.86,3344857,2026-03-23T18:16:50Z,False,139896.00,,38.87,38.88,,L,160,33,27754144476784,,regular,2026-03-23T18:16:50Z
3800,ALK,38.755,3278667,2026-03-23T18:08:50Z,False,147269.000,,38.72,38.78,,L,81,150,27754143997553,,regular,2026-03-23T18:08:50Z
4000,ALK,38.74,3273637,2026-03-23T18:08:39Z,False,154960.00,,38.71,38.78,,L,103,110,27754143985994,,regular,2026-03-23T18:08:39Z
2600,ALK,38.68,3257475,2026-03-23T18:07:27Z,False,100568.00,,38.68,38.77,,L,63,1,27754143914733,,regular,2026-03-23T18:07:27Z
4000,ALK,38.91,3203063,2026-03-23T18:00:21Z,False,155640.00,,38.89,38.94,,L,1,109,27754143488040,,regular,2026-03-23T18:00:21Z
5000,ALK,38.89,3196917,2026-03-23T17:59:31Z,False,194450.00,,38.88,38.91,,L,200,24,27754143438051,,regular,2026-03-23T17:59:31Z
12663,ALK,38.85,3158563,2026-03-23T17:54:17Z,False,491957.55,,38.82,38.85,,L,91,184,27754143124019,,regular,2026-03-23T17:54:17Z
6300,ALK,38.84,3127748,2026-03-23T17:54:12Z,False,244692.00,,38.85,38.89,,L,31,701,27754143119354,,regular,2026-03-23T17:54:12Z
4500,ALK,38.86,3109772,2026-03-23T17:53:56Z,False,174870.00,,38.84,38.89,,L,113,707,27754143102899,,regular,2026-03-23T17:53:56Z
3000,ALK,38.815,3057149,2026-03-23T17:43:30Z,False,116445.000,,38.79,38.83,,L,6,10,27754142477071,,regular,2026-03-23T17:43:30Z
5000,ALK,38.91,3050043,2026-03-23T17:42:29Z,False,194550.00,,38.88,38.93,,L,106,215,27754142416179,,regular,2026-03-23T17:42:29Z
3273,ALK,38.725,2950181,2026-03-23T17:29:19Z,False,126746.925,,38.72,38.74,,L,111,9,27754141626315,,regular,2026-03-23T17:29:19Z
5160,ALK,38.705,2924488,2026-03-23T17:26:12Z,False,199717.800,,38.65,38.75,,L,100,43,27754141438970,,regular,2026-03-23T17:26:12Z
5000,ALK,38.71,2910602,2026-03-23T17:23:34Z,False,193550.00,,38.69,38.72,,L,30,21,27754141281103,,regular,2026-03-23T17:23:34Z
3392,ALK,38.63,2894419,2026-03-23T17:21:52Z,False,131032.96,,38.62,38.65,,L,320,34,27754141179477,,regular,2026-03-23T17:21:52Z
9000,ALK,38.81,2824174,2026-03-23T17:11:59Z,False,349290.00,,38.79,38.84,,L,7,480,27754140586136,,regular,2026-03-23T17:11:59Z
3000,ALK,38.62,2774479,2026-03-23T17:04:44Z,False,115860.00,,38.6,38.65,,L,240,201,27754140150967,,regular,2026-03-23T17:04:44Z
3000,ALK,38.6,2764419,2026-03-23T17:03:04Z,False,115800.0,,38.59,38.62,,L,4,100,27754140051460,,regular,2026-03-23T17:03:04Z
3000,ALK,38.66,2758427,2026-03-23T17:01:43Z,False,115980.00,,38.63,38.68,,L,10,230,27754139970667,,regular,2026-03-23T17:01:43Z
3100,ALK,38.7,2692159,2026-03-23T16:47:23Z,False,119970.0,,38.63,38.71,,L,21,189,27754139110401,,regular,2026-03-23T16:47:23Z
4000,ALK,38.54,2659291,2026-03-23T16:42:52Z,False,154160.00,,38.51,38.57,,L,16,27,27754138839406,,regular,2026-03-23T16:42:52Z
11316,ALK,38.78,2623993,2026-03-23T16:36:53Z,False,438834.48,,38.77,38.8,,L,337,2,27754138480484,,regular,2026-03-23T16:36:53Z
2858,ALK,38.65,2527828,2026-03-23T16:28:31Z,False,110461.70,,38.55,38.63,,L,21,234,27754137978010,,regular,2026-03-23T16:28:31Z
3000,ALK,38.74,2470828,2026-03-23T16:20:39Z,False,116220.00,,38.73,38.78,,L,10,1,27754137506694,,regular,2026-03-23T16:20:39Z
3000,ALK,38.84,2379477,2026-03-23T16:06:44Z,False,116520.00,,38.82,38.89,,L,100,300,27754136671706,,regular,2026-03-23T16:06:44Z
3736,ALK,38.78,2339460,2026-03-23T16:02:37Z,False,144882.08,,38.74,38.82,,L,100,380,27754136423821,,regular,2026-03-23T16:02:37Z
5485,ALK,38.78,2306493,2026-03-23T15:56:22Z,False,212708.30,,38.75,38.84,,L,30,200,27754136048781,,regular,2026-03-23T15:56:22Z
8200,ALK,39.4,2138717,2026-03-23T15:37:01Z,False,323080.0,,39.44,39.46,,L,20,100,27754134888067,,regular,2026-03-23T15:37:01Z
4500,ALK,39.535,2108545,2026-03-23T15:33:32Z,False,177907.500,,39.46,39.56,,L,100,222,27754134679676,,regular,2026-03-23T15:33:32Z
2700,ALK,39.81,1884223,2026-03-23T15:17:00Z,False,107487.00,,39.78,39.81,,L,207,370,27754133686873,,regular,2026-03-23T15:17:00Z
3000,ALK,39.8,1871299,2026-03-23T15:16:34Z,False,119400.0,,39.75,39.8,,L,500,422,27754133661647,,regular,2026-03-23T15:16:34Z
4000,ALK,39.49,1774371,2026-03-23T15:04:41Z,False,157960.00,,39.5,39.56,,L,124,20,27754132947909,,regular,2026-03-23T15:04:41Z
4000,ALK,39.4,1713214,2026-03-23T14:57:00Z,False,157600.0,,39.37,39.44,,L,67,50,27754132487214,,regular,2026-03-23T14:57:00Z
4000,ALK,39.4901,1616697,2026-03-23T14:48:34Z,False,157960.4000,,39.49,39.6,,L,1370,110,27754131981351,,regular,2026-03-23T14:48:34Z
8016,ALK,39.19,1563650,2026-03-23T14:46:01Z,False,314147.04,,39.14,39.29,,L,44,10,27754131828712,,regular,2026-03-23T14:46:01Z
5076,ALK,39.125,1471607,2026-03-23T14:31:01Z,False,198598.500,,39.08,39.17,,L,68,10,27754130928163,,regular,2026-03-23T14:31:01Z
2900,ALK,39.31,1437275,2026-03-23T14:29:45Z,False,113999.00,,39.25,39.31,,L,14,300,27754130852385,,regular,2026-03-23T14:29:45Z
2703,ALK,39.4221,1277088,2026-03-23T14:19:15Z,False,106557.9363,,39.42,39.46,,L,47,10,27754130222178,,regular,2026-03-23T14:19:15Z
2880,ALK,39.4,1261995,2026-03-23T14:18:47Z,False,113472.0,,39.35,39.43,,L,100,87,27754130193793,,regular,2026-03-23T14:18:47Z
6352,ALK,39.305,1241613,2026-03-23T14:18:08Z,False,249665.360,,39.28,39.35,,L,2,40,27754130155144,,regular,2026-03-23T14:18:08Z
3696,ALK,39.3392,1186017,2026-03-23T14:16:29Z,False,145397.6832,,39.26,39.36,,L,1,100,27754130056263,,regular,2026-03-23T14:16:29Z
2900,ALK,39.16,1145727,2026-03-23T14:12:51Z,False,113564.00,,39.14,39.2,,L,3,12,27754129838288,,regular,2026-03-23T14:12:51Z
