size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
9513,ALNY,462.3,668574,2025-11-18T21:51:21Z,False,4397859.9,average_price_trade,456,471.45,extended_hours_trade,L,3,50,0,,regular,
648,ALNY,462.3,654942,2025-11-18T21:03:50Z,False,299570.4,prior_reference_price,456,471.45,extended_hours_trade,L,3,50,0,,regular,
693,ALNY,462.3,654056,2025-11-18T21:03:50Z,False,320373.9,prior_reference_price,456,471.45,extended_hours_trade,L,3,50,0,,regular,
1283,ALNY,462.3,653217,2025-11-18T21:03:40Z,False,593130.9,prior_reference_price,456,471.45,extended_hours_trade,L,3,50,0,,regular,
889,ALNY,462.3,651320,2025-11-18T21:02:27Z,False,410984.7,prior_reference_price,456,465,extended_hours_trade,L,6,50,0,,regular,
868,ALNY,462.3,649789,2025-11-18T21:00:47Z,False,401276.4,prior_reference_price,456,471.45,extended_hours_trade,L,3,50,0,,regular,
240,ALNY,462.3,648921,2025-11-18T21:00:44Z,False,110952.0,prior_reference_price,456,471.45,extended_hours_trade,L,3,50,0,,regular,
648,ALNY,462.3,648643,2025-11-18T21:00:37Z,False,299570.4,prior_reference_price,456,471.45,extended_hours_trade,L,3,50,0,,regular,
4703,ALNY,462.3,647995,2025-11-18T21:00:37Z,False,2174196.9,prior_reference_price,456,471.45,extended_hours_trade,L,3,50,0,,regular,
1388,ALNY,462.3,642965,2025-11-18T21:00:14Z,False,641672.4,prior_reference_price,456,475,extended_hours_trade,L,15,50,0,,regular,
279,ALNY,462.3,641365,2025-11-18T21:00:14Z,False,128981.7,prior_reference_price,456,475,extended_hours_trade,L,15,50,0,,regular,
271,ALNY,462.3,641086,2025-11-18T21:00:14Z,False,125283.3,prior_reference_price,456,475,extended_hours_trade,L,15,50,0,,regular,
2500,ALNY,462.3,640723,2025-11-18T21:00:04Z,False,1155750.0,,456,475,extended_hours_trade,L,15,50,0,,regular,
220,ALNY,462.3,637642,2025-11-18T21:00:01Z,False,101706.0,,456,475,extended_hours_trade,L,15,50,0,,regular,
320,ALNY,462.3,561610,2025-11-18T21:00:00Z,False,147936.0,,456,475,extended_hours_trade,L,15,50,0,,regular,
1033,ALNY,462.3,560737,2025-11-18T21:00:00Z,False,477555.9,,456,475,extended_hours_trade,L,15,50,0,,regular,
553,ALNY,462.3,561290,2025-11-18T21:00:00Z,False,255651.9,,456,475,extended_hours_trade,L,15,50,0,,regular,
378,ALNY,462.7799,540531,2025-11-18T20:58:52Z,False,174930.8022,,462.68,462.76,,L,4,7,0,,regular,
535,ALNY,461.15,472973,2025-11-18T20:50:05Z,False,246715.25,,460.89,461.88,,L,30,45,0,,regular,
300,ALNY,462.5719,469112,2025-11-18T20:49:34Z,False,138771.5700,,462.12,463,,L,60,1,0,,regular,
223,ALNY,463.75,461619,2025-11-18T20:45:08Z,False,103416.25,,463.55,463.93,,L,26,4,0,,regular,
1773,ALNY,463.8513,441757,2025-11-18T20:34:11Z,False,822408.3549,,463.68,464.44,,L,96,480,0,,regular,
250,ALNY,463.67,439399,2025-11-18T20:33:37Z,False,115917.50,,463.67,464.45,,L,10,168,0,,regular,
340,ALNY,465,436111,2025-11-18T20:30:29Z,False,158100,,464.48,465,,L,628,456,0,,regular,
748,ALNY,465.48,419393,2025-11-18T20:11:34Z,False,348179.04,,465.61,466.75,,L,124,2,0,,regular,
671,ALNY,467.34,406347,2025-11-18T19:56:04Z,False,313585.14,,466.94,467.74,,L,48,149,0,,regular,
240,ALNY,467.34,405492,2025-11-18T19:55:56Z,False,112161.60,,466.94,467.74,,L,28,108,0,,regular,
300,ALNY,467.34,404594,2025-11-18T19:55:56Z,False,140202.00,,466.94,467.74,,L,28,68,0,,regular,
240,ALNY,467.34,404928,2025-11-18T19:55:56Z,False,112161.60,,466.94,467.74,,L,28,68,0,,regular,
415,ALNY,468.04,393777,2025-11-18T19:44:33Z,False,194236.60,,467.35,468.35,,L,40,2,0,,regular,
300,ALNY,466.66,373251,2025-11-18T19:25:02Z,False,139998.00,,466.18,467.18,,L,40,147,0,,regular,
230,ALNY,466.555,370331,2025-11-18T19:23:26Z,False,107307.650,,466.18,466.94,,L,76,92,0,,regular,
225,ALNY,467.59,363586,2025-11-18T19:17:43Z,False,105207.75,,466.68,467.59,,L,11,197,0,,regular,
977,ALNY,467.055,358300,2025-11-18T19:11:58Z,False,456312.735,,467.08,467.68,,L,18,17,0,,regular,
225,ALNY,467.3666,346712,2025-11-18T19:03:54Z,False,105157.4850,,466.85,467.48,,L,92,41,0,,regular,
240,ALNY,467.24,345762,2025-11-18T19:03:24Z,False,112137.60,,467.03,467.48,,L,44,81,0,,regular,
362,ALNY,467.115,329039,2025-11-18T18:48:23Z,False,169095.630,,466.25,467.53,,L,20,48,0,,regular,
225,ALNY,467.1652,327751,2025-11-18T18:47:32Z,False,105112.1700,,466.93,467.2,,L,1,99,0,,regular,
280,ALNY,466.755,326406,2025-11-18T18:47:08Z,False,130691.400,,466.59,466.89,,L,1,2,0,,regular,
1000,ALNY,466.34,323891,2025-11-18T18:44:30Z,False,466340.00,,465.7,466.58,,L,1,142,0,,regular,
300,ALNY,466.675,318353,2025-11-18T18:40:39Z,False,140002.500,,466.24,466.97,,L,5,131,0,,regular,
240,ALNY,466.675,318625,2025-11-18T18:40:39Z,False,112002.000,,466.24,466.97,,L,5,131,0,,regular,
240,ALNY,466.12,307960,2025-11-18T18:34:35Z,False,111868.80,,465.7,466.27,,L,660,179,0,,regular,
250,ALNY,465.18,306120,2025-11-18T18:30:52Z,False,116295.00,,464.94,465.61,,L,157,16,0,,regular,
3339,ALNY,465.99,295248,2025-11-18T18:20:10Z,False,1555940.61,,465.26,465.89,,L,30,26,0,,regular,
300,ALNY,465.5881,287749,2025-11-18T18:16:07Z,False,139676.4300,,465.31,465.6,,L,13,75,0,,regular,
280,ALNY,467.1671,274203,2025-11-18T18:00:51Z,False,130806.7880,,467.03,467.47,,L,10,183,0,,regular,
300,ALNY,467.655,263568,2025-11-18T17:53:42Z,False,140296.500,,467.64,467.81,,L,7,3,0,,regular,
240,ALNY,467.655,263811,2025-11-18T17:53:42Z,False,112237.200,,467.64,467.81,,L,7,3,0,,regular,
300,ALNY,467.3,258059,2025-11-18T17:46:54Z,False,140190.0,,466.01,467.49,,L,8,40,0,,regular,
250,ALNY,467.84,254495,2025-11-18T17:44:40Z,False,116960.00,,467.46,468,,L,1,122,0,,regular,
300,ALNY,466.55,245621,2025-11-18T17:35:58Z,False,139965.00,,466.32,466.9,,L,2,18,0,,regular,
2640,ALNY,466.405,244681,2025-11-18T17:35:11Z,False,1231309.200,,465.57,466.42,,L,1,56,0,,regular,
240,ALNY,466.405,241961,2025-11-18T17:35:10Z,False,111937.200,,465.57,466.42,,L,1,56,0,,regular,
1977,ALNY,468.085,224010,2025-11-18T17:19:43Z,False,925404.045,,467.96,468.54,,L,52,9,0,,regular,
