size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4839,ALSN,121.12,863612,2026-06-22T20:00:44Z,False,586099.68,prior_reference_price,124.43,0,extended_hours_trade,L,8,0,33157219569582,,regular,2026-06-22T20:00:44Z
1431,ALSN,121.12,858643,2026-06-22T20:00:44Z,False,173322.72,prior_reference_price,124.43,0,extended_hours_trade,L,8,0,33157219569560,,regular,2026-06-22T20:00:44Z
2471,ALSN,121.12,856416,2026-06-22T20:00:44Z,False,299287.52,prior_reference_price,124.43,0,extended_hours_trade,L,8,0,33157219569467,,regular,2026-06-22T20:00:44Z
1800,ALSN,121.01,424358,2026-06-22T19:58:16Z,False,217818.00,,121.08,120.94,,L,122,172,33157219421680,,regular,2026-06-22T19:58:16Z
2600,ALSN,120.96,405242,2026-06-22T19:56:55Z,False,314496.00,,120.97,120.87,,L,2,100,33157219340778,,regular,2026-06-22T19:56:55Z
1200,ALSN,120.76,396420,2026-06-22T19:56:26Z,False,144912.00,,120.83,120.73,,L,63,13,33157219311348,,regular,2026-06-22T19:56:26Z
1830,ALSN,120.38,356561,2026-06-22T19:49:26Z,False,220295.40,,120.44,120.35,,L,300,525,33157218891772,,regular,2026-06-22T19:49:26Z
1839,ALSN,119.925,287799,2026-06-22T19:27:37Z,False,220542.075,,120.01,119.88,,L,128,2,33157217582464,,regular,2026-06-22T19:27:37Z
1518,ALSN,121.0801,179781,2026-06-22T17:34:56Z,False,183799.5918,,121.17,120.99,,L,450,366,33157210821625,,regular,2026-06-22T17:34:56Z
1639,ALSN,121.12,116344,2026-06-22T16:10:16Z,False,198515.68,,121.36,121.18,,L,5,8,33157205741712,,regular,2026-06-22T16:10:16Z
2195,ALSN,121.83,103338,2026-06-22T15:51:10Z,False,267416.85,,121.98,121.83,,L,4,50,33157204595971,,regular,2026-06-22T15:51:10Z
1133,ALSN,119.85,65009,2026-06-22T14:39:13Z,False,135790.05,,120.42,119.85,,L,27,103,33157200278792,,regular,2026-06-22T14:39:13Z
4497,ALSN,119.7701,56515,2026-06-22T14:26:26Z,False,538606.1397,,120.54,119.77,,L,10,113,33157199511321,,regular,2026-06-22T14:26:26Z
1000,ALSN,119.39,15568,2026-06-22T13:31:06Z,False,119390.00,,119.56,118.78,,L,38,28,33157196191739,,regular,2026-06-22T13:31:06Z
