size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
12149,AMAT,165.73,5371001,2025-05-20T22:07:12Z,False,2013453.77,prior_reference_price,164.24,165.48,extended_hours_trade,L,24,1,65232335666609,,,
7612,AMAT,165.3713,5360114,2025-05-20T20:15:47Z,False,1258806.3356,,164.25,165.73,extended_hours_trade_late_or_out_of_sequence,L,31,10,58547281628215,,,
3157,AMAT,165.73,5352344,2025-05-20T20:07:41Z,False,523209.61,,165,165.73,extended_hours_trade,L,31,2,58061222594983,,,
4778,AMAT,165.73,5349064,2025-05-20T20:06:24Z,False,791857.94,,165,165.73,extended_hours_trade,L,31,2,57984392959988,,,
13225,AMAT,165.73,5344286,2025-05-20T20:05:59Z,False,2191779.25,prior_reference_price,165,165.73,extended_hours_trade,L,31,2,57959009523194,,,
4987,AMAT,165.73,5331061,2025-05-20T20:05:45Z,False,826495.51,prior_reference_price,165,165.73,extended_hours_trade,L,31,2,57945809727161,,,
2049,AMAT,165.73,5326074,2025-05-20T20:05:23Z,False,339580.77,,165,165.73,extended_hours_trade,L,31,2,57923914004098,,,
3300,AMAT,165.4962,5323926,2025-05-20T20:03:02Z,True,546137.4600,average_price_trade,164.25,165.73,extended_hours_trade,L,31,10,57782690830638,,,
1659,AMAT,165.73,5320210,2025-05-20T20:02:36Z,False,274946.07,prior_reference_price,164.25,165.73,extended_hours_trade,L,31,10,57756928541566,,,
869,AMAT,165.73,5318551,2025-05-20T20:02:35Z,False,144019.37,prior_reference_price,164.25,165.73,extended_hours_trade,L,31,10,57755083511682,,,
876,AMAT,165.73,5317573,2025-05-20T20:02:31Z,False,145179.48,prior_reference_price,164.25,165.73,extended_hours_trade,L,31,10,57751054099995,,,
714,AMAT,165.73,5316135,2025-05-20T20:02:21Z,False,118331.22,prior_reference_price,164.25,165.73,extended_hours_trade,L,31,10,57741866124603,,,
2080,AMAT,165.73,5311639,2025-05-20T20:01:13Z,False,344718.40,prior_reference_price,164.33,165.73,extended_hours_trade,L,31,2,57673843202973,,,
266000,AMAT,165.73,5309295,2025-05-20T20:00:47Z,False,44084180.00,prior_reference_price,164.33,165.73,extended_hours_trade,L,31,2,57647309195659,,,
3360,AMAT,165.73,5043294,2025-05-20T20:00:40Z,False,556852.80,prior_reference_price,164.33,165.73,extended_hours_trade,L,32,2,57640913249805,,,
636,AMAT,165.73,5039934,2025-05-20T20:00:33Z,False,105404.28,prior_reference_price,164.33,165.73,extended_hours_trade,L,32,2,57633217153318,,,
3143,AMAT,165.73,5039298,2025-05-20T20:00:29Z,False,520889.39,prior_reference_price,164.33,165.73,extended_hours_trade,L,32,2,57629241522934,,,
1122,AMAT,165.73,5036155,2025-05-20T20:00:27Z,False,185949.06,prior_reference_price,164.33,165.73,extended_hours_trade,L,32,2,57627500072118,,,
869,AMAT,165.73,5033991,2025-05-20T20:00:13Z,False,144019.37,prior_reference_price,164.33,165.73,extended_hours_trade,L,32,2,57613596410593,,,
819,AMAT,165.73,5032682,2025-05-20T20:00:10Z,False,135732.87,prior_reference_price,164.33,165.73,extended_hours_trade,L,32,2,57610453711672,,,
758,AMAT,165.73,5031355,2025-05-20T20:00:10Z,False,125623.34,prior_reference_price,164.33,165.73,extended_hours_trade,L,32,2,57610351322144,,,
8386,AMAT,165.73,5030405,2025-05-20T20:00:10Z,False,1389811.78,,164.33,165.73,extended_hours_trade,L,32,2,57610010113415,,,
1128,AMAT,165.73,5021993,2025-05-20T20:00:09Z,False,186943.44,,164.33,165.73,extended_hours_trade,L,32,2,57609977337056,,,
1396,AMAT,165.73,5020743,2025-05-20T20:00:09Z,False,231359.08,,164.33,165.73,extended_hours_trade,L,32,2,57609971737105,,,
2394,AMAT,165.73,5018851,2025-05-20T20:00:09Z,False,396757.62,,164.33,165.73,extended_hours_trade,L,32,2,57609966904695,,,
1338,AMAT,165.73,5016457,2025-05-20T20:00:09Z,False,221746.74,,164.33,165.73,extended_hours_trade,L,32,2,57609963262086,,,
1050,AMAT,165.73,5015119,2025-05-20T20:00:09Z,False,174016.50,,164.33,165.73,extended_hours_trade,L,32,2,57609956509890,,,
2837,AMAT,165.73,5014069,2025-05-20T20:00:09Z,False,470176.01,,164.33,165.73,extended_hours_trade,L,32,2,57609758503955,,,
1621,AMAT,165.73,5011224,2025-05-20T20:00:09Z,False,268648.33,,164.33,165.73,extended_hours_trade,L,32,2,57609695019282,,,
2306,AMAT,165.73,5009603,2025-05-20T20:00:09Z,False,382173.38,,164.33,165.73,extended_hours_trade,L,32,2,57609591457280,,,
1624,AMAT,165.73,5005859,2025-05-20T20:00:06Z,False,269145.52,,164.33,165.73,extended_hours_trade,L,1,2,57606852919972,,,
1641,AMAT,165.73,5003845,2025-05-20T20:00:06Z,False,271962.93,,164.33,165.73,extended_hours_trade,L,1,2,57606719310843,,,
2205,AMAT,165.73,5002204,2025-05-20T20:00:06Z,False,365434.65,,164.33,165.73,extended_hours_trade,L,1,2,57606718064866,,,
3000,AMAT,165.73,4999974,2025-05-20T20:00:02Z,False,497190.00,,164.33,165.73,extended_hours_trade,L,1,2,57602346556094,,,
1850,AMAT,165.73,4996848,2025-05-20T20:00:01Z,False,306600.50,,164.33,165.73,extended_hours_trade,L,1,2,57601890783052,,,
1100,AMAT,165.73,4994460,2025-05-20T20:00:01Z,False,182303.00,,164.33,165.73,extended_hours_trade,L,1,2,57601866634698,,,
780,AMAT,165.73,4992767,2025-05-20T20:00:01Z,False,129269.40,,164.33,165.73,extended_hours_trade,L,1,2,57601506517765,,,
22270,AMAT,165.73,4979651,2025-05-20T20:00:01Z,False,3690807.10,,164.33,165.73,extended_hours_trade,L,1,2,57601505662089,,,
12336,AMAT,165.73,4991987,2025-05-20T20:00:01Z,False,2044445.28,,164.33,165.73,extended_hours_trade,L,1,2,57601505976004,,,
823,AMAT,165.73,4957350,2025-05-20T20:00:01Z,False,136395.79,,164.33,165.73,extended_hours_trade,L,1,2,57601504736906,,,
1766,AMAT,165.73,4956378,2025-05-20T20:00:01Z,False,292679.18,,164.33,165.73,extended_hours_trade,L,1,2,57601499876936,,,
2848,AMAT,165.73,4953462,2025-05-20T20:00:01Z,False,471999.04,,164.33,165.73,extended_hours_trade,L,1,2,57601278619001,,,
4700,AMAT,165.73,4950614,2025-05-20T20:00:01Z,False,778931.00,,164.33,165.73,extended_hours_trade,L,1,2,57601277961771,,,
4212,AMAT,165.73,3869136,2025-05-20T20:00:00Z,False,698054.76,,164.33,165.81,extended_hours_trade,L,40,2,57600285077845,,,
1786,AMAT,165.73,3863346,2025-05-20T20:00:00Z,False,295993.78,,164.33,165.81,extended_hours_trade,L,40,2,57600169554615,,,
829,AMAT,165.73,3864175,2025-05-20T20:00:00Z,False,137390.17,,164.33,165.81,extended_hours_trade,L,40,2,57600169621638,,,
14442,AMAT,165.73,3851656,2025-05-20T20:00:00Z,False,2393472.66,,164.33,165.81,extended_hours_trade,L,40,2,57600158579221,,,
7682,AMAT,165.73,3859338,2025-05-20T20:00:00Z,False,1273137.86,,164.33,165.81,extended_hours_trade,L,40,2,57600158655362,,,
1320,AMAT,165.73,3860658,2025-05-20T20:00:00Z,False,218763.60,,164.33,165.81,extended_hours_trade,L,40,2,57600158735484,,,
685,AMAT,165.72,3810524,2025-05-20T19:59:45Z,False,113518.20,,165.49,165.81,,L,40,1205,57585011584598,,,
700,AMAT,165.72,3807562,2025-05-20T19:59:44Z,False,116004.00,,165.49,165.81,,L,40,1205,57584554701199,,,
900,AMAT,165.72,3806862,2025-05-20T19:59:44Z,False,149148.00,,165.49,165.81,,L,40,1205,57584554646353,,,
877,AMAT,165.72,3805463,2025-05-20T19:59:44Z,False,145336.44,,165.49,165.81,,L,40,1205,57584506450461,,,
772,AMAT,165.57,3712967,2025-05-20T19:58:53Z,False,127820.04,,165.57,165.59,,L,601,1746,57533468360201,,,
1400,AMAT,165.6023,3607574,2025-05-20T19:56:51Z,False,231843.2200,average_price_trade,165.46,165.51,,L,111,300,57411341185565,derivative_priced,,
900,AMAT,165.3624,3599680,2025-05-20T19:56:46Z,False,148826.1600,average_price_trade,165.58,165.61,,L,129,402,57406697576348,derivative_priced,,
1300,AMAT,165.4193,3544460,2025-05-20T19:55:38Z,False,215045.0900,average_price_trade,165.57,165.61,,L,124,175,57338148899848,derivative_priced,,
1700,AMAT,165.416,3543060,2025-05-20T19:55:37Z,False,281207.200,average_price_trade,165.57,165.61,,L,123,3,57337800028758,derivative_priced,,
