size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
189,AMAT,571,8064441,2026-06-12T23:59:53Z,False,107919,,572.49,571,extended_hours_trade,L,40,18,25104170238841,,regular,2026-06-12T23:59:53Z
300,AMAT,570.65,8063830,2026-06-12T23:55:45Z,False,171195.00,,571.6,570.5,extended_hours_trade,L,20,18,25104169990711,,regular,2026-06-12T23:55:45Z
200,AMAT,569.847,8060099,2026-06-12T23:21:27Z,False,113969.400,,570,569.6,extended_hours_trade,L,59,100,25104167932333,,regular,2026-06-12T23:21:27Z
200,AMAT,569.86,8060299,2026-06-12T23:21:27Z,False,113972.00,,570,569.6,extended_hours_trade,L,59,100,25104167932333,,regular,2026-06-12T23:21:27Z
200,AMAT,569.8599,8058840,2026-06-12T23:00:04Z,False,113971.9800,,570,569.5,extended_hours_trade,L,63,1,25104166650105,,regular,2026-06-12T23:00:04Z
270,AMAT,569.5,8056513,2026-06-12T22:24:17Z,False,153765.0,,569.5,567.76,extended_hours_trade,L,50,6,25104164502885,,regular,2026-06-12T22:24:17Z
270,AMAT,569.5,8056189,2026-06-12T22:21:55Z,False,153765.0,,569.5,567.76,extended_hours_trade,L,50,6,25104164360298,,regular,2026-06-12T22:21:55Z
524,AMAT,567.25,8053672,2026-06-12T21:33:31Z,False,297239.00,prior_reference_price,568.9,567.5,extended_hours_trade,L,23,3,25104161456480,,regular,2026-06-12T21:33:30Z
344,AMAT,568.8735,8052245,2026-06-12T21:10:50Z,False,195692.4840,,568.9,567.26,extended_hours_trade,L,25,6,25104160095250,,regular,2026-06-12T21:10:50Z
200,AMAT,568.76,8051327,2026-06-12T21:05:02Z,False,113752.00,,568.95,567.26,extended_hours_trade,L,25,6,25104159747361,,regular,2026-06-12T21:05:02Z
20981,AMAT,567.25,8050764,2026-06-12T20:58:59Z,False,11901472.25,prior_reference_price,568.95,567.26,extended_hours_trade,L,25,6,25104159384963,,regular,2026-06-12T20:58:59Z
330,AMAT,569,8027881,2026-06-12T20:42:12Z,False,187770,,570,568.5,extended_hours_trade,L,34,2,25104158377814,,regular,2026-06-12T20:42:12Z
200,AMAT,569.51,8027077,2026-06-12T20:30:24Z,False,113902.00,,570,568.6,extended_hours_trade,L,34,1,25104157669450,,regular,2026-06-12T20:30:24Z
6614,AMAT,567.25,8025815,2026-06-12T20:24:18Z,False,3751791.50,prior_reference_price,569.62,568.6,extended_hours_trade,L,1,1,25104157303683,,regular,2026-06-12T20:24:18Z
13914,AMAT,567.25,8018924,2026-06-12T20:18:30Z,False,7892716.50,prior_reference_price,569.62,568.6,extended_hours_trade,L,1,1,25104156956086,,regular,2026-06-12T20:18:30Z
2929,AMAT,567.25,8004952,2026-06-12T20:18:23Z,False,1661475.25,prior_reference_price,569.62,568.6,extended_hours_trade,L,1,1,25104156948239,,regular,2026-06-12T20:18:23Z
222,AMAT,567.25,8001492,2026-06-12T20:16:51Z,False,125929.50,average_price_trade,569.05,567.25,extended_hours_trade,L,1,49,25104156856974,,regular,2026-06-12T20:16:50Z
50000,AMAT,567.25,8000534,2026-06-12T20:11:56Z,False,28362500.00,average_price_trade,569.15,567.25,extended_hours_trade,L,51,49,25104156561357,,regular,2026-06-12T20:11:55Z
225,AMAT,569.0622,7950522,2026-06-12T20:11:45Z,False,128038.9950,,569.15,567.25,extended_hours_trade,L,51,49,25104156550495,,regular,2026-06-12T20:11:45Z
