size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2472,AMD,123.27,34953638,2025-01-22T23:55:01Z,False,304723.44,,123.27,123.34,extended_hours_trade,L,6,95,68101155460626,,,
872,AMD,123.30,34931176,2025-01-22T23:17:49Z,False,107517.60,,123.20,123.30,extended_hours_trade,L,352,7,65869793511779,,,
928,AMD,123.211,34928306,2025-01-22T23:11:33Z,False,114339.808,,123.20,123.30,extended_hours_trade,L,2,7,65493995187139,,,
1000,AMD,123.4993,34920654,2025-01-22T23:01:24Z,False,123499.3000,,123.41,123.63,extended_hours_trade,L,21,164,64884125937306,,,
3991,AMD,123.4117,34905547,2025-01-22T22:55:48Z,False,492536.0947,,123.40,123.50,extended_hours_trade,L,100,9803,64548886118073,,,
43800,AMD,123.75,34892460,2025-01-22T22:36:29Z,False,5420250.00,prior_reference_price,123.40,123.60,extended_hours_trade,L,100,2,63389280661284,,,
913200,AMD,123.75,34848660,2025-01-22T22:36:29Z,False,113008500.00,prior_reference_price,123.40,123.60,extended_hours_trade,L,100,2,63389276319863,,,
1709,AMD,123.4001,33935430,2025-01-22T22:36:10Z,False,210890.7709,,123.40,123.60,extended_hours_trade,L,100,2,63370996431096,,,
1395,AMD,123.56,33926182,2025-01-22T22:24:22Z,False,172366.20,,123.50,123.58,extended_hours_trade,L,47,10,62662447245496,,,
1000,AMD,123.57,33919237,2025-01-22T22:16:32Z,False,123570.00,,123.45,123.57,extended_hours_trade,L,300,100,62192508542182,,,
1214,AMD,123.55,33917684,2025-01-22T22:16:10Z,False,149989.70,,123.45,123.57,extended_hours_trade,L,300,100,62170063551019,,,
1000,AMD,123.5004,33906468,2025-01-22T21:52:36Z,False,123500.4000,,123.50,123.54,extended_hours_trade,L,300,1009,60756404913449,,,
1254,AMD,123.5201,33902159,2025-01-22T21:46:44Z,False,154894.2054,,123.54,123.57,extended_hours_trade,L,299,20,60404376367290,,,
934,AMD,123.75,33894405,2025-01-22T21:36:18Z,False,115582.50,,123.50,123.57,extended_hours_trade,L,292,300,59778250114836,,,
128000,AMD,123.75,33893353,2025-01-22T21:35:48Z,False,15840000.00,prior_reference_price,123.50,123.57,extended_hours_trade,L,300,300,59748208176604,,,
1315,AMD,123.41,33759429,2025-01-22T21:29:43Z,False,162284.15,,123.40,123.43,extended_hours_trade,L,295,2,59383438617150,,,
2000,AMD,123.4301,33757126,2025-01-22T21:29:14Z,False,246860.2000,,123.43,123.46,extended_hours_trade,L,300,100,59354123162668,,,
839,AMD,123.56,33750767,2025-01-22T21:27:47Z,False,103666.84,,123.55,123.58,extended_hours_trade,L,300,300,59267083333724,,,
1000,AMD,123.5398,33748735,2025-01-22T21:26:28Z,False,123539.8000,,123.50,123.54,extended_hours_trade,L,25,650,59188689318240,,,
28519,AMD,123.75,33739920,2025-01-22T21:20:00Z,False,3529226.25,prior_reference_price,123.61,123.65,extended_hours_trade,L,298,300,58800543553651,,,
1200,AMD,123.64,33704608,2025-01-22T21:13:46Z,False,148368.00,,123.64,123.68,extended_hours_trade,L,12,300,58426942336003,,,
1000,AMD,123.6103,33698520,2025-01-22T21:07:27Z,False,123610.3000,,123.61,123.71,extended_hours_trade,L,100,300,58047119882095,,,
9732,AMD,123.75,33693506,2025-01-22T21:05:28Z,False,1204335.00,,123.58,123.67,extended_hours_trade,L,300,2,57928419840855,,,
17013,AMD,123.75,33681970,2025-01-22T21:04:50Z,False,2105358.75,prior_reference_price,123.61,123.67,extended_hours_trade,L,300,20,57890201422027,,,
16597,AMD,123.75,33663876,2025-01-22T21:04:11Z,False,2053878.75,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57851525524107,,,
189262,AMD,123.75,33647279,2025-01-22T21:04:11Z,False,23421172.50,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57851460759173,,,
2100,AMD,123.75,33456944,2025-01-22T21:04:11Z,False,259875.00,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57851419260387,,,
1484,AMD,123.75,33454844,2025-01-22T21:04:11Z,False,183645.00,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57851348220875,,,
180000,AMD,123.75,33453320,2025-01-22T21:04:11Z,False,22275000.00,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57851242192896,,,
974,AMD,123.75,33272414,2025-01-22T21:04:10Z,False,120532.50,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57850950097797,,,
1533,AMD,123.75,33271040,2025-01-22T21:04:10Z,False,189708.75,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57850695390993,,,
16711,AMD,123.75,33269497,2025-01-22T21:04:10Z,False,2067986.25,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57850102662277,,,
1632,AMD,123.75,33252786,2025-01-22T21:04:09Z,False,201960.00,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57849685013920,,,
22103,AMD,123.75,33250031,2025-01-22T21:03:59Z,False,2735246.25,prior_reference_price,123.66,123.71,extended_hours_trade,L,300,500,57839047780138,,,
