size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4954,AMD,104.6217,29104262,2025-02-26T23:31:23Z,False,518295.9018,,104.73,104.60,extended_hours_trade,L,50,10,66683202149583,,,
1000,AMD,104.85,29083574,2025-02-26T23:12:08Z,False,104850.00,,104.90,104.76,extended_hours_trade,L,2,8,65528201171868,,,
1000,AMD,104.89,29078937,2025-02-26T23:05:28Z,False,104890.00,,105.02,104.88,extended_hours_trade,L,4,100,65128128979264,,,
981,AMD,104.76,29075706,2025-02-26T23:03:25Z,False,102769.56,,104.93,104.78,extended_hours_trade,L,7,15,65005666982163,,,
1244,AMD,105,29070618,2025-02-26T22:59:56Z,False,130620,,105.02,104.81,extended_hours_trade,L,10,9,64796373643281,,,
1000,AMD,105.33,29056134,2025-02-26T22:50:43Z,False,105330.00,,105.50,105.30,extended_hours_trade,L,10,8,64243608211855,,,
2485,AMD,105.4394,29053194,2025-02-26T22:48:47Z,False,262016.9090,,105.55,105.31,extended_hours_trade,L,100,2,64127580634566,,,
1004,AMD,105.17,29034979,2025-02-26T22:33:25Z,False,105590.68,,105.26,105.16,extended_hours_trade,L,100,24,63205725634685,,,
952,AMD,105.30,29028138,2025-02-26T22:28:44Z,False,100245.60,,105.40,105.13,extended_hours_trade,L,50,200,62924550303260,,,
1300,AMD,105.30,29027186,2025-02-26T22:28:44Z,False,136890.00,,105.40,105.13,extended_hours_trade,L,50,200,62924549893543,,,
1099,AMD,105.01,29015935,2025-02-26T22:20:34Z,False,115405.99,,105.50,105.12,extended_hours_trade,L,5,1,62434019529220,,,
1000,AMD,105.41,29002613,2025-02-26T22:17:27Z,False,105410.00,,105.45,105.30,extended_hours_trade,L,1349,50,62247423521665,,,
1485,AMD,105.4001,28987771,2025-02-26T22:11:11Z,False,156519.1485,,105.66,105.25,extended_hours_trade,L,52,2500,61871919357215,,,
2000,AMD,105.4984,28968120,2025-02-26T22:06:25Z,False,210996.8000,,105.66,105.43,extended_hours_trade,L,52,700,61585734141942,,,
1000,AMD,105.2556,28960337,2025-02-26T22:04:51Z,False,105255.6000,,105.50,105.36,extended_hours_trade,L,301,25,61491621430045,,,
1650,AMD,105.21,28956284,2025-02-26T22:03:31Z,False,173596.50,,105.26,105.07,extended_hours_trade,L,100,1,61411319072593,,,
2038,AMD,105.44,28948077,2025-02-26T22:02:14Z,False,214886.72,,105.59,105.40,extended_hours_trade,L,90,120,61334040664564,,,
1300,AMD,105.50,28927908,2025-02-26T21:58:56Z,False,137150.00,,105.60,105.50,extended_hours_trade,L,20,475,61136554374879,,,
1120,AMD,105.41,28920335,2025-02-26T21:57:29Z,False,118059.20,,105.34,105.22,extended_hours_trade,L,50,500,61049205250923,,,
2000,AMD,105.50,28913073,2025-02-26T21:57:06Z,False,211000.00,,105.60,105.41,extended_hours_trade,L,20,474,61026898861931,,,
1000,AMD,105.3995,28904582,2025-02-26T21:56:08Z,False,105399.5000,,105.36,105.25,extended_hours_trade,L,8,476,60968582658602,,,
2000,AMD,104.66,28864836,2025-02-26T21:46:37Z,False,209320.00,,104.66,104.43,extended_hours_trade,L,477,50,60397500267765,,,
1300,AMD,104.44,28828771,2025-02-26T21:34:21Z,False,135772.00,,104.80,104.30,extended_hours_trade,L,1672,13,59661494909294,,,
1000,AMD,104.5392,28736667,2025-02-26T21:23:33Z,False,104539.2000,,105,104.69,extended_hours_trade,L,50,53,59013257940551,,,
1000,AMD,104.23,28715730,2025-02-26T21:22:10Z,False,104230.00,,104.80,103.94,extended_hours_trade,L,100,2,58930114592470,,,
1000,AMD,105,28689821,2025-02-26T21:21:46Z,False,105000,,105.80,104.87,extended_hours_trade,L,200,25,58906728278074,,,
1000,AMD,105.50,28683323,2025-02-26T21:21:30Z,False,105500.00,,105.88,105,extended_hours_trade,L,36,62,58890291153782,,,
1000,AMD,104.70,28632249,2025-02-26T21:18:05Z,False,104700.00,,104.89,104.71,extended_hours_trade,L,100,30,58685585256979,,,
9991,AMD,104.91,28629450,2025-02-26T21:16:10Z,False,1048155.81,,104.89,104.71,extended_hours_trade,L,100,30,58570490952783,,,
1705,AMD,104.82,28610295,2025-02-26T21:14:30Z,False,178718.10,,104.88,104.75,extended_hours_trade,L,32,2065,58470571894396,,,
1000,AMD,104.66,28600173,2025-02-26T21:09:53Z,False,104660.00,,104.68,104.60,extended_hours_trade,L,123,1001,58193337309856,,,
2397,AMD,104.61,28593897,2025-02-26T21:05:32Z,False,250750.17,,104.67,104.60,extended_hours_trade,L,1675,1001,57932757830966,,,
1000,AMD,104.67,28590850,2025-02-26T21:05:00Z,False,104670.00,,104.67,104.60,extended_hours_trade,L,1683,1001,57900011544131,,,
4497,AMD,104.74,28589098,2025-02-26T21:04:47Z,False,471015.78,,104.67,104.60,extended_hours_trade,L,1683,1001,57887378191594,,,
33321,AMD,104.74,28580808,2025-02-26T21:03:01Z,False,3490041.54,prior_reference_price,104.70,104.60,extended_hours_trade,L,1660,1423,57781590877050,,,
4674,AMD,104.74,28546431,2025-02-26T21:02:59Z,False,489554.76,prior_reference_price,104.70,104.60,extended_hours_trade,L,1660,1423,57779561458573,,,
9990,AMD,104.74,28540408,2025-02-26T21:02:41Z,False,1046352.60,prior_reference_price,104.70,104.60,extended_hours_trade,L,1683,1423,57761431224591,,,
7280,AMD,104.74,28530277,2025-02-26T21:02:35Z,False,762507.20,prior_reference_price,104.70,104.60,extended_hours_trade,L,1683,1423,57755969937814,,,
1632,AMD,104.74,28522853,2025-02-26T21:02:34Z,False,170935.68,prior_reference_price,104.70,104.60,extended_hours_trade,L,1683,1423,57754806890283,,,
10948,AMD,104.74,28521066,2025-02-26T21:02:32Z,False,1146693.52,prior_reference_price,104.75,104.67,extended_hours_trade,L,1683,4,57752104376807,,,
47458,AMD,104.74,28510117,2025-02-26T21:02:28Z,False,4970750.92,prior_reference_price,104.75,104.67,extended_hours_trade,L,1683,4,57748287419047,,,
5569,AMD,104.74,28461735,2025-02-26T21:02:22Z,False,583297.06,prior_reference_price,104.75,104.67,extended_hours_trade,L,1683,4,57742670906949,,,
1372,AMD,104.74,28455876,2025-02-26T21:02:18Z,False,143703.28,prior_reference_price,104.75,104.67,extended_hours_trade,L,1683,4,57738631223403,,,
1438,AMD,104.74,28454504,2025-02-26T21:02:18Z,False,150616.12,prior_reference_price,104.75,104.67,extended_hours_trade,L,1683,4,57738562116648,,,
