size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2798,ANET,92.49,7875713,2025-05-27T20:05:31Z,False,258787.02,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57931817138638,,,
1714,ANET,92.49,7872915,2025-05-27T20:04:37Z,False,158527.86,,92,92.65,extended_hours_trade,L,11,16,57877150790637,,,
10359,ANET,92.49,7869940,2025-05-27T20:02:33Z,False,958103.91,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57753292794160,,,
4089,ANET,92.49,7858683,2025-05-27T20:02:06Z,False,378191.61,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57726894269355,,,
7298,ANET,92.49,7854424,2025-05-27T20:02:03Z,False,674992.02,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57723149349848,,,
1564,ANET,92.49,7847126,2025-05-27T20:02:00Z,False,144654.36,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57720392283235,,,
3015,ANET,92.49,7842743,2025-05-27T20:01:41Z,False,278857.35,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57701884116697,,,
1298,ANET,92.49,7839727,2025-05-27T20:01:25Z,False,120052.02,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57685000438867,,,
1859,ANET,92.49,7837458,2025-05-27T20:00:59Z,False,171938.91,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57659077315746,,,
35703,ANET,92.49,7833037,2025-05-27T20:00:26Z,False,3302170.47,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57626412221969,,,
1324,ANET,92.49,7797334,2025-05-27T20:00:26Z,False,122456.76,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57626402089503,,,
1749,ANET,92.49,7794991,2025-05-27T20:00:26Z,False,161765.01,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57626384303812,,,
1357,ANET,92.49,7791763,2025-05-27T20:00:26Z,False,125508.93,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57626302986172,,,
7540,ANET,92.49,7789565,2025-05-27T20:00:20Z,False,697374.60,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57620056711893,,,
1246,ANET,92.49,7780851,2025-05-27T20:00:19Z,False,115242.54,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57619748581538,,,
1891,ANET,92.49,7779605,2025-05-27T20:00:17Z,False,174898.59,prior_reference_price,92,92.65,extended_hours_trade,L,11,16,57617437956869,,,
1687,ANET,92.49,7777714,2025-05-27T20:00:05Z,False,156030.63,,92,92.65,extended_hours_trade,L,11,15,57605531818029,,,
6060,ANET,92.49,7775599,2025-05-27T20:00:05Z,False,560489.40,,92,92.65,extended_hours_trade,L,11,15,57605530688168,,,
5226,ANET,92.49,7769317,2025-05-27T20:00:05Z,False,483352.74,,92,92.65,extended_hours_trade,L,11,15,57605529561386,,,
1200,ANET,92.49,7759202,2025-05-27T20:00:02Z,False,110988.00,,91,93.06,extended_hours_trade,L,100,1,57602685568545,,,
3050,ANET,92.49,7758002,2025-05-27T20:00:02Z,False,282094.50,,91,93.06,extended_hours_trade,L,100,1,57602610857023,,,
2000,ANET,92.49,6614770,2025-05-27T19:59:42Z,False,184980.00,,92.48,92.50,,L,100,52,57582509271460,,,
4608,ANET,92.49,6577911,2025-05-27T19:59:42Z,False,426193.92,,92.48,92.50,,L,100,52,57582508969418,,,
3200,ANET,92.50,6477403,2025-05-27T19:59:19Z,False,296000.00,,92.47,92.50,,L,17,336,57559024698296,,,
1100,ANET,92.43,6261622,2025-05-27T19:57:20Z,False,101673.00,,92.40,92.43,,L,209,85,57440430847022,,,
2000,ANET,92.20,6135052,2025-05-27T19:56:10Z,False,184400.00,,92.19,92.21,,L,222,261,57370835223615,,,
1899,ANET,92.205,6024219,2025-05-27T19:54:53Z,False,175097.295,,92.19,92.21,,L,25,362,57293169514133,,,
3727,ANET,92.1928,6002242,2025-05-27T19:54:27Z,False,343602.5656,average_price_trade,92.19,92.21,,L,55,225,57267898822006,,,
1348,ANET,92.1815,5997324,2025-05-27T19:54:27Z,False,124260.6620,average_price_trade,92.19,92.21,,L,55,225,57267873450381,derivative_priced,,
2500,ANET,92.1833,5992710,2025-05-27T19:54:25Z,False,230458.2500,average_price_trade,92.19,92.21,,L,47,327,57265526715237,derivative_priced,,
1200,ANET,92.12,5956093,2025-05-27T19:53:44Z,False,110544.00,,92.12,92.13,,L,162,413,57224337696734,,,
25000,ANET,92.20,5898443,2025-05-27T19:53:12Z,False,2305000.00,,92.19,92.20,,L,2,2596,57192284681745,,,
1846,ANET,92.20,5859245,2025-05-27T19:52:56Z,False,170201.20,,92.20,92.22,,L,225,25,57176793045393,,,
1500,ANET,92.2515,5775975,2025-05-27T19:51:48Z,False,138377.2500,average_price_trade,92.19,92.20,,L,56,46,57108476970472,derivative_priced,,
1101,ANET,92.1799,5756384,2025-05-27T19:51:30Z,False,101490.0699,,92.16,92.19,,L,25,476,57090439773481,,,
2900,ANET,92.2565,5698709,2025-05-27T19:50:24Z,False,267543.8500,average_price_trade,92.29,92.32,,L,75,35,57024071697328,derivative_priced,,
4205,ANET,92.3501,5609121,2025-05-27T19:47:57Z,False,388332.1705,,92.35,92.37,,L,143,120,56877554205975,,,
2760,ANET,92.2415,5561900,2025-05-27T19:45:37Z,False,254586.5400,average_price_trade,92.32,92.34,,L,3,375,56737300170766,derivative_priced,,
1400,ANET,92.35,5543776,2025-05-27T19:44:42Z,False,129290.00,,92.34,92.36,,L,250,138,56682791744612,,,
2066,ANET,92.37,5536462,2025-05-27T19:44:04Z,False,190836.42,,92.35,92.37,,L,105,277,56644730086857,,,
7044,ANET,92.34,5524800,2025-05-27T19:43:27Z,False,650442.96,,92.29,92.32,,L,117,25,56607649134682,,,
1498,ANET,92.21,5482816,2025-05-27T19:43:10Z,False,138130.58,,92.21,92.23,,L,75,25,56590412298483,,,
2300,ANET,92.21,5481318,2025-05-27T19:43:10Z,False,212083.00,,92.21,92.23,,L,75,25,56590411252683,,,
5401,ANET,92.26,5470322,2025-05-27T19:42:55Z,False,498296.26,,92.23,92.26,,L,75,25,56575141334228,,,
1193,ANET,92.24,5464868,2025-05-27T19:42:55Z,False,110042.32,,92.23,92.26,,L,75,25,56575138569480,,,
2000,ANET,92.23,5460721,2025-05-27T19:42:55Z,False,184460.00,,92.22,92.26,,L,125,28,56575118341281,,,
2500,ANET,92.205,5457955,2025-05-27T19:42:55Z,False,230512.500,,92.22,92.26,,L,125,28,56575107495703,,,
3400,ANET,92.205,5455375,2025-05-27T19:42:55Z,False,313497.000,,92.22,92.26,,L,125,28,56575105160981,,,
1900,ANET,92.19,5446990,2025-05-27T19:42:39Z,False,175161.00,,92.17,92.19,,L,200,303,56559710830655,,,
1389,ANET,92.21,5436562,2025-05-27T19:42:06Z,False,128079.69,,92.18,92.21,,L,25,75,56526094057589,,,
5197,ANET,92.185,5432171,2025-05-27T19:42:04Z,False,479085.445,,92.18,92.20,,L,25,38,56524303838709,,,
3263,ANET,92.2201,5415986,2025-05-27T19:41:48Z,False,300914.1863,,92.20,92.21,,L,27,75,56508916028908,,,
2896,ANET,92.1599,5385133,2025-05-27T19:40:53Z,False,266895.0704,,92.13,92.16,,L,25,125,56453101387911,,,
1104,ANET,92.1599,5386237,2025-05-27T19:40:53Z,False,101744.5296,,92.13,92.16,,L,25,125,56453101745215,,,
4000,ANET,92.272,5367825,2025-05-27T19:40:19Z,False,369088.000,average_price_trade,92.27,92.29,,L,231,220,56419707868104,derivative_priced,,
2445,ANET,92.29,5297743,2025-05-27T19:37:37Z,False,225649.05,,92.28,92.30,,L,287,200,56257822751490,,,
1355,ANET,92.25,5279018,2025-05-27T19:36:42Z,False,124998.75,,92.26,92.28,,L,80,135,56202778006090,,,
1100,ANET,92.24,5236738,2025-05-27T19:35:23Z,False,101464.00,,92.24,92.26,,L,125,586,56123603591712,,,
1400,ANET,92.2499,5216870,2025-05-27T19:34:19Z,False,129149.8600,,92.22,92.25,,L,25,25,56059368069284,,,
5200,ANET,92.29,5186796,2025-05-27T19:33:15Z,False,479908.00,,92.29,92.31,,L,26,128,55995335728760,,,
5300,ANET,92.30,5181596,2025-05-27T19:33:15Z,False,489190.00,,92.29,92.31,,L,26,128,55995334910763,,,
2500,ANET,92.29,5146413,2025-05-27T19:31:33Z,False,230725.00,,92.26,92.28,,L,176,25,55893712179382,,,
1200,ANET,92.35,5128546,2025-05-27T19:30:33Z,False,110820.00,,92.35,92.37,,L,125,65,55833947458846,,,
3112,ANET,92.35,5110186,2025-05-27T19:30:25Z,False,287393.20,,92.34,92.36,,L,126,413,55825780598595,,,
1700,ANET,92.4783,5086173,2025-05-27T19:29:30Z,False,157213.1100,average_price_trade,92.38,92.40,,L,28,152,55770043607215,derivative_priced,,
1500,ANET,92.4781,5084473,2025-05-27T19:29:30Z,False,138717.1500,average_price_trade,92.38,92.40,,L,28,152,55770039987293,derivative_priced,,
42055,ANET,92.49,5059008,2025-05-27T19:28:16Z,False,3889666.95,,92.47,92.49,,L,419,235,55696711570738,intermarket_sweep,,
1149,ANET,92.50,4982681,2025-05-27T19:26:40Z,False,106282.50,,92.49,92.51,,L,233,125,55600859171698,,,
5000,ANET,92.48,4967256,2025-05-27T19:26:18Z,False,462400.00,,92.47,92.49,,L,110,365,55578842414667,,,
1100,ANET,92.505,4955368,2025-05-27T19:26:17Z,False,101755.500,,92.49,92.51,,L,71,665,55577092663411,,,
1100,ANET,92.4651,4947250,2025-05-27T19:25:46Z,False,101711.6100,average_price_trade,92.49,92.50,,L,38,41,55546799899220,derivative_priced,,
14564,ANET,92.385,4908190,2025-05-27T19:23:45Z,False,1345495.140,,92.38,92.40,,L,75,26,55425545691812,,,
2426,ANET,92.385,4893526,2025-05-27T19:23:45Z,False,224126.010,,92.38,92.40,,L,75,26,55425530805690,,,
2200,ANET,92.385,4890331,2025-05-27T19:23:43Z,False,203247.000,,92.40,92.41,,L,302,23,55423747125483,,,
2200,ANET,92.385,4877688,2025-05-27T19:23:43Z,False,203247.000,,92.40,92.41,,L,302,23,55423528188074,,,
2200,ANET,92.385,4879888,2025-05-27T19:23:43Z,False,203247.000,,92.40,92.41,,L,302,23,55423528256695,,,
2200,ANET,92.385,4882088,2025-05-27T19:23:43Z,False,203247.000,,92.40,92.41,,L,302,23,55423528382928,,,
7400,ANET,92.36,4856438,2025-05-27T19:23:43Z,False,683464.00,,92.38,92.40,,L,175,25,55423395306114,,,
4798,ANET,92.36,4861236,2025-05-27T19:23:43Z,False,443143.28,,92.38,92.40,,L,175,25,55423395369278,,,
3900,ANET,92.36,4865136,2025-05-27T19:23:43Z,False,360204.00,,92.38,92.40,,L,175,25,55423395433397,,,
2894,ANET,92.3007,4831397,2025-05-27T19:22:57Z,False,267118.2258,,92.30,92.32,,L,126,699,55377450303825,,,
4100,ANET,92.30,4821433,2025-05-27T19:22:45Z,False,378430.00,,92.29,92.30,,L,26,326,55365881583287,,,
2300,ANET,92.335,4793991,2025-05-27T19:21:24Z,False,212370.500,,92.33,92.34,,L,12,844,55284561000551,,,
1400,ANET,92.34,4781171,2025-05-27T19:20:51Z,False,129276.00,,92.34,92.36,,L,47,125,55251250544296,,,
1400,ANET,92.3399,4776553,2025-05-27T19:20:49Z,False,129275.8600,,92.33,92.34,,L,850,897,55249622801515,,,
1100,ANET,92.335,4775107,2025-05-27T19:20:49Z,False,101568.500,,92.33,92.34,,L,850,897,55249620068872,,,
1500,ANET,92.335,4774007,2025-05-27T19:20:49Z,False,138502.500,,92.33,92.34,,L,850,897,55249619736542,,,
1400,ANET,92.3501,4756265,2025-05-27T19:20:07Z,False,129290.1400,,92.36,92.37,,L,298,62,55207515133229,,,
3159,ANET,92.32,4730439,2025-05-27T19:18:35Z,False,291638.88,,92.31,92.34,,L,125,297,55115407170514,,,
2389,ANET,92.32,4732828,2025-05-27T19:18:35Z,False,220552.48,,92.31,92.34,,L,125,297,55115407523768,,,
3035,ANET,92.3004,4726564,2025-05-27T19:18:34Z,False,280131.7140,,92.31,92.34,,L,225,25,55114570771188,,,
1225,ANET,92.30,4647754,2025-05-27T19:17:13Z,False,113067.50,,92.33,92.35,,L,75,32,55033561529534,,,
1600,ANET,92.4881,4620268,2025-05-27T19:15:18Z,False,147980.9600,average_price_trade,92.38,92.40,,L,291,20,54918007614624,derivative_priced,,
4000,ANET,92.3999,4618409,2025-05-27T19:15:13Z,False,369599.6000,,92.38,92.40,,L,186,45,54913935350151,,,
4000,ANET,92.4501,4431344,2025-05-27T19:01:25Z,False,369800.4000,,92.46,92.48,,L,300,87,54085952939797,,,
1177,ANET,92.61,4325529,2025-05-27T18:55:44Z,False,109001.97,,92.58,92.60,,L,201,178,53744248988881,,,
6701,ANET,92.5399,4281394,2025-05-27T18:53:48Z,False,620109.8699,,92.51,92.53,,L,59,25,53628780907349,,,
3591,ANET,92.5001,4247487,2025-05-27T18:51:38Z,False,332167.8591,,92.50,92.53,,L,125,239,53498048412403,,,
1150,ANET,92.55,4233608,2025-05-27T18:50:26Z,False,106432.50,,92.54,92.56,,L,28,35,53426216865556,,,
1108,ANET,92.53,4228683,2025-05-27T18:49:44Z,False,102523.24,,92.53,92.55,,L,125,25,53384284292445,,,
1120,ANET,92.543,4225476,2025-05-27T18:49:20Z,False,103648.160,,92.53,92.55,,L,26,120,53360590377006,,,
1218,ANET,92.52,4220082,2025-05-27T18:48:45Z,False,112689.36,,92.52,92.55,,L,475,209,53325674226221,,,
1179,ANET,92.5333,4211246,2025-05-27T18:48:02Z,False,109096.7607,,92.53,92.56,,L,20,335,53282577557403,,,
4270,ANET,92.5365,4195210,2025-05-27T18:46:20Z,False,395130.8550,,92.53,92.55,,L,75,258,53180771399401,,,
3066,ANET,92.56,4181920,2025-05-27T18:45:28Z,False,283788.96,,92.53,92.55,,L,75,39,53128625513593,,,
1192,ANET,92.525,4149344,2025-05-27T18:41:50Z,False,110289.800,,92.52,92.53,,L,1,25,52910884601197,,,
1250,ANET,92.6103,4124933,2025-05-27T18:40:24Z,False,115762.8750,,92.60,92.62,,L,6,402,52824080427518,,,
2100,ANET,92.565,4097027,2025-05-27T18:36:51Z,False,194386.500,,92.55,92.57,,L,127,225,52611028892590,,,
2125,ANET,92.5802,4092097,2025-05-27T18:36:25Z,False,196732.9250,,92.58,92.59,,L,2,60,52585322594102,,,
4000,ANET,92.5401,4060198,2025-05-27T18:32:21Z,False,370160.4000,,92.54,92.56,,L,435,185,52341650495040,,,
2700,ANET,92.5501,4051294,2025-05-27T18:31:37Z,False,249885.2700,,92.55,92.57,,L,128,72,52297281902923,,,
2548,ANET,92.6299,4035520,2025-05-27T18:30:26Z,False,236020.9852,,92.60,92.63,,L,99,68,52226821609962,,,
1262,ANET,92.58,4023078,2025-05-27T18:28:50Z,False,116835.96,,92.58,92.59,,L,75,33,52130680827336,,,
1400,ANET,92.63,3998725,2025-05-27T18:25:51Z,False,129682.00,,92.63,92.64,,L,77,169,51951266019270,,,
3447,ANET,92.6399,3994204,2025-05-27T18:25:36Z,False,319329.7353,,92.61,92.63,,L,55,25,51936784831127,,,
2429,ANET,92.5895,3929285,2025-05-27T18:18:10Z,False,224899.8955,,92.58,92.60,,L,169,98,51490164542615,,,
2798,ANET,92.55,3920990,2025-05-27T18:17:29Z,False,258954.90,,92.56,92.58,,L,75,37,51449995929695,,,
1140,ANET,92.6978,3914794,2025-05-27T18:17:04Z,False,105675.4920,average_price_trade,92.60,92.62,,L,100,233,51424166055848,derivative_priced,,
3018,ANET,92.7294,3894267,2025-05-27T18:13:53Z,False,279857.3292,,92.71,92.73,,L,125,35,51233856945817,,,
1100,ANET,92.725,3875829,2025-05-27T18:11:28Z,False,101997.500,,92.72,92.74,,L,80,59,51088296956826,,,
1500,ANET,92.7201,3861071,2025-05-27T18:10:34Z,False,139080.1500,,92.72,92.74,,L,436,143,51034904150431,,,
2000,ANET,92.826,3816660,2025-05-27T18:03:12Z,False,185652.000,,92.82,92.84,,L,35,255,50592144062333,,,
3408,ANET,92.8498,3813582,2025-05-27T18:03:04Z,False,316432.1184,,92.82,92.84,,L,35,245,50584310711530,,,
12100,ANET,92.94,3795849,2025-05-27T18:02:23Z,False,1124574.00,,92.92,92.95,,L,1,195,50543972256861,,,
