size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2037,ANF,153.25,1632948,2024-12-19T21:06:33Z,False,312170.25,,150.28,156,extended_hours_trade,L,27,2,57993188208856,,,
56298,ANF,153.25,1630064,2024-12-19T21:01:46Z,False,8627668.50,prior_reference_price,150.28,156,extended_hours_trade,L,27,2,57706183250338,,,
1990,ANF,153.25,1570213,2024-12-19T21:00:35Z,False,304967.50,prior_reference_price,150.28,156,extended_hours_trade,L,27,2,57635529109880,,,
1600,ANF,153.25,1571813,2024-12-19T21:00:35Z,False,245200.00,prior_reference_price,150.28,156,extended_hours_trade,L,27,2,57635529292343,,,
3829,ANF,153.25,1567272,2024-12-19T21:00:35Z,False,586794.25,prior_reference_price,150.28,156,extended_hours_trade,L,27,2,57635398204184,,,
4135,ANF,153.25,1563250,2024-12-19T21:00:08Z,False,633688.75,,148,156,extended_hours_trade,L,27,100,57608908165445,,,
999,ANF,152.8492,1388040,2024-12-19T20:58:20Z,False,152696.3508,average_price_trade,153.15,153.27,,L,105,100,57500186524981,derivative_priced,,
1100,ANF,153.125,1262175,2024-12-19T20:48:04Z,False,168437.500,,153.05,153.22,,L,250,36,56884438569290,,,
1300,ANF,153.125,1261075,2024-12-19T20:48:04Z,False,199062.500,,153.05,153.22,,L,250,36,56884437098751,,,
1100,ANF,153.125,1259545,2024-12-19T20:48:03Z,False,168437.500,,153.05,153.22,,L,250,36,56883304499597,,,
1461,ANF,153.155,1251839,2024-12-19T20:46:55Z,False,223759.455,,153.03,153.28,,L,3,24,56815672914308,,,
1300,ANF,152.21,1199406,2024-12-19T20:35:36Z,False,197873.00,,152.20,152.43,,L,515,17,56136347037240,,,
1100,ANF,151.46,1119260,2024-12-19T20:15:33Z,False,166606.00,,151.36,151.46,,L,1,6,54933374681309,,,
1879,ANF,151.3489,1112781,2024-12-19T20:13:50Z,False,284384.5831,,151.08,151.32,,L,11,149,54830203082274,,,
730,ANF,152.0544,1083695,2024-12-19T20:03:03Z,False,110999.7120,,151.90,152.10,,L,1,24,54183968711337,,,
1600,ANF,152.60,1024048,2024-12-19T19:48:16Z,False,244160.00,,152.46,152.60,,L,87,205,53296452482825,,,
686,ANF,152.44,1013527,2024-12-19T19:42:42Z,False,104573.84,,152.28,152.53,,L,5,201,52962176420268,,,
1500,ANF,152.125,999082,2024-12-19T19:37:49Z,False,228187.500,,152.04,152.23,,L,10,6,52669203342430,,,
1500,ANF,152.695,970693,2024-12-19T19:25:40Z,False,229042.500,,152.54,152.77,,L,8,12,51940805003804,,,
1080,ANF,152.0668,920648,2024-12-19T19:12:48Z,False,164232.1440,,151.93,152.07,,L,300,716,51168131420878,,,
1806,ANF,152.26,885814,2024-12-19T19:06:46Z,False,274981.56,,152.03,152.26,,L,179,1,50806139916784,,,
2400,ANF,151.91,857306,2024-12-19T18:58:57Z,False,364584.00,,151.86,152.04,,L,10,302,50337903204895,,,
1260,ANF,151.135,783286,2024-12-19T18:37:23Z,False,190430.100,,151.06,151.21,,L,10,200,49043833532339,,,
889,ANF,148.77,683858,2024-12-19T17:50:15Z,False,132256.53,,148.57,148.78,,L,5,202,46215722679035,,,
1949,ANF,148.65,667392,2024-12-19T17:33:59Z,False,289718.85,,148.41,148.65,,L,30,121,45239742963842,,,
784,ANF,149.2575,553616,2024-12-19T16:30:26Z,False,117017.8800,,148.83,149.22,,L,38,100,41426215082499,,,
1000,ANF,148.335,517570,2024-12-19T16:21:55Z,False,148335.000,,148.15,148.53,,L,195,107,40915641495776,,,
700,ANF,146.74,471145,2024-12-19T16:04:17Z,False,102718.00,,146.74,147.07,,L,441,200,39857403019783,,,
1900,ANF,146.96,388697,2024-12-19T15:40:45Z,False,279224.00,,146.96,147.43,,L,33,1,38445129165698,,,
700,ANF,146.96,389697,2024-12-19T15:40:45Z,False,102872.00,,146.96,147.43,,L,33,1,38445129437142,,,
1000,ANF,150.16,277380,2024-12-19T15:09:55Z,False,150160.00,,149.63,150.16,,L,4,200,36595102097587,,,
1000,ANF,148.72,257705,2024-12-19T15:04:57Z,False,148720.00,,148.20,148.72,,L,8,12,36297552915176,,,
900,ANF,148.217,242870,2024-12-19T15:02:06Z,False,133395.300,,148.21,148.62,,L,4,100,36126969018429,,,
1000,ANF,149.6451,217179,2024-12-19T14:58:25Z,False,149645.1000,,149.15,149.68,,L,3,95,35905068784906,,,
1000,ANF,150.28,177897,2024-12-19T14:50:31Z,False,150280.00,,150.28,150.76,,L,12,178,35431516284457,,,
900,ANF,150.717,171564,2024-12-19T14:49:28Z,False,135645.300,,150.55,151.29,,L,100,100,35368616833494,,,
1400,ANF,150.72,168869,2024-12-19T14:49:27Z,False,211008.00,,150.56,151.30,,L,8,100,35367813565367,,,
696,ANF,151.30,136823,2024-12-19T14:45:50Z,False,105304.80,,150.57,151.50,,L,1,100,35150327476564,,,
1000,ANF,150.645,107180,2024-12-19T14:39:44Z,False,150645.000,,150.07,151.14,,L,9,100,34784561316511,,,
700,ANF,150.4308,105337,2024-12-19T14:39:28Z,False,105301.5600,average_price_trade,150.07,151.17,,L,9,100,34768384579421,derivative_priced,,
6430,ANF,147.56,42240,2024-12-19T14:32:55Z,False,948810.80,,147.27,147.88,,L,100,1,34375604577234,,,
