size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
35812,APA,17.80,6782085,2025-06-25T20:39:17Z,False,637453.60,prior_reference_price,17.82,18,extended_hours_trade,L,400,160,59957322228222,,,
7035,APA,17.80,6746116,2025-06-25T20:23:12Z,False,125223.00,prior_reference_price,17.75,18,extended_hours_trade,L,400,50,58992583441430,,,
54435,APA,17.80,6733215,2025-06-25T20:02:52Z,False,968943.00,prior_reference_price,17.75,17.96,extended_hours_trade,L,180,50,57772594769596,,,
5772,APA,17.80,6678780,2025-06-25T20:02:52Z,False,102741.60,prior_reference_price,17.75,17.96,extended_hours_trade,L,180,50,57772429863657,,,
48000,APA,17.80,6663465,2025-06-25T20:01:57Z,False,854400.00,prior_reference_price,17.75,17.96,extended_hours_trade,L,180,50,57717107847173,,,
14472,APA,17.80,6612966,2025-06-25T20:00:14Z,False,257601.60,prior_reference_price,17.80,17.96,extended_hours_trade,L,180,200,57614830526301,,,
11488,APA,17.80,6586552,2025-06-25T20:00:14Z,False,204486.40,prior_reference_price,17.80,17.96,extended_hours_trade,L,180,200,57614240089493,,,
25034,APA,17.80,6575064,2025-06-25T20:00:14Z,False,445605.20,prior_reference_price,17.80,17.96,extended_hours_trade,L,180,200,57614236998881,,,
8629,APA,17.80,5578822,2025-06-25T20:00:00Z,False,153596.20,,17.80,17.84,extended_hours_trade,L,11329,200,57600758381706,,,
8500,APA,17.85,4718389,2025-06-25T19:46:22Z,False,151725.00,,17.85,17.86,,L,2588,1484,56782022028436,,,
6859,APA,17.8501,4611542,2025-06-25T19:39:15Z,False,122433.8359,,17.85,17.86,,L,1431,517,56355839131288,,,
10000,APA,17.8997,4253571,2025-06-25T19:17:34Z,False,178997.0000,,17.89,17.90,,L,767,600,55054187879937,,,
7000,APA,17.75,3626751,2025-06-25T18:29:43Z,False,124250.00,,17.74,17.75,,L,1036,1800,52183698309250,,,
15100,APA,17.84,3244542,2025-06-25T18:06:03Z,False,269384.00,,17.84,17.85,,L,202,906,50763681335000,,,
9400,APA,17.85,3204894,2025-06-25T18:03:36Z,False,167790.00,,17.86,17.87,,L,548,313,50616756685575,,,
9808,APA,18.175,2394448,2025-06-25T16:13:44Z,False,178260.400,,18.17,18.18,,L,205,501,44024187827479,,,
9526,APA,18.18,2377772,2025-06-25T16:13:03Z,False,173182.68,,18.17,18.18,,L,208,749,43983571057446,,,
20000,APA,18.15,2341935,2025-06-25T16:10:23Z,False,363000.00,,18.14,18.15,,L,864,512,43823620400389,,,
44068,APA,18,1899980,2025-06-25T15:32:36Z,False,793224,,17.98,18,,L,815,966,41556477764937,intermarket_sweep,,
7500,APA,18.0462,1786290,2025-06-25T15:26:34Z,False,135346.5000,,18.04,18.05,,L,863,405,41194776559939,,,
7500,APA,18.09,1504557,2025-06-25T14:50:02Z,False,135675.00,,18.09,18.10,,L,654,4,39002342424342,,,
6500,APA,18.08,1224402,2025-06-25T14:24:33Z,False,117520.00,,18.08,18.09,,L,983,33,37473242084980,,,
8285,APA,18.06,1166397,2025-06-25T14:21:50Z,False,149627.10,,18.05,18.06,,L,200,1953,37310178477788,,,
14959,APA,18,948575,2025-06-25T14:08:03Z,False,269262,,18,18.01,,L,1601,483,36483706738802,,,
19271,APA,17.97,860633,2025-06-25T14:04:42Z,False,346299.87,,17.96,17.98,,L,200,56,36282266800296,,,
6899,APA,18.01,812841,2025-06-25T14:03:14Z,False,124250.99,,18.02,18.04,,L,538,512,36194512279458,,,
10515,APA,17.99,797437,2025-06-25T14:02:52Z,False,189164.85,,18.01,18.02,,L,100,765,36172564390258,,,
5585,APA,17.93,473603,2025-06-25T13:44:20Z,False,100139.05,,17.93,17.95,,L,605,332,35060623173524,,,
6300,APA,17.98,287401,2025-06-25T13:34:04Z,False,113274.00,,17.98,17.99,,L,226,67,34444471697804,,,
6600,APA,18.08,164110,2025-06-25T13:31:04Z,False,119328.00,,18.08,18.09,,L,500,13,34264690065172,,,
