size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
36929,APH,76.68,5440939,2025-04-29T20:13:51Z,False,2831715.72,average_price_trade,76.98,76.67,extended_hours_trade,L,25,18,58431609571242,,,
3928,APH,76.68,5403944,2025-04-29T20:09:32Z,False,301199.04,prior_reference_price,76.98,76.67,extended_hours_trade,L,25,18,58172414466739,,,
3008,APH,76.68,5399939,2025-04-29T20:05:47Z,False,230653.44,,77,76.67,extended_hours_trade,L,122,17,57947816100414,,,
2780,APH,76.68,5396709,2025-04-29T20:02:03Z,False,213170.40,prior_reference_price,77,75.81,extended_hours_trade,L,122,13,57723050393723,,,
1512,APH,76.68,5392880,2025-04-29T20:01:32Z,False,115940.16,prior_reference_price,76.75,75.19,extended_hours_trade,L,400,11,57692788211339,,,
4657,APH,76.68,5391368,2025-04-29T20:01:22Z,False,357098.76,prior_reference_price,76.75,75.19,extended_hours_trade,L,400,11,57682708172425,,,
2160,APH,76.68,5384928,2025-04-29T20:00:30Z,False,165628.80,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57630997895315,,,
1613,APH,76.68,5382025,2025-04-29T20:00:30Z,False,123684.84,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57630990019197,,,
2600,APH,76.68,5379941,2025-04-29T20:00:30Z,False,199368.00,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57630980809005,,,
4192,APH,76.68,5373265,2025-04-29T20:00:30Z,False,321442.56,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57630949256698,,,
1754,APH,76.68,5368647,2025-04-29T20:00:30Z,False,134496.72,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57630938507909,,,
1537,APH,76.68,5366893,2025-04-29T20:00:30Z,False,117857.16,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57630934199411,,,
9382,APH,76.68,5365172,2025-04-29T20:00:30Z,False,719411.76,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57630927677384,,,
1349,APH,76.68,5355790,2025-04-29T20:00:30Z,False,103441.32,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57630922747052,,,
6382,APH,76.68,5354071,2025-04-29T20:00:26Z,False,489371.76,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57626046207914,,,
8853,APH,76.68,5347496,2025-04-29T20:00:23Z,False,678848.04,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57623378935223,,,
1467,APH,76.68,5338626,2025-04-29T20:00:20Z,False,112489.56,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57620305112143,,,
2039,APH,76.68,5336731,2025-04-29T20:00:18Z,False,156350.52,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57618356538907,,,
10923,APH,76.68,5333732,2025-04-29T20:00:17Z,False,837575.64,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57617475607177,,,
6804,APH,76.68,5320363,2025-04-29T20:00:15Z,False,521730.72,prior_reference_price,76.75,74.37,extended_hours_trade,L,400,50,57615732923110,,,
2437,APH,76.68,5310885,2025-04-29T20:00:05Z,False,186869.16,,88,56.88,extended_hours_trade,L,4,8,57605557707996,,,
1695,APH,76.76,3877804,2025-04-29T19:57:28Z,False,130108.20,,76.76,76.75,,L,340,359,57448114320530,,,
2300,APH,76.7465,3834809,2025-04-29T19:56:46Z,False,176516.9500,average_price_trade,76.76,76.75,,L,256,4,57406567434513,derivative_priced,,
4466,APH,76.77,3629489,2025-04-29T19:51:18Z,False,342854.82,,76.78,76.77,,L,11,25,57078096776613,,,
