size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
33308,APO,154.80,3440498,2025-01-13T21:34:41Z,False,5156078.40,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,59681783186636,,,
1140,APO,154.80,3407190,2025-01-13T21:34:41Z,False,176472.00,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,59681757851783,,,
100000,APO,154.80,3405999,2025-01-13T21:13:44Z,False,15480000.00,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,58424161047854,,,
2235,APO,154.80,3305999,2025-01-13T21:07:52Z,False,345978.00,,152.28,155,extended_hours_trade,L,100,663,58072397630378,,,
948,APO,154.80,3303753,2025-01-13T21:05:04Z,False,146750.40,,152.28,155,extended_hours_trade,L,100,663,57904200229723,,,
924,APO,154.80,3302558,2025-01-13T21:02:57Z,False,143035.20,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57777702360282,,,
3085,APO,154.80,3299726,2025-01-13T21:00:51Z,False,477558.00,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57651452210619,,,
1738,APO,154.80,3296641,2025-01-13T21:00:41Z,False,269042.40,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57641396821306,,,
922,APO,154.80,3294385,2025-01-13T21:00:29Z,False,142725.60,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57629032150387,,,
679,APO,154.80,3292894,2025-01-13T21:00:28Z,False,105109.20,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57628804800360,,,
6400,APO,154.80,3291764,2025-01-13T21:00:28Z,False,990720.00,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57628667917259,,,
36716,APO,154.80,3285152,2025-01-13T21:00:28Z,False,5683636.80,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57628514721264,,,
8734,APO,154.80,3248436,2025-01-13T21:00:28Z,False,1352023.20,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57628444600041,,,
3425,APO,154.80,3239702,2025-01-13T21:00:28Z,False,530190.00,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57628442288288,,,
732,APO,154.80,3234018,2025-01-13T21:00:20Z,False,113313.60,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57620922268859,,,
1620,APO,154.80,3233220,2025-01-13T21:00:20Z,False,250776.00,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57620669357706,,,
2000,APO,154.80,3231452,2025-01-13T21:00:20Z,False,309600.00,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57620606460090,,,
4761,APO,154.80,3229129,2025-01-13T21:00:20Z,False,737002.80,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57620059315635,,,
5725,APO,154.80,3224368,2025-01-13T21:00:19Z,False,886230.00,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57619475715801,,,
1088,APO,154.80,3218347,2025-01-13T21:00:17Z,False,168422.40,prior_reference_price,152.28,155,extended_hours_trade,L,100,663,57617960592049,,,
702,APO,154.80,3215877,2025-01-13T21:00:06Z,False,108669.60,,152.28,155,extended_hours_trade,L,100,663,57606082985535,,,
1245,APO,154.80,3214906,2025-01-13T21:00:04Z,False,192726.00,average_price_trade,152.28,155,extended_hours_trade,L,100,663,57604185311158,,,
871,APO,154.7899,2824077,2025-01-13T20:59:42Z,False,134822.0029,,154.75,154.79,,L,5,107,57582814169859,,,
1800,APO,154.78,2822706,2025-01-13T20:59:42Z,False,278604.00,,154.75,154.79,,L,5,107,57582811338368,,,
4100,APO,154.78,2819906,2025-01-13T20:59:42Z,False,634598.00,,154.75,154.79,,L,5,107,57582810966525,,,
1000,APO,154.78,2820906,2025-01-13T20:59:42Z,False,154780.00,,154.75,154.79,,L,5,107,57582810991709,,,
900,APO,154.5976,2668771,2025-01-13T20:55:08Z,False,139137.8400,average_price_trade,154.59,154.64,,L,354,277,57308711024492,derivative_priced,,
5000,APO,154.01,2558915,2025-01-13T20:46:13Z,False,770050.00,,153.98,154.06,,L,135,113,56773090362927,,,
776,APO,154.1799,2526511,2025-01-13T20:43:18Z,False,119643.6024,,154.10,154.17,,L,10,15,56598380261015,,,
1000,APO,154.1666,2521113,2025-01-13T20:42:03Z,False,154166.6000,average_price_trade,154.02,154.13,,L,308,64,56523356978712,derivative_priced,,
5828,APO,154.145,2512540,2025-01-13T20:41:31Z,False,898357.060,,154.07,154.20,,L,8,1,56491923068033,,,
1441,APO,154.16,2505516,2025-01-13T20:41:15Z,False,222144.56,,154.17,154.22,,L,111,2,56475225518222,,,
805,APO,154.17,2469621,2025-01-13T20:35:18Z,False,124106.85,,154.10,154.24,,L,40,50,56118318791719,,,
663,APO,154.0799,2452680,2025-01-13T20:30:07Z,False,102154.9737,,153.97,154.06,,L,9,25,55807964325371,,,
2479,APO,154.249,2422818,2025-01-13T20:22:48Z,False,382383.271,,154.13,154.25,,L,200,60,55368506391497,,,
801,APO,153.8887,2386516,2025-01-13T20:15:42Z,False,123264.8487,,153.79,153.91,,L,66,1,54942061322164,,,
8811,APO,153.91,2354171,2025-01-13T20:08:55Z,False,1356101.01,,153.75,153.91,,L,105,100,54535750069755,,,
661,APO,153.85,2307804,2025-01-13T20:00:14Z,False,101694.85,,153.73,153.90,,L,20,300,54014701817116,derivative_priced,,
980,APO,153.85,2308784,2025-01-13T20:00:14Z,False,150773.00,,153.73,153.90,,L,20,300,54014701842992,derivative_priced,,
24500,APO,153.85,2306062,2025-01-13T20:00:14Z,False,3769325.00,,153.73,153.90,,L,20,300,54014700418195,,,
8811,APO,153.93,2280578,2025-01-13T20:00:12Z,False,1356277.23,,153.73,153.90,,L,20,300,54012817567367,,,
800,APO,153.885,2236178,2025-01-13T19:49:18Z,False,123108.000,,153.83,153.93,,L,45,200,53358244157022,,,
1267,APO,154,2225484,2025-01-13T19:47:18Z,False,195118,,153.97,154.11,,2,20,2,53238948714703,,,
1835,APO,154.0536,2224061,2025-01-13T19:47:06Z,False,282688.3560,,153.97,154.05,,L,4,11,53226193483914,,,
1913,APO,154.1099,2222066,2025-01-13T19:46:55Z,False,294812.2387,,153.93,154.05,,L,4,20,53215644215317,,,
1109,APO,154.0567,2203601,2025-01-13T19:42:16Z,False,170848.8803,,153.95,154.08,,L,1,1,52936750203882,,,
3500,APO,153.95,2193639,2025-01-13T19:39:38Z,False,538825.00,,153.90,154,,L,5,32,52778874213966,,,
742,APO,153.435,2135590,2025-01-13T19:22:01Z,False,113848.770,,153.35,153.48,,L,605,100,51721219173078,,,
889,APO,153.74,2105406,2025-01-13T19:11:02Z,False,136674.86,,153.69,153.78,,L,200,7,51062190015118,,,
1100,APO,153.90,1996807,2025-01-13T18:39:48Z,False,169290.00,,153.80,153.96,,L,30,18,49188951931265,,,
4210,APO,153.805,1988417,2025-01-13T18:39:37Z,False,647519.050,,153.72,153.89,,L,258,15,49177373214075,,,
912,APO,153.9094,1970789,2025-01-13T18:36:17Z,False,140365.3728,,153.83,153.98,,L,323,90,48977939707698,,,
1357,APO,153.9799,1966273,2025-01-13T18:35:13Z,False,208950.7243,,153.80,153.96,,L,19,90,48913036996480,,,
2271,APO,153.915,1959433,2025-01-13T18:32:49Z,False,349540.965,,153.85,153.98,,L,824,90,48769936770029,,,
675,APO,153.80,1932573,2025-01-13T18:25:48Z,False,103815.00,,153.67,153.84,,L,100,12,48348193828553,,,
7767,APO,153.7999,1930757,2025-01-13T18:25:37Z,False,1194563.8233,,153.66,153.80,,L,102,91,48337519708876,,,
2282,APO,153.9999,1914701,2025-01-13T18:21:17Z,False,351427.7718,,153.76,154.01,,L,20,9,48077583257976,,,
700,APO,153.97,1908987,2025-01-13T18:20:59Z,False,107779.00,,153.72,153.94,,L,14,109,48059127546939,,,
700,APO,153.88,1897804,2025-01-13T18:20:07Z,False,107716.00,,153.64,153.88,,L,100,100,48007703871203,,,
1900,APO,153.88,1895063,2025-01-13T18:19:45Z,False,292372.00,,153.65,153.90,,L,420,25,47985984727632,,,
1200,APO,153.82,1885226,2025-01-13T18:19:35Z,False,184584.00,,153.58,153.82,,L,106,20,47975778271264,,,
1346,APO,153.71,1861283,2025-01-13T18:15:01Z,False,206893.66,,153.71,153.82,,L,100,1,47701103953970,,,
700,APO,153.80,1826351,2025-01-13T18:03:44Z,False,107660.00,,153.67,153.80,,L,26,34,47024558015714,,,
6000,APO,153.6712,1816232,2025-01-13T18:01:39Z,False,922027.2000,,153.59,153.72,,L,78,25,46899444995208,,,
5168,APO,153.655,1805414,2025-01-13T18:01:39Z,False,794089.040,,153.59,153.72,,L,78,15,46899349117760,,,
4000,APO,153.655,1809414,2025-01-13T18:01:39Z,False,614620.000,,153.59,153.72,,L,78,15,46899349181888,,,
1758,APO,153.7196,1799918,2025-01-13T18:01:32Z,False,270239.0568,,153.60,153.80,,L,20,10,46892956097924,,,
897,APO,153.75,1794008,2025-01-13T17:58:58Z,False,137913.75,,153.62,153.77,,L,19,91,46738891291362,,,
800,APO,153.62,1776981,2025-01-13T17:53:45Z,False,122896.00,,153.44,153.61,,L,1,41,46425951448277,,,
880,APO,153.545,1773456,2025-01-13T17:53:13Z,False,135119.600,,153.43,153.61,,L,1,6,46393316485478,,,
900,APO,153.1828,1763465,2025-01-13T17:50:23Z,False,137864.5200,,153.09,153.26,,L,1,17,46223524493538,,,
1454,APO,153.7106,1689063,2025-01-13T17:26:34Z,False,223495.2124,,153.71,153.81,,L,41,234,44794276140117,,,
1000,APO,153.635,1681742,2025-01-13T17:25:04Z,False,153635.000,,153.56,153.71,,L,150,79,44704488913611,,,
673,APO,153.6604,1674342,2025-01-13T17:23:37Z,False,103413.4492,,153.64,153.73,,L,2,56,44617870111699,,,
1878,APO,153.75,1637103,2025-01-13T17:19:36Z,False,288742.50,,153.67,153.83,,L,100,434,44376207154970,,,
900,APO,153.69,1632248,2025-01-13T17:19:01Z,False,138321.00,,153.60,153.78,,L,154,500,44341563084998,,,
1000,APO,153.355,1596763,2025-01-13T17:14:04Z,False,153355.000,,153.26,153.45,,L,255,230,44044159990006,,,
750,APO,153.041,1562595,2025-01-13T17:07:19Z,False,114780.750,,153,153.14,,L,300,61,43639527639793,,,
1000,APO,153.005,1541114,2025-01-13T17:02:26Z,False,153005.000,,152.90,153.11,,L,412,50,43346125828159,,,
1890,APO,153.165,1522534,2025-01-13T17:00:16Z,False,289481.850,,153.10,153.23,,L,120,137,43216275206199,,,
2038,APO,153.22,1516832,2025-01-13T16:59:06Z,False,312262.36,,153.13,153.31,,L,240,81,43146958346383,,,
1000,APO,153.205,1502117,2025-01-13T16:55:50Z,False,153205.000,,153.07,153.26,,L,1,10,42950073893388,,,
1000,APO,153.26,1485863,2025-01-13T16:54:13Z,False,153260.00,,153.18,153.37,,L,20,100,42853789354643,,,
10000,APO,153.25,1481637,2025-01-13T16:54:06Z,False,1532500.00,,153.16,153.37,,L,20,1,42846287111302,,,
1000,APO,153.24,1470584,2025-01-13T16:54:04Z,False,153240.00,,153.16,153.31,,L,570,11,42844307878295,,,
1000,APO,153.24,1469096,2025-01-13T16:54:02Z,False,153240.00,,153.16,153.31,,L,570,11,42842613059687,,,
1770,APO,153.24,1467689,2025-01-13T16:54:01Z,False,271234.80,,153.16,153.31,,L,478,11,42841317491544,,,
2860,APO,153.24,1465919,2025-01-13T16:54:01Z,False,438266.40,,153.16,153.31,,L,478,11,42841293320600,,,
1000,APO,153.215,1457641,2025-01-13T16:53:59Z,False,153215.000,,153.16,153.27,,L,100,11,42839254943323,,,
