size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
972,APP,521.26,4828314,2026-01-23T23:59:55Z,False,506664.72,,522,521.6,extended_hours_trade,L,15,20,22896557050478,,regular,2026-01-23T23:59:55Z
298498,APP,524.41,4822180,2026-01-23T21:53:23Z,False,156535336.18,prior_reference_price,525.5,522.32,extended_hours_trade,L,5,500,22896549458273,,regular,2026-01-23T21:53:23Z
890,APP,524.41,4522495,2026-01-23T21:46:26Z,False,466724.90,prior_reference_price,522.5,521.8,extended_hours_trade,L,5,88,22896549041799,,regular,2026-01-23T21:46:26Z
330,APP,522.3,4520724,2026-01-23T21:45:02Z,False,172359.0,,525.5,521.8,extended_hours_trade,L,5,88,22896548957366,,regular,2026-01-23T21:45:02Z
2805,APP,524.41,4517961,2026-01-23T21:32:45Z,False,1470970.05,,525.5,522.32,extended_hours_trade,L,5,40,22896548220801,,regular,2026-01-23T21:32:45Z
1271,APP,524.41,4515128,2026-01-23T21:31:12Z,False,666525.11,,525.5,522.32,extended_hours_trade,L,5,40,22896548127117,,regular,2026-01-23T21:31:12Z
5549,APP,524.41,4513116,2026-01-23T21:20:00Z,False,2909951.09,prior_reference_price,523.25,522.3,extended_hours_trade,L,50,40,22896547455390,,regular,2026-01-23T21:20:00Z
248,APP,524.5999,4504111,2026-01-23T21:05:31Z,False,130100.7752,,524.6,524,extended_hours_trade,L,130,100,22896546586303,,regular,2026-01-23T21:05:31Z
440,APP,524.5999,4503863,2026-01-23T21:05:31Z,False,230823.9560,,524.6,524,extended_hours_trade,L,130,100,22896546586302,,regular,2026-01-23T21:05:31Z
440,APP,524.6,4503175,2026-01-23T21:05:31Z,False,230824.0,,524.6,524,extended_hours_trade,L,130,100,22896546586301,,regular,2026-01-23T21:05:31Z
248,APP,524.6,4503423,2026-01-23T21:05:31Z,False,130100.8,,524.6,524,extended_hours_trade,L,130,100,22896546586301,,regular,2026-01-23T21:05:31Z
125779,APP,524.41,4502131,2026-01-23T21:03:53Z,False,65959765.39,,525.99,524.41,extended_hours_trade,L,5,26,22896546488961,,regular,2026-01-23T21:03:53Z
359,APP,524.41,4376349,2026-01-23T21:03:07Z,False,188263.19,prior_reference_price,525.99,524.41,extended_hours_trade,L,5,28,22896546442442,,regular,2026-01-23T21:03:07Z
370,APP,524.41,4375988,2026-01-23T21:02:53Z,False,194031.70,prior_reference_price,525.99,524.41,extended_hours_trade,L,5,29,22896546428654,,regular,2026-01-23T21:02:53Z
413,APP,524.41,4374954,2026-01-23T21:02:39Z,False,216581.33,prior_reference_price,525.99,524.41,extended_hours_trade,L,5,29,22896546414192,,regular,2026-01-23T21:02:39Z
642,APP,524.41,4374139,2026-01-23T21:02:32Z,False,336671.22,prior_reference_price,525.99,524.41,extended_hours_trade,L,5,29,22896546406999,,regular,2026-01-23T21:02:32Z
240,APP,524.41,4373309,2026-01-23T21:02:21Z,False,125858.40,prior_reference_price,525.99,524.41,extended_hours_trade,L,5,29,22896546396410,,regular,2026-01-23T21:02:21Z
2024,APP,524.41,4372455,2026-01-23T21:01:33Z,False,1061405.84,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546348722,,regular,2026-01-23T21:01:33Z
333,APP,524.41,4370092,2026-01-23T21:00:57Z,False,174628.53,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546312355,,regular,2026-01-23T21:00:57Z
835,APP,524.41,4369759,2026-01-23T21:00:50Z,False,437882.35,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546305494,,regular,2026-01-23T21:00:50Z
253,APP,524.41,4368857,2026-01-23T21:00:43Z,False,132675.73,,524.5,524.14,extended_hours_trade,L,254,94,22896546298914,,seller,2026-01-23T21:00:43Z
487,APP,524.41,4368436,2026-01-23T21:00:36Z,False,255387.67,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546291003,,regular,2026-01-23T21:00:36Z
213,APP,524.41,4367733,2026-01-23T21:00:24Z,False,111699.33,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546279579,,regular,2026-01-23T21:00:24Z
214,APP,524.41,4367323,2026-01-23T21:00:24Z,False,112223.74,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546279256,,regular,2026-01-23T21:00:24Z
213,APP,524.41,4367109,2026-01-23T21:00:24Z,False,111699.33,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546279137,,regular,2026-01-23T21:00:24Z
212,APP,524.41,4366218,2026-01-23T21:00:23Z,False,111174.92,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546278801,,regular,2026-01-23T21:00:23Z
213,APP,524.41,4366006,2026-01-23T21:00:23Z,False,111699.33,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546278738,,regular,2026-01-23T21:00:23Z
8120,APP,524.41,4365731,2026-01-23T21:00:23Z,False,4258209.20,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546278526,,regular,2026-01-23T21:00:23Z
6157,APP,524.41,4357189,2026-01-23T21:00:23Z,False,3228792.37,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546278001,,regular,2026-01-23T21:00:23Z
359,APP,524.41,4351032,2026-01-23T21:00:22Z,False,188263.19,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546277941,,regular,2026-01-23T21:00:22Z
2542,APP,524.41,4350673,2026-01-23T21:00:22Z,False,1333050.22,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546277764,,regular,2026-01-23T21:00:22Z
1240,APP,524.41,4348131,2026-01-23T21:00:22Z,False,650268.40,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546277621,,regular,2026-01-23T21:00:22Z
360,APP,524.41,4346808,2026-01-23T21:00:20Z,False,188787.60,prior_reference_price,524.5,524.14,extended_hours_trade,L,254,94,22896546275891,,regular,2026-01-23T21:00:20Z
270,APP,524.41,4346447,2026-01-23T21:00:19Z,False,141590.70,prior_reference_price,524.09,523.96,extended_hours_trade,L,79,311,22896546274368,,regular,2026-01-23T21:00:19Z
360,APP,524.41,4346177,2026-01-23T21:00:19Z,False,188787.60,prior_reference_price,524.09,523.96,extended_hours_trade,L,79,311,22896546274337,,regular,2026-01-23T21:00:19Z
440,APP,524.41,4345659,2026-01-23T21:00:19Z,False,230740.40,prior_reference_price,524.09,523.96,extended_hours_trade,L,79,311,22896546274288,,regular,2026-01-23T21:00:19Z
673,APP,524.41,4345060,2026-01-23T21:00:16Z,False,352927.93,prior_reference_price,524.09,523.96,extended_hours_trade,L,79,311,22896546271864,,regular,2026-01-23T21:00:16Z
248,APP,524.41,4344387,2026-01-23T21:00:16Z,False,130053.68,prior_reference_price,524.09,523.96,extended_hours_trade,L,79,311,22896546271785,,regular,2026-01-23T21:00:16Z
218,APP,524.41,4343954,2026-01-23T21:00:16Z,False,114321.38,prior_reference_price,524.09,523.96,extended_hours_trade,L,79,311,22896546271635,,regular,2026-01-23T21:00:16Z
6664,APP,524.41,4343428,2026-01-23T21:00:04Z,False,3494668.24,,524.09,523.96,extended_hours_trade,L,79,311,22896546259796,,regular,2026-01-23T21:00:04Z
620,APP,524.41,4336528,2026-01-23T21:00:01Z,False,325134.20,,524.09,523.96,extended_hours_trade,L,79,311,22896546256211,,regular,2026-01-23T21:00:01Z
200,APP,524.41,4335850,2026-01-23T21:00:01Z,False,104882.00,,524.09,523.96,extended_hours_trade,L,79,311,22896546256134,,regular,2026-01-23T21:00:01Z
1586,APP,524.41,4165963,2026-01-23T21:00:00Z,False,831714.26,,524.09,523.96,extended_hours_trade,L,79,311,22896546255306,,regular,2026-01-23T21:00:00Z
304,APP,524.41,4166418,2026-01-23T21:00:00Z,False,159420.64,,524.09,523.96,extended_hours_trade,L,79,311,22896546255306,,regular,2026-01-23T21:00:00Z
1011,APP,524.41,4164360,2026-01-23T21:00:00Z,False,530178.51,,524.09,523.96,extended_hours_trade,L,79,311,22896546255304,,regular,2026-01-23T21:00:00Z
283,APP,524.4,4161065,2026-01-23T20:59:59Z,False,148405.2,,524.09,523.96,,L,79,311,22896546254506,,regular,2026-01-23T20:59:59Z
282,APP,524.42,4160772,2026-01-23T20:59:59Z,False,147886.44,,524.09,523.96,,L,79,311,22896546254497,,regular,2026-01-23T20:59:59Z
273,APP,524.4,4157619,2026-01-23T20:59:58Z,False,143161.2,,524.09,523.96,,L,79,311,22896546253944,,regular,2026-01-23T20:59:58Z
300,APP,524.23,4151500,2026-01-23T20:59:57Z,False,157269.00,,524.09,523.96,,L,79,311,22896546252662,,regular,2026-01-23T20:59:57Z
281,APP,524.29,4151781,2026-01-23T20:59:57Z,False,147325.49,,524.09,523.96,,L,79,311,22896546252662,,regular,2026-01-23T20:59:57Z
640,APP,524.22,4145907,2026-01-23T20:59:51Z,False,335500.80,,524.09,523.96,,L,79,311,22896546246836,,regular,2026-01-23T20:59:51Z
300,APP,524.32,4125865,2026-01-23T20:59:40Z,False,157296.00,,524.09,523.96,,L,79,311,22896546235207,,regular,2026-01-23T20:59:40Z
595,APP,524.13,4119602,2026-01-23T20:59:32Z,False,311857.35,,524.09,523.96,,L,79,311,22896546227063,,regular,2026-01-23T20:59:32Z
240,APP,524.08,4107500,2026-01-23T20:59:23Z,False,125779.20,,523.92,523.74,,L,120,499,22896546218474,,regular,2026-01-23T20:59:23Z
240,APP,523.8,4073649,2026-01-23T20:58:22Z,False,125712.0,,523.96,523.8,,L,52,164,22896546157328,,regular,2026-01-23T20:58:22Z
691,APP,523.8006,4072987,2026-01-23T20:58:21Z,False,361946.2146,,523.96,523.8,,L,52,164,22896546156699,,regular,2026-01-23T20:58:21Z
200,APP,523.94,4067226,2026-01-23T20:58:08Z,False,104788.00,,523.96,523.71,,L,12,526,22896546143763,,regular,2026-01-23T20:58:08Z
240,APP,522.91,4052266,2026-01-23T20:57:32Z,False,125498.40,,523.14,522.91,,L,156,129,22896546107180,,regular,2026-01-23T20:57:32Z
254,APP,523.11,4049460,2026-01-23T20:57:25Z,False,132869.94,,523.08,522.93,,L,10,20,22896546100790,,regular,2026-01-23T20:57:25Z
780,APP,523.1001,4044090,2026-01-23T20:57:05Z,False,408018.0780,,523.38,523.25,,L,227,35,22896546080528,,regular,2026-01-23T20:57:05Z
240,APP,523.4251,4034356,2026-01-23T20:56:20Z,False,125622.0240,,523.5,523.28,,L,140,146,22896546035021,,regular,2026-01-23T20:56:20Z
215,APP,523.2,4029757,2026-01-23T20:55:56Z,False,112488.0,,523.32,523.08,,L,83,66,22896546011108,,regular,2026-01-23T20:55:56Z
850,APP,523.18,4006416,2026-01-23T20:54:11Z,False,444703.00,,523.14,522.91,,L,94,10,22896545906803,,regular,2026-01-23T20:54:11Z
224,APP,523.33,4001859,2026-01-23T20:53:44Z,False,117225.92,,523.51,523.07,,L,2,160,22896545879605,,regular,2026-01-23T20:53:44Z
500,APP,523.4331,3998809,2026-01-23T20:53:30Z,False,261716.5500,,523.76,523.41,,L,455,29,22896545865133,,regular,2026-01-23T20:53:30Z
238,APP,523.6612,3997759,2026-01-23T20:53:23Z,False,124631.3656,,523.79,523.28,,L,115,21,22896545858114,,regular,2026-01-23T20:53:23Z
3010,APP,522.75,3997023,2026-01-23T20:53:22Z,False,1573477.50,,523.79,523.28,,L,115,21,22896545857791,,regular,2026-01-23T20:53:22Z
633,APP,523.07,3993456,2026-01-23T20:53:22Z,False,331103.31,,523.79,523.28,,L,115,21,22896545857766,,regular,2026-01-23T20:53:22Z
243,APP,523,3992119,2026-01-23T20:53:22Z,False,127089,,523.79,523.28,,L,115,21,22896545857763,,regular,2026-01-23T20:53:22Z
360,APP,523.26,3985904,2026-01-23T20:53:22Z,False,188373.60,,523.79,523.28,,L,115,21,22896545857750,,regular,2026-01-23T20:53:22Z
317,APP,523.2701,3984105,2026-01-23T20:53:22Z,False,165876.6217,,523.79,523.28,,L,115,21,22896545857748,,regular,2026-01-23T20:53:22Z
242,APP,523.5001,3981348,2026-01-23T20:53:22Z,False,126687.0242,,523.79,523.28,,L,115,21,22896545857742,,regular,2026-01-23T20:53:22Z
300,APP,523.92,3976419,2026-01-23T20:53:22Z,False,157176.00,,523.79,523.28,,L,115,21,22896545857717,,regular,2026-01-23T20:53:22Z
240,APP,524.55,3958359,2026-01-23T20:52:00Z,False,125892.00,,524.55,524.42,,L,24,1,22896545775680,,regular,2026-01-23T20:52:00Z
