size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
300,APP,527.95,6002215,2026-07-02T23:44:15Z,False,158385.00,,527,528,extended_hours_trade,L,5,11,22896556109997,,regular,2026-07-02T23:44:15Z
1420,APP,528.5,5998635,2026-07-02T22:20:34Z,False,750470.0,,527,528.91,extended_hours_trade,L,4,10,22896551089602,,regular,2026-07-02T22:20:34Z
1184,APP,527.06,5996571,2026-07-02T21:51:46Z,False,624039.04,prior_reference_price,527,529,extended_hours_trade,L,2,10,22896549361676,,regular,2026-07-02T21:51:45Z
4742,APP,527.06,5995322,2026-07-02T21:45:52Z,False,2499318.52,prior_reference_price,527,529,extended_hours_trade,L,2,10,22896549007763,,regular,2026-07-02T21:45:52Z
250,APP,527.8,5989742,2026-07-02T21:07:58Z,False,131950.0,,526.5,528,extended_hours_trade,L,21,50,22896546733034,,regular,2026-07-02T21:07:58Z
3500,APP,527.06,5989098,2026-07-02T20:47:42Z,False,1844710.00,average_price_trade,526.5,528,extended_hours_trade,L,27,50,22896545517886,,regular,2026-07-02T20:47:42Z
599,APP,527.06,5985260,2026-07-02T20:40:16Z,False,315708.94,prior_reference_price,525.53,528,extended_hours_trade,L,27,49,22896545071260,,regular,2026-07-02T20:40:16Z
372,APP,527.06,5983937,2026-07-02T20:35:50Z,False,196066.32,,525.53,528,extended_hours_trade,L,27,49,22896544805381,,regular,2026-07-02T20:35:50Z
1100,APP,527.06,5983030,2026-07-02T20:33:28Z,False,579766.00,prior_reference_price,525.53,528,extended_hours_trade,L,27,49,22896544663302,,regular,2026-07-02T20:33:28Z
851,APP,526.93,5980452,2026-07-02T20:01:58Z,False,448417.43,,525.58,529.99,extended_hours_trade,L,40,49,22896542773748,,regular,2026-07-02T20:01:58Z
425,APP,527.06,5979559,2026-07-02T20:00:47Z,False,224000.50,,525,530,extended_hours_trade,L,16,155,22896542701976,,seller,2026-07-02T20:00:46Z
239,APP,527.06,5979126,2026-07-02T20:00:35Z,False,125967.34,prior_reference_price,525,530,extended_hours_trade,L,16,155,22896542690078,,regular,2026-07-02T20:00:35Z
5886,APP,527.06,5978717,2026-07-02T20:00:34Z,False,3102275.16,prior_reference_price,525,530,extended_hours_trade,L,16,155,22896542689598,,regular,2026-07-02T20:00:34Z
271,APP,527.06,5972831,2026-07-02T20:00:34Z,False,142833.26,prior_reference_price,525,530,extended_hours_trade,L,16,155,22896542689590,,regular,2026-07-02T20:00:34Z
