size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2400,ARE,45.57,2022432,2025-12-11T21:00:29Z,False,109368.00,prior_reference_price,47.27,45.46,extended_hours_trade,L,5,4,0,,regular,
3049,ARE,45.57,2019394,2025-12-11T21:00:29Z,False,138942.93,prior_reference_price,47.27,45.46,extended_hours_trade,L,5,4,0,,regular,
4110,ARE,45.57,2016345,2025-12-11T21:00:29Z,False,187292.70,prior_reference_price,47.27,45.46,extended_hours_trade,L,5,4,0,,regular,
2796,ARE,45.57,2010343,2025-12-11T21:00:28Z,False,127413.72,prior_reference_price,47.27,45.46,extended_hours_trade,L,5,4,0,,regular,
4206,ARE,45.57,2006899,2025-12-11T21:00:05Z,False,191667.42,,45.58,45.53,extended_hours_trade,L,166,780,0,,regular,
8331,ARE,45.58,1457106,2025-12-11T20:37:22Z,False,379726.98,,45.58,45.56,,L,399,167,0,,regular,
2800,ARE,45.61,1443463,2025-12-11T20:36:19Z,False,127708.00,,45.63,45.61,,L,36,104,0,,regular,
2200,ARE,45.605,1390226,2025-12-11T20:25:01Z,False,100331.000,,45.63,45.58,,L,66,33,0,,regular,
2500,ARE,45.5286,1182409,2025-12-11T19:45:49Z,False,113821.5000,,45.53,45.47,,L,218,98,0,,regular,
3827,ARE,45.58,1099568,2025-12-11T19:28:27Z,False,174434.66,,45.6,45.58,,L,17,84,0,,regular,
2400,ARE,45.6476,1071797,2025-12-11T19:21:33Z,False,109554.2400,,45.66,45.63,,L,1,80,0,,regular,
2410,ARE,45.7232,872543,2025-12-11T18:29:50Z,False,110192.9120,,45.74,45.7,,L,204,22,0,,regular,
4268,ARE,45.67,864616,2025-12-11T18:28:18Z,False,194919.56,,45.71,45.69,,L,25,1,0,,regular,
2236,ARE,45.745,856579,2025-12-11T18:26:55Z,False,102285.820,,45.77,45.74,,L,380,19,0,,regular,
2231,ARE,45.9,778070,2025-12-11T18:09:27Z,False,102402.9,,45.96,45.92,,L,20,11,0,,regular,
2307,ARE,46.0699,722916,2025-12-11T17:52:01Z,False,106283.2593,,46.07,46.04,,L,106,58,0,,regular,
8410,ARE,46.54,644776,2025-12-11T17:25:24Z,False,391401.40,,46.57,46.54,,L,394,50,0,,regular,
3000,ARE,46.5376,536601,2025-12-11T16:32:51Z,False,139612.8000,,46.57,46.52,,L,254,51,0,,regular,
3682,ARE,46.725,461387,2025-12-11T16:07:11Z,False,172041.450,,46.75,46.72,,L,6,20,0,,regular,
2867,ARE,46.3109,288934,2025-12-11T15:19:20Z,False,132773.3503,,46.38,46.31,,L,4,39,0,,regular,
3000,ARE,46.625,103298,2025-12-11T14:41:06Z,False,139875.000,,46.65,46.56,,L,5,112,0,,regular,
2380,ARE,46.665,30266,2025-12-11T14:30:10Z,False,111062.700,,46.9,46.21,,L,6,200,0,,regular,
3618,ARE,46.665,27485,2025-12-11T14:30:10Z,False,168833.970,,46.9,46.21,,L,6,200,0,,regular,
