size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
8526,ARE,48.35,1948695,2026-08-10T21:29:30Z,False,412232.10,prior_reference_price,48.13,48.72,extended_hours_trade,L,1,74,30382676022226,,regular,2026-08-10T21:29:30Z
7703,ARE,48.35,1940169,2026-08-10T21:27:38Z,False,372440.05,prior_reference_price,48.13,48.72,extended_hours_trade,L,1,74,30382675909922,,regular,2026-08-10T21:27:38Z
21205,ARE,48.35,1932466,2026-08-10T20:48:56Z,False,1025261.75,average_price_trade,48.11,48.72,extended_hours_trade,L,1,6,30382673588066,,regular,2026-08-10T20:48:55Z
28300,ARE,48.35,1911156,2026-08-10T20:34:15Z,False,1368305.00,average_price_trade,48.11,48.72,extended_hours_trade,L,1,6,30382672707028,,regular,2026-08-10T20:34:15Z
357100,ARE,48.35,1882835,2026-08-10T20:06:17Z,False,17265785.00,prior_reference_price,47.42,49.4,extended_hours_trade,L,181,189,30382671029214,,regular,2026-08-10T20:06:17Z
2933,ARE,48.35,1524937,2026-08-10T20:00:32Z,False,141810.55,prior_reference_price,45,53.27,extended_hours_trade,L,100,20,30382670684660,,regular,2026-08-10T20:00:32Z
4834,ARE,48.35,1519440,2026-08-10T20:00:23Z,False,233723.90,prior_reference_price,45,53.27,extended_hours_trade,L,100,20,30382670675901,,regular,2026-08-10T20:00:23Z
2073,ARE,48.35,1512843,2026-08-10T20:00:23Z,False,100229.55,prior_reference_price,45,53.27,extended_hours_trade,L,100,20,30382670675825,,regular,2026-08-10T20:00:23Z
18325,ARE,48.4801,970921,2026-08-10T19:40:30Z,False,888397.8325,,48.47,48.51,,L,31,154,30382669482295,,regular,2026-08-10T19:40:30Z
6598,ARE,48.12,545706,2026-08-10T16:31:32Z,False,317495.76,,48.08,48.15,,L,60,12,30382658144198,,regular,2026-08-10T16:31:32Z
4000,ARE,48.525,355716,2026-08-10T14:41:18Z,False,194100.000,,48.5,48.61,,L,66,287,30382651530810,,regular,2026-08-10T14:41:18Z
2795,ARE,48.52,343413,2026-08-10T14:36:24Z,False,135613.40,,48.5,48.57,,L,160,30,30382651236785,,regular,2026-08-10T14:36:24Z
6000,ARE,48.74,275633,2026-08-10T14:17:47Z,False,292440.00,,48.71,48.81,,L,30,100,30382650119398,,regular,2026-08-10T14:17:47Z
4400,ARE,48.69,252344,2026-08-10T14:17:23Z,False,214236.00,,48.56,48.69,,L,209,68,30382650095477,,regular,2026-08-10T14:17:23Z
11000,ARE,48.12,63502,2026-08-10T13:46:44Z,False,529320.00,,48.09,48.22,,L,18,18,30382648256835,,regular,2026-08-10T13:46:44Z
