size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
838,ARM,168.8,9046541,2025-10-08T23:55:24Z,False,141454.4,,168.85,168.6,extended_hours_trade,L,10,5,0,,regular,
1000,ARM,168.9,9044444,2025-10-08T23:52:56Z,False,168900.0,,168.85,168.6,extended_hours_trade,L,10,5,0,,regular,
1886,ARM,168.44,9033659,2025-10-08T23:41:22Z,False,317677.84,,169.24,168.72,extended_hours_trade,L,356,100,0,,regular,
892,ARM,167.9345,9025604,2025-10-08T23:26:29Z,False,149797.5740,,168,167.4,extended_hours_trade,L,100,20,0,,regular,
1911,ARM,167.9999,9020126,2025-10-08T23:02:06Z,False,321047.8089,,168,167.4,extended_hours_trade,L,151,20,0,,regular,
800,ARM,167.59,9006943,2025-10-08T22:56:48Z,False,134072.00,,167.6,167.59,extended_hours_trade,L,38,700,0,,regular,
151374,ARM,166.77,8971844,2025-10-08T21:01:16Z,False,25244641.98,average_price_trade,167,166.72,extended_hours_trade,L,162,470,0,,regular,
12436,ARM,166.77,8793240,2025-10-08T20:23:13Z,False,2073951.72,prior_reference_price,167.4,167,extended_hours_trade,L,184,7,0,,regular,
700,ARM,166.9777,8775053,2025-10-08T20:17:41Z,False,116884.3900,,167.4,166.72,extended_hours_trade,L,100,470,0,,regular,
1000,ARM,166.9899,8773137,2025-10-08T20:17:11Z,False,166989.9000,,167.4,166.72,extended_hours_trade,L,100,470,0,,regular,
1000,ARM,166.72,8772103,2025-10-08T20:16:39Z,False,166720.00,,167.1,166.72,extended_hours_trade,L,10,470,0,,regular,
2000,ARM,166.77,8770925,2025-10-08T20:16:08Z,False,333540.00,,167.1,167,extended_hours_trade,L,10,50,0,,regular,
1041,ARM,166.77,8753458,2025-10-08T20:10:37Z,False,173607.57,,168,167.63,extended_hours_trade,L,100,1,0,,regular,
2042,ARM,167.95,8745636,2025-10-08T20:05:17Z,False,342953.90,,167.95,167.14,extended_hours_trade,L,639,20,0,,regular,
800,ARM,168.01,8741729,2025-10-08T20:04:30Z,False,134408.00,,168.16,167.7,extended_hours_trade,L,10,1000,0,,regular,
1000,ARM,168.01,8739991,2025-10-08T20:04:19Z,False,168010.00,,168.16,167.84,extended_hours_trade,L,10,100,0,,regular,
5000,ARM,168,8737376,2025-10-08T20:04:04Z,False,840000,,168.18,168,extended_hours_trade,L,100,300,0,,regular,
800,ARM,168,8731675,2025-10-08T20:04:02Z,False,134400,,168.18,168,extended_hours_trade,L,100,443,0,,regular,
2750,ARM,167.84,8725505,2025-10-08T20:03:50Z,False,461560.00,,168,167.8,extended_hours_trade,L,1547,200,0,,regular,
1000,ARM,167.3216,8717034,2025-10-08T20:02:39Z,False,167321.6000,,167.87,167.14,extended_hours_trade,L,2,20,0,,regular,
2100,ARM,167.1,8710516,2025-10-08T20:00:45Z,False,350910.0,,167.1,166.69,extended_hours_trade,L,13,10,0,,regular,
2100,ARM,167.0999,8712616,2025-10-08T20:00:45Z,False,350909.7900,,167.1,166.69,extended_hours_trade,L,13,10,0,,regular,
3258,ARM,166.77,8706199,2025-10-08T20:00:17Z,False,543336.66,prior_reference_price,167.1,166.69,extended_hours_trade,L,13,10,0,,regular,
2199,ARM,166.77,8702941,2025-10-08T20:00:17Z,False,366727.23,prior_reference_price,167.1,166.69,extended_hours_trade,L,13,10,0,,regular,
865,ARM,166.77,8700289,2025-10-08T20:00:15Z,False,144256.05,prior_reference_price,167.1,166.69,extended_hours_trade,L,13,10,0,,regular,
756,ARM,166.77,8698817,2025-10-08T20:00:14Z,False,126078.12,prior_reference_price,167.1,166.69,extended_hours_trade,L,13,10,0,,regular,
635,ARM,166.77,8697990,2025-10-08T20:00:14Z,False,105898.95,prior_reference_price,167.1,166.69,extended_hours_trade,L,13,10,0,,regular,
6337,ARM,166.77,8697328,2025-10-08T20:00:14Z,False,1056821.49,prior_reference_price,167.1,166.69,extended_hours_trade,L,13,10,0,,regular,
14750,ARM,166.77,8689949,2025-10-08T20:00:13Z,False,2459857.50,prior_reference_price,166.79,166.77,extended_hours_trade,L,210,563,0,,regular,
4840,ARM,166.77,8674887,2025-10-08T20:00:02Z,False,807166.80,,166.79,166.77,extended_hours_trade,L,210,563,0,,regular,
4184,ARM,166.77,8669507,2025-10-08T20:00:02Z,False,697765.68,,166.79,166.77,extended_hours_trade,L,210,563,0,,regular,
681,ARM,166.77,8664787,2025-10-08T20:00:02Z,False,113570.37,,166.79,166.77,extended_hours_trade,L,210,563,0,,regular,
743,ARM,166.77,8664083,2025-10-08T20:00:02Z,False,123910.11,,166.79,166.77,extended_hours_trade,L,210,563,0,,regular,
6000,ARM,166.77,7580360,2025-10-08T20:00:00Z,False,1000620.00,,166.79,166.77,extended_hours_trade,L,210,563,0,,regular,
3700,ARM,166.6,7573163,2025-10-08T19:59:59Z,False,616420.0,,166.79,166.77,,L,210,563,0,,regular,
3270,ARM,166.71,7548038,2025-10-08T19:59:56Z,False,545141.70,,166.79,166.77,,L,210,563,0,,regular,
730,ARM,166.71,7548768,2025-10-08T19:59:56Z,False,121698.30,,166.79,166.77,,L,210,563,0,,regular,
1570,ARM,166.885,7498757,2025-10-08T19:59:46Z,False,262009.450,average_price_trade,166.79,166.77,,L,210,563,0,derivative_priced,regular,
5000,ARM,166.7,7484324,2025-10-08T19:59:43Z,False,833500.0,,166.79,166.77,,L,210,563,0,,regular,
2500,ARM,166.7,7477935,2025-10-08T19:59:41Z,False,416750.0,,166.79,166.77,,L,210,563,0,,regular,
800,ARM,166.81,7393952,2025-10-08T19:59:24Z,False,133448.00,contingent_trade,166.78,166.74,,L,561,1297,0,qualified_contingent_trade,regular,
600,ARM,166.81,7394552,2025-10-08T19:59:24Z,False,100086.00,contingent_trade,166.78,166.74,,L,561,1297,0,qualified_contingent_trade,regular,
1200,ARM,166.82,7376275,2025-10-08T19:59:21Z,False,200184.00,,166.78,166.74,,L,561,1297,0,,regular,
1500,ARM,166.8,7359417,2025-10-08T19:59:16Z,False,250200.0,contingent_trade,166.78,166.74,,L,561,1297,0,qualified_contingent_trade,regular,
1800,ARM,166.8,7357892,2025-10-08T19:59:16Z,False,300240.0,contingent_trade,166.78,166.74,,L,561,1297,0,qualified_contingent_trade,regular,
700,ARM,166.845,7328143,2025-10-08T19:59:10Z,False,116791.500,,166.78,166.74,,L,561,1297,0,,regular,
1799,ARM,166.74,7313631,2025-10-08T19:59:07Z,False,299965.26,,166.78,166.74,,L,561,1297,0,,regular,
1257,ARM,166.76,7308629,2025-10-08T19:59:06Z,False,209617.32,,166.93,166.88,,L,91,109,0,,regular,
800,ARM,166.9224,7268243,2025-10-08T19:59:01Z,False,133537.9200,,166.93,166.88,,L,91,109,0,,regular,
645,ARM,166.935,7265899,2025-10-08T19:59:00Z,False,107673.075,,166.93,166.88,,L,91,109,0,,regular,
1000,ARM,166.95,7265254,2025-10-08T19:59:00Z,False,166950.00,contingent_trade,166.93,166.88,,L,91,109,0,qualified_contingent_trade,regular,
1000,ARM,166.95,7263854,2025-10-08T19:59:00Z,False,166950.00,contingent_trade,166.93,166.88,,L,91,109,0,qualified_contingent_trade,regular,
600,ARM,166.94,7260854,2025-10-08T19:58:59Z,False,100164.00,,166.93,166.88,,L,91,109,0,,regular,
1300,ARM,166.95,7259750,2025-10-08T19:58:58Z,False,217035.00,contingent_trade,166.93,166.88,,L,91,109,0,qualified_contingent_trade,regular,
1300,ARM,166.95,7258350,2025-10-08T19:58:58Z,False,217035.00,contingent_trade,166.93,166.88,,L,91,109,0,qualified_contingent_trade,regular,
900,ARM,166.95,7256750,2025-10-08T19:58:58Z,False,150255.00,contingent_trade,166.93,166.88,,L,91,109,0,qualified_contingent_trade,regular,
1400,ARM,166.9199,7246570,2025-10-08T19:58:58Z,False,233687.8600,,166.93,166.88,,L,91,109,0,,regular,
800,ARM,166.95,7232294,2025-10-08T19:58:52Z,False,133560.00,,166.93,166.88,,L,91,109,0,,regular,
1400,ARM,167.01,7187579,2025-10-08T19:58:35Z,False,233814.00,,167,166.94,,L,52,449,0,,regular,
1800,ARM,166.93,7172126,2025-10-08T19:58:30Z,False,300474.00,contingent_trade,167,166.94,,L,52,449,0,qualified_contingent_trade,regular,
1200,ARM,166.94,7167903,2025-10-08T19:58:30Z,False,200328.00,contingent_trade,167,166.94,,L,52,449,0,qualified_contingent_trade,regular,
1900,ARM,166.94,7169803,2025-10-08T19:58:30Z,False,317186.00,contingent_trade,167,166.94,,L,52,449,0,qualified_contingent_trade,regular,
900,ARM,166.94,7165201,2025-10-08T19:58:30Z,False,150246.00,contingent_trade,167,166.94,,L,52,449,0,qualified_contingent_trade,regular,
800,ARM,166.94,7166001,2025-10-08T19:58:30Z,False,133552.00,contingent_trade,167,166.94,,L,52,449,0,qualified_contingent_trade,regular,
1000,ARM,166.9441,7129743,2025-10-08T19:58:20Z,False,166944.1000,,166.93,166.92,,L,29,223,0,,regular,
1200,ARM,166.93,7105153,2025-10-08T19:58:11Z,False,200316.00,contingent_trade,166.91,166.89,,L,95,206,0,qualified_contingent_trade,regular,
