size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
700,ARM,170,4579005,2025-10-16T23:43:44Z,False,119000,,170,170.45,extended_hours_trade,L,30,139,0,,regular,
1070,ARM,170.0308,4577317,2025-10-16T23:38:52Z,False,181932.9560,,170,170.45,extended_hours_trade,L,30,236,0,,regular,
4600,ARM,171.1999,4566260,2025-10-16T21:26:31Z,False,787519.5400,,170.94,171.2,extended_hours_trade,L,100,1,0,,regular,
1185,ARM,171.1999,4567445,2025-10-16T21:26:31Z,False,202871.8815,,170.94,171.2,extended_hours_trade,L,100,1,0,,regular,
4600,ARM,171.2,4561660,2025-10-16T21:26:31Z,False,787520.0,,170.94,171.2,extended_hours_trade,L,100,1,0,,regular,
8392,ARM,171.26,4556829,2025-10-16T21:23:36Z,False,1437213.92,,170.72,171.5,extended_hours_trade,L,50,40,0,,regular,
1960,ARM,171.26,4545143,2025-10-16T20:47:45Z,False,335669.60,,170.95,171.5,extended_hours_trade,L,50,5,0,,regular,
1129,ARM,171.19,4542786,2025-10-16T20:43:00Z,False,193273.51,prior_reference_price,170.95,171.5,extended_hours_trade,L,50,5,0,,regular,
1865,ARM,171.19,4540354,2025-10-16T20:35:25Z,False,319269.35,prior_reference_price,170.5,171.5,extended_hours_trade,L,50,2,0,,regular,
4151,ARM,171.19,4536739,2025-10-16T20:20:00Z,False,710609.69,prior_reference_price,170,171.5,extended_hours_trade,L,50,110,0,,regular,
814,ARM,171.19,4529719,2025-10-16T20:04:40Z,False,139348.66,,170,172,extended_hours_trade,L,200,110,0,,regular,
1700,ARM,171.5,4527690,2025-10-16T20:04:38Z,False,291550.0,,170,172,extended_hours_trade,L,200,110,0,,regular,
20444,ARM,171.19,4523393,2025-10-16T20:04:14Z,False,3499808.36,prior_reference_price,171.19,172,extended_hours_trade,L,200,1000,0,,regular,
1353,ARM,171.19,4502225,2025-10-16T20:01:58Z,False,231620.07,prior_reference_price,170,172,extended_hours_trade,L,100,110,0,,regular,
