size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
78406,ARWR,31.66,2360414,2025-09-25T20:33:29Z,False,2482333.96,prior_reference_price,31.53,32.29,extended_hours_trade,L,52,200,0,,regular,
5315,ARWR,31.66,2282001,2025-09-25T20:18:52Z,False,168272.90,,31.52,32.29,extended_hours_trade,L,52,100,0,,regular,
8766,ARWR,32.485,1539884,2025-09-25T19:37:18Z,False,284763.510,,32.44,32.47,,L,86,177,0,,regular,
3500,ARWR,32.5466,1369727,2025-09-25T18:37:21Z,False,113913.1000,,32.53,32.56,,L,160,203,0,,regular,
3905,ARWR,32.5501,1365997,2025-09-25T18:37:19Z,False,127108.1405,,32.53,32.56,,L,60,203,0,,regular,
3500,ARWR,32.52,1359599,2025-09-25T18:37:17Z,False,113820.00,,32.51,32.53,,L,53,261,0,,regular,
3756,ARWR,32.519,1355970,2025-09-25T18:37:16Z,False,122141.364,,32.51,32.53,,L,53,261,0,,regular,
3945,ARWR,32.614,1328412,2025-09-25T18:30:06Z,False,128662.230,,32.6,32.63,,L,120,30,0,,regular,
3500,ARWR,32.605,1319601,2025-09-25T18:30:03Z,False,114117.500,,32.59,32.61,,L,1,28,0,,regular,
3945,ARWR,32.6029,1315990,2025-09-25T18:30:00Z,False,128618.4405,,32.59,32.61,,L,1,28,0,,regular,
3500,ARWR,32.5704,1305738,2025-09-25T18:29:59Z,False,113996.4000,,32.56,32.58,,L,11,28,0,,regular,
3700,ARWR,32.63,1282028,2025-09-25T18:22:09Z,False,120731.00,,32.61,32.65,,L,114,101,0,,regular,
3945,ARWR,32.6755,1270537,2025-09-25T18:22:07Z,False,128904.8475,,32.67,32.69,,L,110,2,0,,regular,
4997,ARWR,32.609,1260382,2025-09-25T18:22:06Z,False,162947.173,,32.62,32.64,,L,4,12,0,,regular,
6830,ARWR,32.49,1203707,2025-09-25T17:56:39Z,False,221906.70,,32.48,32.52,,L,311,142,0,,regular,
4744,ARWR,32.461,1169298,2025-09-25T17:46:32Z,False,153994.984,,32.48,32.51,,L,10,5,0,,regular,
3500,ARWR,32.495,1158621,2025-09-25T17:45:56Z,False,113732.500,,32.48,32.52,,L,310,47,0,,regular,
4149,ARWR,32.51,1146001,2025-09-25T17:45:53Z,False,134883.99,,32.46,32.49,,L,10,50,0,,regular,
3400,ARWR,32.4794,1140307,2025-09-25T17:45:53Z,False,110429.9600,,32.46,32.5,,L,349,50,0,,regular,
5000,ARWR,32.515,996120,2025-09-25T16:52:49Z,False,162575.000,,32.5,32.53,,L,8,46,0,,regular,
3711,ARWR,32.5169,991093,2025-09-25T16:52:49Z,False,120670.2159,,32.5,32.53,,L,8,46,0,,regular,
3711,ARWR,32.4651,978786,2025-09-25T16:52:41Z,False,120477.9861,,32.44,32.49,,L,236,128,0,,regular,
3993,ARWR,32.5211,948352,2025-09-25T16:50:31Z,False,129856.7523,,32.5,32.54,,L,100,509,0,,regular,
5001,ARWR,32.5628,838779,2025-09-25T16:01:25Z,False,162846.5628,,32.57,32.6,,L,1,100,0,,regular,
3993,ARWR,32.62,795068,2025-09-25T15:46:07Z,False,130251.66,,32.61,32.63,,L,78,21,0,,regular,
3601,ARWR,32.6,788896,2025-09-25T15:45:50Z,False,117392.6,,32.58,32.61,,L,60,200,0,,regular,
4500,ARWR,32.5006,734960,2025-09-25T15:30:12Z,False,146252.7000,,32.46,32.53,,L,100,375,0,,regular,
4883,ARWR,32.4697,707934,2025-09-25T15:30:08Z,False,158549.5451,,32.48,32.5,,L,100,268,0,,regular,
3893,ARWR,32.635,548496,2025-09-25T15:00:39Z,False,127048.055,,32.61,32.66,,L,349,301,0,,regular,
5001,ARWR,32.64,539467,2025-09-25T14:59:36Z,False,163232.64,,32.61,32.66,,L,160,236,0,,regular,
5000,ARWR,32.636,531431,2025-09-25T14:59:34Z,False,163180.000,,32.61,32.66,,L,160,68,0,,regular,
3807,ARWR,32.59,518007,2025-09-25T14:59:31Z,False,124070.13,,32.62,32.64,,L,299,115,0,,regular,
4900,ARWR,32.5797,511646,2025-09-25T14:59:30Z,False,159640.5300,,32.55,32.58,,L,62,59,0,,regular,
5001,ARWR,32.68,451019,2025-09-25T14:46:26Z,False,163432.68,,32.65,32.69,,L,21,261,0,,regular,
5000,ARWR,32.668,445360,2025-09-25T14:46:25Z,False,163340.000,,32.64,32.67,,L,179,196,0,,regular,
5001,ARWR,32.5639,432229,2025-09-25T14:46:22Z,False,162852.0639,,32.54,32.6,,L,25,1,0,,regular,
4900,ARWR,32.565,427078,2025-09-25T14:46:21Z,False,159568.500,,32.54,32.6,,L,30,1,0,,regular,
3129,ARWR,32.775,215332,2025-09-25T14:11:43Z,False,102552.975,,32.73,32.79,,L,32,314,0,,regular,
3369,ARWR,32.595,145176,2025-09-25T13:52:15Z,False,109812.555,,32.51,32.68,,L,338,100,0,,regular,
6000,ARWR,32.6177,129209,2025-09-25T13:50:27Z,False,195706.2000,,32.71,32.82,,L,100,201,0,,regular,
5506,ARWR,32.41,101774,2025-09-25T13:42:16Z,False,178449.46,,32.31,32.45,,L,118,200,0,,regular,
8000,ARWR,32.2301,42008,2025-09-25T13:30:58Z,False,257840.8000,,32.23,32.51,,L,45,125,0,,regular,
