size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
11538,AR,34.66,4724313,2026-06-09T20:00:42Z,False,399907.08,prior_reference_price,34.17,0,extended_hours_trade,L,0,9,33320428324542,,regular,2026-06-09T20:00:42Z
6856,AR,34.66,4707598,2026-06-09T20:00:03Z,False,237628.96,,0,0,extended_hours_trade,L,0,0,33320428285536,,regular,2026-06-09T20:00:03Z
4000,AR,34.66,4696433,2026-06-09T20:00:03Z,False,138640.00,,0,0,extended_hours_trade,L,0,0,33320428285527,,regular,2026-06-09T20:00:03Z
3800,AR,34.66,4700233,2026-06-09T20:00:03Z,False,131708.00,,0,0,extended_hours_trade,L,0,0,33320428285527,,regular,2026-06-09T20:00:03Z
3450,AR,34.655,3839648,2026-06-09T19:57:40Z,False,119559.750,,34.65,34.66,,L,233,84,33320428142713,,regular,2026-06-09T19:57:40Z
3179,AR,34.595,3791614,2026-06-09T19:56:24Z,False,109977.505,,34.59,34.6,,L,319,244,33320428067206,,regular,2026-06-09T19:56:24Z
2996,AR,34.395,3443727,2026-06-09T19:39:42Z,False,103047.420,,34.39,34.4,,L,214,107,33320427064578,,regular,2026-06-09T19:39:42Z
5143,AR,34.42,3255774,2026-06-09T19:18:20Z,False,177022.06,,34.41,34.42,,L,137,44,33320425782843,,regular,2026-06-09T19:18:20Z
3668,AR,34.325,3051873,2026-06-09T18:54:03Z,False,125904.100,,34.32,34.33,,L,15,110,33320424325730,,regular,2026-06-09T18:54:03Z
14946,AR,34.3134,3012465,2026-06-09T18:47:19Z,False,512848.0764,average_price_trade,34.34,34.35,,L,125,133,33320423922147,intermarket_sweep,regular,2026-06-09T18:47:19Z
3838,AR,34.3035,2978927,2026-06-09T18:46:41Z,False,131656.8330,average_price_trade,34.3,34.31,,L,120,26,33320423883793,,regular,2026-06-09T18:46:41Z
4567,AR,34.3106,2931706,2026-06-09T18:40:20Z,False,156696.5102,average_price_trade,34.31,34.32,,L,135,38,33320423502524,,regular,2026-06-09T18:40:20Z
3688,AR,34.3299,2917834,2026-06-09T18:39:58Z,False,126608.6712,,34.32,34.33,,L,135,9,33320423481039,,regular,2026-06-09T18:39:58Z
3382,AR,34.341,2858384,2026-06-09T18:32:17Z,False,116141.262,,34.34,34.35,,L,101,125,33320423020135,,regular,2026-06-09T18:32:17Z
6800,AR,34.31,2835536,2026-06-09T18:31:53Z,False,233308.00,,34.3,34.33,,L,535,175,33320422995720,,regular,2026-06-09T18:31:53Z
8500,AR,34.35,2807228,2026-06-09T18:29:33Z,False,291975.00,,34.35,34.36,,L,255,82,33320422855549,,regular,2026-06-09T18:29:33Z
7455,AR,34.501,2606546,2026-06-09T17:53:41Z,False,257204.955,,34.5,34.52,,L,164,140,33320420704350,,regular,2026-06-09T17:53:41Z
14400,AR,34.42,2523238,2026-06-09T17:41:24Z,False,495648.00,,34.45,34.46,,L,266,206,33320419966438,,regular,2026-06-09T17:41:24Z
9600,AR,34.91,2281870,2026-06-09T17:00:09Z,False,335136.00,,34.91,34.92,,L,300,100,33320417491453,,regular,2026-06-09T17:00:09Z
4944,AR,34.92,2225691,2026-06-09T16:54:51Z,False,172644.48,,34.92,34.93,,L,148,200,33320417174329,,regular,2026-06-09T16:54:51Z
5700,AR,34.865,2202781,2026-06-09T16:53:18Z,False,198730.500,,34.86,34.87,,L,281,135,33320417081075,,regular,2026-06-09T16:53:18Z
17000,AR,34.8401,2172591,2026-06-09T16:51:00Z,False,592281.7000,,34.84,34.86,,L,71,224,33320416942484,,regular,2026-06-09T16:51:00Z
5982,AR,34.71,2119741,2026-06-09T16:46:35Z,False,207635.22,,34.72,34.73,,L,20,218,33320416678363,,regular,2026-06-09T16:46:35Z
13500,AR,34.76,2110936,2026-06-09T16:46:34Z,False,469260.00,,34.76,34.78,,L,136,26,33320416677350,,regular,2026-06-09T16:46:34Z
3100,AR,34.69,2055158,2026-06-09T16:42:59Z,False,107539.00,,34.68,34.7,,L,159,125,33320416461691,,regular,2026-06-09T16:42:59Z
4696,AR,34.41,1751349,2026-06-09T16:14:40Z,False,161589.36,,34.41,34.42,,L,79,208,33320414762443,,regular,2026-06-09T16:14:40Z
6596,AR,34.412,1739121,2026-06-09T16:14:40Z,False,226981.552,,34.41,34.42,,L,79,208,33320414762436,,regular,2026-06-09T16:14:40Z
6604,AR,34.4101,1745941,2026-06-09T16:14:40Z,False,227244.3004,,34.41,34.42,,L,79,208,33320414762436,,regular,2026-06-09T16:14:40Z
12600,AR,34.49,1634677,2026-06-09T16:12:39Z,False,434574.00,,34.48,34.5,,L,290,73,33320414641380,,regular,2026-06-09T16:12:39Z
3000,AR,34.475,1518769,2026-06-09T16:04:08Z,False,103425.000,,34.47,34.48,,L,143,325,33320414131251,,regular,2026-06-09T16:04:08Z
4000,AR,34.47,1494934,2026-06-09T16:01:14Z,False,137880.00,,34.46,34.48,,L,235,43,33320413956763,,regular,2026-06-09T16:01:14Z
13040,AR,34.655,1410380,2026-06-09T15:48:22Z,False,451901.200,,34.65,34.66,,L,101,33,33320413184776,,regular,2026-06-09T15:48:22Z
4000,AR,34.7,1306239,2026-06-09T15:39:01Z,False,138800.0,,34.7,34.72,,L,335,200,33320412623602,,regular,2026-06-09T15:39:01Z
8281,AR,34.73,1299237,2026-06-09T15:38:50Z,False,287599.13,,34.71,34.73,,L,253,286,33320412612953,,regular,2026-06-09T15:38:50Z
3200,AR,34.74,1283802,2026-06-09T15:38:40Z,False,111168.00,,34.74,34.75,,L,6,235,33320412603233,,regular,2026-06-09T15:38:40Z
7073,AR,34.77,1197318,2026-06-09T15:29:24Z,False,245928.21,average_price_trade,34.8,34.82,,L,110,140,33320412047175,derivative_priced,regular,2026-06-09T15:29:24Z
3400,AR,34.79,1143140,2026-06-09T15:23:34Z,False,118286.00,,34.8,34.81,,L,176,87,33320411696611,,regular,2026-06-09T15:23:34Z
5000,AR,34.75,1127335,2026-06-09T15:21:54Z,False,173750.00,,34.74,34.76,,L,462,295,33320411597340,,regular,2026-06-09T15:21:54Z
5000,AR,34.7399,1118686,2026-06-09T15:21:25Z,False,173699.5000,,34.72,34.73,,L,20,210,33320411568268,,regular,2026-06-09T15:21:25Z
5000,AR,34.74,1113238,2026-06-09T15:21:25Z,False,173700.00,,34.72,34.73,,L,20,210,33320411568259,,regular,2026-06-09T15:21:25Z
5000,AR,34.7269,1067711,2026-06-09T15:16:21Z,False,173634.5000,,34.72,34.73,,L,4,278,33320411263490,,regular,2026-06-09T15:16:21Z
3000,AR,34.68,1050026,2026-06-09T15:14:06Z,False,104040.00,,34.66,34.68,,L,20,1008,33320411128976,,regular,2026-06-09T15:14:06Z
4000,AR,34.6393,1044101,2026-06-09T15:13:10Z,False,138557.2000,,34.62,34.64,,L,186,93,33320411072819,,regular,2026-06-09T15:13:10Z
6498,AR,34.46,955100,2026-06-09T15:04:49Z,False,223921.08,,34.45,34.46,,L,600,325,33320410572089,,regular,2026-06-09T15:04:49Z
10900,AR,34.45,927707,2026-06-09T15:04:26Z,False,375505.00,,34.43,34.45,,L,239,153,33320410549322,,regular,2026-06-09T15:04:26Z
3800,AR,34.43,905432,2026-06-09T15:04:25Z,False,130834.00,,34.43,34.45,,L,239,110,33320410547402,,regular,2026-06-09T15:04:25Z
11431,AR,34.7101,519405,2026-06-09T14:21:26Z,False,396771.1531,,34.72,34.74,,L,10,75,33320407968753,,regular,2026-06-09T14:21:26Z
7000,AR,34.77,454595,2026-06-09T14:17:29Z,False,243390.00,,34.77,34.78,,L,100,26,33320407731570,,regular,2026-06-09T14:17:29Z
9100,AR,34.905,362250,2026-06-09T14:04:59Z,False,317635.500,,34.89,34.92,,L,41,133,33320406981435,,regular,2026-06-09T14:04:59Z
11394,AR,34.98,220710,2026-06-09T13:52:56Z,False,398562.12,,34.97,34.99,,L,149,25,33320406258560,,regular,2026-06-09T13:52:56Z
13146,AR,35.015,203011,2026-06-09T13:52:56Z,False,460307.190,,35.01,35.03,,L,200,134,33320406258537,,regular,2026-06-09T13:52:56Z
5659,AR,35.055,117342,2026-06-09T13:43:40Z,False,198376.245,,35.05,35.08,,L,204,33,33320405702964,,regular,2026-06-09T13:43:40Z
3730,AR,35.055,111683,2026-06-09T13:43:40Z,False,130755.150,,35.05,35.08,,L,204,33,33320405702827,,regular,2026-06-09T13:43:40Z
5763,AR,35.52,6263,2026-06-09T13:01:24Z,False,204701.76,,35,39.24,extended_hours_trade,L,100,1,33320403166531,,regular,2026-06-09T13:01:24Z
