size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6374,ASML,672.87,1571464,2025-04-14T20:20:00Z,False,4288873.38,prior_reference_price,673,670.50,extended_hours_trade,L,1,10,58800482548926,,,
676,ASML,672.87,1565085,2025-04-14T20:14:07Z,False,454860.12,,673,670.50,extended_hours_trade,L,1,10,58447787193358,,,
626,ASML,672.87,1564409,2025-04-14T20:13:41Z,False,421216.62,,673,670.50,extended_hours_trade,L,1,10,58421022795791,,,
164,ASML,672.87,1563397,2025-04-14T20:00:45Z,False,110350.68,prior_reference_price,673,672.30,extended_hours_trade,L,1,19,57645327161486,,,
1180,ASML,672.87,1563160,2025-04-14T20:00:31Z,False,793986.60,prior_reference_price,675,672.30,extended_hours_trade,L,1,19,57631764493638,,,
246,ASML,672.87,1561935,2025-04-14T20:00:24Z,False,165526.02,prior_reference_price,675,672.30,extended_hours_trade,L,1,19,57624966040854,,,
169,ASML,672.87,1561689,2025-04-14T20:00:22Z,False,113715.03,prior_reference_price,675,672.30,extended_hours_trade,L,1,19,57622908949681,,,
853,ASML,672.87,1561094,2025-04-14T20:00:09Z,False,573958.11,,675,672.30,extended_hours_trade,L,1,19,57609005013587,,,
226,ASML,672.87,1560219,2025-04-14T20:00:08Z,False,152068.62,,675,672.30,extended_hours_trade,L,1,19,57608384181057,,,
588,ASML,672.87,1559993,2025-04-14T20:00:08Z,False,395647.56,,675,672.30,extended_hours_trade,L,1,19,57608378009832,,,
861,ASML,672.87,1559405,2025-04-14T20:00:02Z,False,579341.07,,675,672.30,extended_hours_trade,L,1,19,57602968465926,,,
7235,ASML,672.87,1558544,2025-04-14T20:00:02Z,False,4868214.45,,675,672.30,extended_hours_trade,L,1,19,57602968064587,,,
447,ASML,672.87,1551167,2025-04-14T20:00:01Z,False,300772.89,,675,672.30,extended_hours_trade,L,1,19,57601676932775,,,
1616,ASML,672.87,1550620,2025-04-14T20:00:01Z,False,1087357.92,,675,672.30,extended_hours_trade,L,1,19,57601626900898,,,
3228,ASML,672.87,1480406,2025-04-14T20:00:00Z,False,2172024.36,average_price_trade,673,672.50,extended_hours_trade,L,2,628,57600226353852,,,
216,ASML,672.52,1474807,2025-04-14T19:59:57Z,False,145264.32,,673,672.68,,L,2,41,57597003838423,,,
300,ASML,672.50,1473843,2025-04-14T19:59:55Z,False,201750.00,,673,672.60,,L,12,105,57595249722004,,,
200,ASML,672.60,1473519,2025-04-14T19:59:54Z,False,134520.00,,673,672.60,,L,12,427,57594138293857,,,
200,ASML,672.60,1471016,2025-04-14T19:59:50Z,False,134520.00,,673,672.60,,L,12,105,57590234910897,,,
300,ASML,673.19,1450935,2025-04-14T19:59:09Z,False,201957.00,,673.18,672.96,,L,12,312,57549097251316,,,
200,ASML,672.74,1448556,2025-04-14T19:59:03Z,False,134548.00,,672.83,672.71,,L,112,82,57543476210580,,,
240,ASML,672.71,1447410,2025-04-14T19:59:00Z,False,161450.40,,672.90,672.71,,L,7,57,57540667116256,,,
200,ASML,672.965,1427335,2025-04-14T19:58:09Z,False,134593.000,,673.11,672.82,,L,107,345,57489927598617,,,
200,ASML,672.99,1425683,2025-04-14T19:58:06Z,False,134598.00,,673.22,672.82,,L,34,7,57486753227004,,,
224,ASML,673.405,1413890,2025-04-14T19:57:30Z,False,150842.720,,673.60,673.27,,L,252,14,57450509243664,,,
179,ASML,673.56,1412253,2025-04-14T19:57:19Z,False,120567.24,,673.91,673.50,,L,20,2,57439940367878,,,
200,ASML,673.355,1408910,2025-04-14T19:57:15Z,False,134671.000,,673.50,673.36,,L,313,2,57435029094748,,,
220,ASML,673.555,1406894,2025-04-14T19:57:08Z,False,148182.100,,673.90,673.32,,L,107,2,57428669415789,,,
