size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6930,ASML,1750.31,824741,2026-08-20T21:46:51Z,False,12129648.30,prior_reference_price,1751.04,1751.87,extended_hours_trade,L,1,2,34815083312808,,regular,2026-08-20T21:46:51Z
37734,ASML,1750.31,817593,2026-08-20T21:10:36Z,False,66046197.54,average_price_trade,1748,1751.87,extended_hours_trade,L,1,1,34815081138176,,regular,2026-08-20T21:10:36Z
1045,ASML,1756.3532,779638,2026-08-20T20:24:42Z,False,1835389.0940,average_price_trade,1746,1751.19,extended_hours_trade,L,2,1,34815078383611,,regular,2026-08-20T20:24:41Z
453,ASML,1750.31,778567,2026-08-20T20:16:56Z,False,792890.43,average_price_trade,1748.56,1753.05,extended_hours_trade,L,2,4,34815077918139,,regular,2026-08-20T20:16:54Z
517,ASML,1750.31,776837,2026-08-20T20:00:52Z,False,904910.27,prior_reference_price,1748,1750.31,extended_hours_trade,L,46,5,34815076953893,,regular,2026-08-20T20:00:52Z
83,ASML,1750.31,776318,2026-08-20T20:00:52Z,False,145275.73,prior_reference_price,1748,1750.31,extended_hours_trade,L,46,5,34815076953887,,regular,2026-08-20T20:00:52Z
260,ASML,1750.31,776229,2026-08-20T20:00:50Z,False,455080.60,prior_reference_price,1748,1750.31,extended_hours_trade,L,46,5,34815076951685,,regular,2026-08-20T20:00:50Z
115,ASML,1750.31,775968,2026-08-20T20:00:36Z,False,201285.65,prior_reference_price,1748,1750.31,extended_hours_trade,L,46,5,34815076937706,,regular,2026-08-20T20:00:36Z
118,ASML,1750.31,775853,2026-08-20T20:00:36Z,False,206536.58,prior_reference_price,1748,1750.31,extended_hours_trade,L,46,5,34815076937531,,regular,2026-08-20T20:00:36Z
247,ASML,1750.31,775603,2026-08-20T20:00:35Z,False,432326.57,prior_reference_price,1748,1750.31,extended_hours_trade,L,86,5,34815076936763,,regular,2026-08-20T20:00:35Z
428,ASML,1750.31,775351,2026-08-20T20:00:34Z,False,749132.68,prior_reference_price,1748,1750.31,extended_hours_trade,L,91,5,34815076936185,,regular,2026-08-20T20:00:34Z
1608,ASML,1750.31,774923,2026-08-20T20:00:32Z,False,2814498.48,prior_reference_price,1748,1750.31,extended_hours_trade,L,91,5,34815076934004,,regular,2026-08-20T20:00:32Z
3306,ASML,1750.31,773297,2026-08-20T20:00:26Z,False,5786524.86,prior_reference_price,1748,1750.31,extended_hours_trade,L,91,5,34815076927779,,regular,2026-08-20T20:00:26Z
3775,ASML,1750.31,769959,2026-08-20T20:00:16Z,False,6607420.25,prior_reference_price,1748,1750.31,extended_hours_trade,L,91,5,34815076917760,,regular,2026-08-20T20:00:16Z
219,ASML,1750.31,766068,2026-08-20T20:00:01Z,False,383317.89,,1749.44,1753,extended_hours_trade,L,2,28,34815076903361,,regular,2026-08-20T20:00:00Z
70,ASML,1750.31,720318,2026-08-20T20:00:01Z,False,122521.70,,1749.44,1753,extended_hours_trade,L,2,28,34815076903206,,regular,2026-08-20T20:00:00Z
71,ASML,1750.31,720248,2026-08-20T20:00:01Z,False,124272.01,,1749.44,1753,extended_hours_trade,L,2,28,34815076903170,,regular,2026-08-20T20:00:00Z
60,ASML,1750.31,720172,2026-08-20T20:00:01Z,False,105018.60,,1749.44,1753,extended_hours_trade,L,2,28,34815076902723,,regular,2026-08-20T20:00:01Z
458,ASML,1750.31,719865,2026-08-20T20:00:00Z,False,801641.98,,1750.31,1750.52,extended_hours_trade,L,107,28,34815076902361,,regular,2026-08-20T20:00:00Z
110,ASML,1750.31,719975,2026-08-20T20:00:00Z,False,192534.10,,1750.31,1750.52,extended_hours_trade,L,107,28,34815076902361,,regular,2026-08-20T20:00:00Z
64,ASML,1750.6,711242,2026-08-20T19:59:38Z,False,112038.4,,1750.6,1750.87,,L,4,220,34815076879425,,regular,2026-08-20T19:59:38Z
81,ASML,1750.67,710710,2026-08-20T19:59:35Z,False,141804.27,,1750.6,1751,,L,54,80,34815076876449,,regular,2026-08-20T19:59:35Z
150,ASML,1750.18,707082,2026-08-20T19:59:22Z,False,262527.00,,1750.03,1750.18,,L,14,6,34815076863791,,regular,2026-08-20T19:59:22Z
66,ASML,1750.175,702267,2026-08-20T19:59:08Z,False,115511.550,,1749.87,1750.48,,L,130,11,34815076849497,,regular,2026-08-20T19:59:08Z
64,ASML,1750.175,701978,2026-08-20T19:59:07Z,False,112011.200,,1749.87,1750.48,,L,130,11,34815076848395,,regular,2026-08-20T19:59:07Z
60,ASML,1750.585,700829,2026-08-20T19:59:04Z,False,105035.100,,1750.5,1750.67,,L,197,19,34815076845494,,regular,2026-08-20T19:59:04Z
68,ASML,1751,698406,2026-08-20T19:59:00Z,False,119068,,1751.2,1751.83,,L,1,10,34815076841839,,regular,2026-08-20T19:59:00Z
80,ASML,1748.9226,694003,2026-08-20T19:58:55Z,False,139913.8080,average_price_trade,1750.99,1751.18,,L,110,208,34815076836564,derivative_priced,regular,2026-08-20T19:58:55Z
58,ASML,1750.68,690899,2026-08-20T19:58:34Z,False,101539.44,,1750.67,1750.86,,L,10,10,34815076816146,,regular,2026-08-20T19:58:34Z
65,ASML,1750.46,688541,2026-08-20T19:58:16Z,False,113779.90,,1750.02,1750.66,,L,1,270,34815076797629,,regular,2026-08-20T19:58:16Z
100,ASML,1749.5685,688134,2026-08-20T19:58:14Z,False,174956.8500,average_price_trade,1750.01,1750.6,,L,35,20,34815076796077,derivative_priced,regular,2026-08-20T19:58:14Z
110,ASML,1749.5685,688004,2026-08-20T19:58:14Z,False,192452.5350,average_price_trade,1750.01,1750.6,,L,35,20,34815076796074,derivative_priced,regular,2026-08-20T19:58:14Z
80,ASML,1749.32,682044,2026-08-20T19:57:36Z,False,139945.60,,1748.84,1749.43,,L,1,10,34815076757916,,regular,2026-08-20T19:57:36Z
90,ASML,1749.455,679693,2026-08-20T19:57:19Z,False,157450.950,,1749.25,1749.66,,L,39,40,34815076741122,,regular,2026-08-20T19:57:19Z
190,ASML,1750.32,678094,2026-08-20T19:57:09Z,False,332560.80,,1749.85,1750.84,,L,3,10,34815076731235,,regular,2026-08-20T19:57:09Z
80,ASML,1750.23,677556,2026-08-20T19:57:03Z,False,140018.40,,1749.96,1750.56,,L,2,10,34815076724390,,regular,2026-08-20T19:57:03Z
90,ASML,1748.1492,675106,2026-08-20T19:56:46Z,False,157333.4280,average_price_trade,1748.53,1749.59,,L,20,12,34815076707394,derivative_priced,regular,2026-08-20T19:56:46Z
60,ASML,1748.2457,675016,2026-08-20T19:56:45Z,False,104894.7420,average_price_trade,1748.53,1749.59,,L,20,12,34815076706542,derivative_priced,regular,2026-08-20T19:56:45Z
100,ASML,1749.51,674807,2026-08-20T19:56:42Z,False,174951.00,,1748.52,1749.62,,L,23,33,34815076703530,,regular,2026-08-20T19:56:42Z
100,ASML,1749.51,674907,2026-08-20T19:56:42Z,False,174951.00,,1748.52,1749.62,,L,23,33,34815076703530,,regular,2026-08-20T19:56:42Z
190,ASML,1749.59,674697,2026-08-20T19:56:42Z,False,332422.10,,1748.86,1749.62,,L,23,1,34815076703469,,regular,2026-08-20T19:56:42Z
128,ASML,1748.79,673974,2026-08-20T19:56:39Z,False,223845.12,,1748.1,1749.48,,L,34,12,34815076700894,,regular,2026-08-20T19:56:39Z
72,ASML,1748.79,674046,2026-08-20T19:56:39Z,False,125912.88,,1748.1,1749.48,,L,34,12,34815076700894,,regular,2026-08-20T19:56:39Z
100,ASML,1748.79,673736,2026-08-20T19:56:39Z,False,174879.00,,1748.1,1749.48,,L,34,12,34815076700893,,regular,2026-08-20T19:56:39Z
70,ASML,1748.79,673586,2026-08-20T19:56:39Z,False,122415.30,,1748.1,1749.48,,L,34,12,34815076700892,,regular,2026-08-20T19:56:39Z
60,ASML,1748.79,673426,2026-08-20T19:56:39Z,False,104927.40,,1748.1,1749.48,,L,34,12,34815076700891,,regular,2026-08-20T19:56:39Z
120,ASML,1747.725,671669,2026-08-20T19:56:19Z,False,209727.000,,1747.39,1748.09,,L,3,1,34815076681068,,regular,2026-08-20T19:56:19Z
439,ASML,1748.31,667377,2026-08-20T19:55:39Z,False,767508.09,,1747.61,1748.32,,L,73,10,34815076641155,,regular,2026-08-20T19:55:39Z
