size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
8300,ASTS,19.40,9157972,2025-04-02T23:43:21Z,False,161020.00,,19.37,19.90,extended_hours_trade,L,7696,25,71001639099562,,,
10000,ASTS,19.59,9108167,2025-04-02T23:26:24Z,False,195900.00,,19.43,19.60,extended_hours_trade,L,13000,209,69984805002656,,,
39767,ASTS,20.10,8717953,2025-04-02T21:53:02Z,False,799316.70,,20.20,20.24,extended_hours_trade,L,412,1,64382275628471,,,
5555,ASTS,20.52,8655822,2025-04-02T21:48:46Z,False,113988.60,,20.40,20.52,extended_hours_trade,L,6468,100,64126512504919,,,
9322,ASTS,20.7589,8438868,2025-04-02T20:51:11Z,False,193514.4658,,20.53,20.88,extended_hours_trade,L,300,300,60671466238398,,,
18898,ASTS,20.2301,8416269,2025-04-02T20:48:38Z,False,382308.4298,,20.30,20.39,extended_hours_trade,L,27,1050,60518872241616,,,
20930,ASTS,20.52,8388779,2025-04-02T20:48:06Z,False,429483.60,,20.62,20.69,extended_hours_trade,L,101,10,60486640679458,,,
20819,ASTS,20.7003,8362313,2025-04-02T20:47:49Z,False,430959.5457,,20.64,20.85,extended_hours_trade,L,100,500,60469797319326,,,
21680,ASTS,20.8801,8336157,2025-04-02T20:47:23Z,False,452680.5680,,21.01,21.09,extended_hours_trade,L,100,200,60443915424424,,,
7801,ASTS,21.2001,8283817,2025-04-02T20:44:40Z,False,165381.9801,,21.29,21.39,extended_hours_trade,L,25,2,60280913387161,,,
8401,ASTS,21.4501,8259491,2025-04-02T20:43:53Z,False,180202.2901,,21.40,21.60,extended_hours_trade,L,100,230,60233666900804,,,
11451,ASTS,21.85,8218940,2025-04-02T20:37:58Z,False,250204.35,,21.60,22.40,extended_hours_trade,L,100,625,59878939570230,,,
7320,ASTS,21.85,8196245,2025-04-02T20:36:41Z,False,159942.00,,21.80,22.40,extended_hours_trade,L,100,7320,59801450440633,,,
9411,ASTS,22.30,8148484,2025-04-02T20:28:11Z,False,209865.30,,22.10,23,extended_hours_trade,L,10,1022,59291749088649,,,
9411,ASTS,22.70,8086219,2025-04-02T20:16:11Z,False,213629.70,,22.10,23,extended_hours_trade,L,10,1022,58571689168830,,,
5695,ASTS,22.41,8055083,2025-04-02T20:01:04Z,False,127624.95,prior_reference_price,22.30,22.40,extended_hours_trade,L,100,600,57664264790484,,,
18401,ASTS,22.41,8048598,2025-04-02T20:00:37Z,False,412366.41,prior_reference_price,22.30,22.46,extended_hours_trade,L,12,600,57637003532504,,,
5000,ASTS,22.4099,7387788,2025-04-02T19:57:49Z,False,112049.5000,,22.40,22.41,,L,1190,2395,57469119968012,,,
5000,ASTS,22.3739,7107549,2025-04-02T19:51:00Z,False,111869.5000,,22.37,22.38,,L,445,392,57060432379696,,,
