size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
54715,ATI,76.76,1836953,2025-08-27T20:40:50Z,False,4199923.40,prior_reference_price,78.28,75.27,extended_hours_trade,L,21,11,60050443214194,,regular,
3437,ATI,76.76,1781552,2025-08-27T20:03:01Z,False,263824.12,prior_reference_price,78.28,75.27,extended_hours_trade,L,21,11,57781422987084,,regular,
21600,ATI,76.76,1777433,2025-08-27T20:00:50Z,False,1658016.00,prior_reference_price,78.28,75.27,extended_hours_trade,L,21,11,57650142298962,,regular,
2883,ATI,76.76,1753685,2025-08-27T20:00:14Z,False,221299.08,prior_reference_price,92,74.10,extended_hours_trade,L,10,12,57614634659982,,regular,
11800,ATI,76.76,1750802,2025-08-27T20:00:14Z,False,905768.00,prior_reference_price,92,74.10,extended_hours_trade,L,10,12,57614631670632,,regular,
3300,ATI,76.76,1738166,2025-08-27T20:00:14Z,False,253308.00,prior_reference_price,92,74.10,extended_hours_trade,L,10,12,57614561854314,,regular,
1347,ATI,76.76,1734500,2025-08-27T20:00:14Z,False,103395.72,prior_reference_price,92,74.10,extended_hours_trade,L,10,12,57614492929297,,regular,
2590,ATI,76.76,1732444,2025-08-27T20:00:14Z,False,198808.40,prior_reference_price,92,74.10,extended_hours_trade,L,10,12,57614486779265,,regular,
1400,ATI,76.76,1729854,2025-08-27T20:00:14Z,False,107464.00,prior_reference_price,92,74.10,extended_hours_trade,L,10,12,57614482878557,,regular,
3438,ATI,76.76,1386392,2025-08-27T19:59:50Z,False,263900.88,,76.78,76.73,,L,100,56,57590634424023,,regular,
4000,ATI,76.7266,851895,2025-08-27T18:04:02Z,False,306906.4000,,76.74,76.72,,L,8,40,50642978296799,,regular,
3307,ATI,76.81,818303,2025-08-27T17:50:05Z,False,254010.67,,76.81,76.77,,L,159,62,49805508149655,,regular,
19200,ATI,77.1624,618717,2025-08-27T16:14:55Z,False,1481518.0800,,77.14,77.09,,L,10,1,44095049493824,intermarket_sweep,regular,
1560,ATI,77.08,549274,2025-08-27T15:54:23Z,False,120244.80,,77.06,76.99,,L,112,200,42863605238751,,regular,
1400,ATI,77.12,505940,2025-08-27T15:41:16Z,False,107968.00,,77.15,77.13,,L,118,2,42076662036480,,regular,
1600,ATI,77.10,494744,2025-08-27T15:38:39Z,False,123360.00,,77.11,77.07,,L,40,162,41919448354999,,regular,
2200,ATI,77.1145,201306,2025-08-27T14:09:23Z,False,169651.9000,,77.10,77.01,,L,69,7,36563057352117,,regular,
1700,ATI,76.7365,174319,2025-08-27T14:06:15Z,False,130452.0500,,76.77,76.73,,L,92,100,36375169145789,,regular,
