size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
75144,ATI,155.83,1603627,2026-04-16T21:23:34Z,False,11709689.52,prior_reference_price,153.75,158.87,extended_hours_trade,L,12,50,30176517235775,,regular,2026-04-16T21:23:34Z
1902,ATI,155.83,1526608,2026-04-16T20:00:28Z,False,296388.66,prior_reference_price,153.75,167.99,extended_hours_trade,L,10,50,30176512250635,,regular,2026-04-16T20:00:28Z
1100,ATI,155.83,1524072,2026-04-16T20:00:26Z,False,171413.00,prior_reference_price,153.75,167.99,extended_hours_trade,L,10,50,30176512248396,,regular,2026-04-16T20:00:26Z
1986,ATI,155.83,1522576,2026-04-16T20:00:26Z,False,309478.38,prior_reference_price,153.75,167.99,extended_hours_trade,L,10,50,30176512248354,,regular,2026-04-16T20:00:26Z
890,ATI,155.83,1520480,2026-04-16T20:00:26Z,False,138688.70,prior_reference_price,153.75,167.99,extended_hours_trade,L,10,50,30176512248341,,regular,2026-04-16T20:00:26Z
1695,ATI,155.83,1519077,2026-04-16T20:00:26Z,False,264131.85,prior_reference_price,153.75,167.99,extended_hours_trade,L,10,50,30176512248243,,regular,2026-04-16T20:00:26Z
700,ATI,155.83,1516408,2026-04-16T20:00:26Z,False,109081.00,prior_reference_price,153.75,167.99,extended_hours_trade,L,10,50,30176512248213,,regular,2026-04-16T20:00:26Z
1754,ATI,155.83,1515312,2026-04-16T20:00:10Z,False,273325.82,average_price_trade,153.75,167.99,extended_hours_trade,L,10,50,30176512231799,,regular,2026-04-16T20:00:10Z
964,ATI,155.83,1512439,2026-04-16T20:00:03Z,False,150220.12,,153.75,159.6,extended_hours_trade,L,100,50,30176512224970,,regular,2026-04-16T20:00:03Z
1500,ATI,156.145,1205182,2026-04-16T19:59:45Z,False,234217.500,,156.03,156.23,,L,114,10,30176512207204,,regular,2026-04-16T19:59:45Z
1900,ATI,156.105,1201502,2026-04-16T19:59:43Z,False,296599.500,,156.03,156.16,,L,40,10,30176512205203,,regular,2026-04-16T19:59:43Z
900,ATI,155.795,1149783,2026-04-16T19:58:18Z,False,140215.500,,155.68,155.91,,L,5,182,30176512120199,,regular,2026-04-16T19:58:18Z
900,ATI,155.6,1133105,2026-04-16T19:57:43Z,False,140040.0,,155.48,155.72,,L,77,50,30176512085197,,regular,2026-04-16T19:57:43Z
1300,ATI,155.59,1125815,2026-04-16T19:57:15Z,False,202267.00,,155.39,155.74,,L,17,100,30176512057197,,regular,2026-04-16T19:57:15Z
1300,ATI,155.28,1104673,2026-04-16T19:55:48Z,False,201864.00,,155.15,155.32,,L,31,107,30176511970516,,regular,2026-04-16T19:55:48Z
2700,ATI,155.43,1071636,2026-04-16T19:52:50Z,False,419661.00,,155.38,155.48,,L,100,208,30176511792214,,regular,2026-04-16T19:52:50Z
1000,ATI,155.92,1004270,2026-04-16T19:41:17Z,False,155920.00,,155.99,156.21,,L,61,6,30176511099066,,regular,2026-04-16T19:41:17Z
900,ATI,155.7325,985922,2026-04-16T19:37:48Z,False,140159.2500,,155.62,155.82,,L,11,10,30176510889768,,regular,2026-04-16T19:37:48Z
9605,ATI,156.14,919050,2026-04-16T19:20:22Z,False,1499724.70,,156.06,156.25,,L,7,60,30176509844690,,regular,2026-04-16T19:20:22Z
1500,ATI,155.79,877215,2026-04-16T19:05:29Z,False,233685.00,,155.57,155.87,,L,10,10,30176508951069,,regular,2026-04-16T19:05:29Z
800,ATI,155.84,835638,2026-04-16T18:49:12Z,False,124672.00,,155.69,155.99,,L,158,75,30176507974588,,regular,2026-04-16T18:49:12Z
2926,ATI,155.835,823206,2026-04-16T18:43:14Z,False,455973.210,,155.7,155.99,,L,13,16,30176507615858,,regular,2026-04-16T18:43:14Z
5000,ATI,156.135,803118,2026-04-16T18:42:42Z,False,780675.000,,156.07,156.26,,L,60,13,30176507583768,,regular,2026-04-16T18:42:42Z
800,ATI,155.755,785945,2026-04-16T18:29:19Z,False,124604.000,,155.58,156.05,,L,51,154,30176506780934,,regular,2026-04-16T18:29:19Z
1155,ATI,154.58,723274,2026-04-16T17:48:05Z,False,178539.90,,154.64,154.76,,L,4,10,30176504307446,,regular,2026-04-16T17:48:05Z
4344,ATI,154.58,727618,2026-04-16T17:48:05Z,False,671495.52,,154.64,154.76,,L,4,10,30176504307446,,regular,2026-04-16T17:48:05Z
900,ATI,154.94,707876,2026-04-16T17:45:09Z,False,139446.00,,154.82,155.09,,L,7,125,30176504131492,,regular,2026-04-16T17:45:09Z
1080,ATI,154.69,670032,2026-04-16T17:14:40Z,False,167065.20,,154.73,154.91,,L,124,52,30176502301980,,regular,2026-04-16T17:14:40Z
1332,ATI,154.64,657571,2026-04-16T17:07:48Z,False,205980.48,,154.63,154.94,,L,81,20,30176501890540,,regular,2026-04-16T17:07:48Z
1100,ATI,154.7,655228,2026-04-16T17:07:48Z,False,170170.0,,154.63,154.92,,L,30,20,30176501890482,,regular,2026-04-16T17:07:48Z
900,ATI,154.7,654128,2026-04-16T17:07:48Z,False,139230.0,,154.63,154.92,,L,30,20,30176501890471,,regular,2026-04-16T17:07:48Z
800,ATI,154.72,653027,2026-04-16T17:07:48Z,False,123776.00,,154.63,154.89,,L,15,20,30176501890455,,regular,2026-04-16T17:07:48Z
1200,ATI,154.73,652157,2026-04-16T17:07:48Z,False,185676.00,,154.63,154.89,,L,15,20,30176501890439,,regular,2026-04-16T17:07:48Z
1700,ATI,155.09,641689,2026-04-16T17:03:38Z,False,263653.00,,155.09,155.43,,L,11,16,30176501640088,,regular,2026-04-16T17:03:38Z
900,ATI,155.221,605905,2026-04-16T16:46:31Z,False,139698.900,,155.22,155.54,,L,69,9,30176500613386,,regular,2026-04-16T16:46:31Z
847,ATI,155.22,607301,2026-04-16T16:46:31Z,False,131471.34,,155.22,155.54,,L,69,9,30176500613386,,regular,2026-04-16T16:46:31Z
900,ATI,155.22,608201,2026-04-16T16:46:31Z,False,139698.00,,155.22,155.54,,L,69,9,30176500613386,,regular,2026-04-16T16:46:31Z
12100,ATI,155.525,593626,2026-04-16T16:38:37Z,False,1881852.500,,155.71,155.98,,L,8,16,30176500138827,,regular,2026-04-16T16:38:37Z
800,ATI,157.83,453000,2026-04-16T15:14:41Z,False,126264.00,,157.63,158.03,,L,4,23,30176495102809,,regular,2026-04-16T15:14:41Z
635,ATI,157.9999,435129,2026-04-16T15:07:44Z,False,100329.9365,,157.53,158.05,,L,50,10,30176494686028,,regular,2026-04-16T15:07:44Z
116000,ATI,157,424324,2026-04-16T15:01:35Z,False,18212000,,156.94,157.4,,L,1,110,30176494316918,,regular,2026-04-16T15:01:35Z
752,ATI,157.135,306974,2026-04-16T14:58:57Z,False,118165.520,,156.88,157.38,,L,3,154,30176494158819,,regular,2026-04-16T14:58:57Z
1154,ATI,156.035,281137,2026-04-16T14:41:41Z,False,180064.390,,155.81,156.46,,L,62,26,30176493123251,,regular,2026-04-16T14:41:41Z
2058,ATI,155.8107,252624,2026-04-16T14:32:56Z,False,320658.4206,,155.58,156.53,,L,7,11,30176492598336,,regular,2026-04-16T14:32:56Z
6300,ATI,156.88,204334,2026-04-16T14:11:16Z,False,988344.00,,156.74,157.02,,L,80,57,30176491298568,,regular,2026-04-16T14:11:16Z
3074,ATI,156.78,197432,2026-04-16T14:10:50Z,False,481941.72,,156.57,157.02,,L,117,98,30176491271924,,regular,2026-04-16T14:10:50Z
1000,ATI,157.82,189457,2026-04-16T14:07:42Z,False,157820.00,,156.88,157.55,,L,7,186,30176491084551,,regular,2026-04-16T14:07:42Z
5660,ATI,156.82,153812,2026-04-16T14:03:31Z,False,887601.20,,156.42,157.04,,L,15,4,30176490833167,,regular,2026-04-16T14:03:31Z
999,ATI,157.02,145799,2026-04-16T14:02:42Z,False,156862.98,,156.66,157.02,,L,15,7,30176490784498,,regular,2026-04-16T14:02:42Z
