size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
970,AVAV,272.80,972137,2025-07-23T20:31:01Z,False,264616.00,prior_reference_price,270,272.50,extended_hours_trade,L,16,1,59461715317701,,regular,
7270,AVAV,272.80,970247,2025-07-23T20:04:04Z,False,1983256.00,average_price_trade,272.12,272.80,extended_hours_trade,L,1,1,57844222577292,,regular,
769,AVAV,272.80,962965,2025-07-23T20:01:02Z,False,209783.20,prior_reference_price,272.12,273,extended_hours_trade,L,35,1,57662451347156,,regular,
1129,AVAV,272.80,962046,2025-07-23T20:00:48Z,False,307991.20,prior_reference_price,272.12,273,extended_hours_trade,L,35,1,57648348595284,,regular,
1040,AVAV,272.80,960896,2025-07-23T20:00:44Z,False,283712.00,prior_reference_price,272.12,273,extended_hours_trade,L,35,1,57644287788616,,regular,
947,AVAV,272.80,959404,2025-07-23T20:00:18Z,False,258341.60,prior_reference_price,272.12,273,extended_hours_trade,L,35,1,57618286537552,,regular,
1512,AVAV,272.80,958155,2025-07-23T20:00:18Z,False,412473.60,prior_reference_price,272.12,273,extended_hours_trade,L,35,1,57618057360720,,regular,
697,AVAV,272.80,956640,2025-07-23T20:00:18Z,False,190141.60,prior_reference_price,272.12,273,extended_hours_trade,L,35,1,57618041457773,,regular,
1204,AVAV,272.80,955943,2025-07-23T20:00:18Z,False,328451.20,prior_reference_price,272.12,273,extended_hours_trade,L,35,1,57618040912334,,regular,
1803,AVAV,272.80,954468,2025-07-23T20:00:17Z,False,491858.40,prior_reference_price,272.12,273,extended_hours_trade,L,35,1,57617988959827,,regular,
367,AVAV,272.58,813850,2025-07-23T19:58:56Z,False,100036.86,,272.33,272.44,,L,9,430,57536964228351,,regular,
6500,AVAV,272.50,779099,2025-07-23T19:57:16Z,False,1771250.00,contingent_trade,272.24,272.43,,L,87,403,57436388130418,qualified_contingent_trade,regular,
500,AVAV,272.33,766822,2025-07-23T19:57:00Z,False,136165.00,,271.92,272.10,,L,8,411,57420952026623,,regular,
400,AVAV,272.03,752669,2025-07-23T19:56:21Z,False,108812.00,,271.84,272,,L,203,1207,57381111128198,,regular,
6500,AVAV,272,749524,2025-07-23T19:56:02Z,False,1768000,contingent_trade,271.84,272,,L,201,801,57362614243101,qualified_contingent_trade,regular,
400,AVAV,272,742868,2025-07-23T19:56:02Z,False,108800,,271.84,272,,L,201,801,57362365778153,,regular,
400,AVAV,271.855,697015,2025-07-23T19:52:04Z,False,108742.000,,271.88,272.01,,L,123,1,57124327317601,,regular,
692,AVAV,271.88,694944,2025-07-23T19:51:57Z,False,188140.96,,271.83,272.01,,L,123,2,57117031282921,,regular,
400,AVAV,271.89,686901,2025-07-23T19:50:36Z,False,108756.00,,271.46,271.71,,L,6,424,57036389988247,,regular,
