size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
597,AVGO,188.4999,24949504,2025-03-18T23:56:45Z,False,112534.4403,,188.46,189,extended_hours_trade,L,163,20,71805040014681,,,
990,AVGO,188.60,24944370,2025-03-18T23:38:37Z,False,186714.00,,188.60,189,extended_hours_trade,L,275,24,70717454439379,,,
1389,AVGO,188.35,24934366,2025-03-18T22:42:12Z,False,261618.15,,188.15,188.35,extended_hours_trade,L,137,2,67332698745342,,,
1238,AVGO,188.49,24925107,2025-03-18T21:48:25Z,False,233350.62,,188.20,188.50,extended_hours_trade,L,800,3,64105067570535,,,
95700,AVGO,188.67,24921549,2025-03-18T21:44:02Z,False,18055719.00,prior_reference_price,188.46,189,extended_hours_trade,L,25,1,63842192988059,,,
600,AVGO,188.2154,24823406,2025-03-18T21:27:30Z,False,112929.2400,,188.43,188.80,extended_hours_trade,L,200,2,62850013615241,,,
600,AVGO,196.604,24816410,2025-03-18T20:59:56Z,False,117962.400,average_price_trade,188.52,189,extended_hours_trade,L,225,10,61196745731691,,,
840,AVGO,192.3664,24810298,2025-03-18T20:44:39Z,False,161587.7760,average_price_trade,188.78,188.85,extended_hours_trade,L,20,2,60279904978960,,,
600,AVGO,196.604,24809438,2025-03-18T20:44:22Z,False,117962.400,average_price_trade,188.78,188.85,extended_hours_trade,L,20,2,60262759357937,,,
3927,AVGO,188.67,24785228,2025-03-18T20:35:14Z,False,740907.09,prior_reference_price,188.76,189,extended_hours_trade,L,25,1,59714534445898,,,
22194,AVGO,188.67,24807422,2025-03-18T20:35:14Z,False,4187341.98,prior_reference_price,188.76,189,extended_hours_trade,L,25,1,59714534509655,,,
767718,AVGO,188.67,24778732,2025-03-18T20:28:13Z,False,144845355.06,prior_reference_price,188.67,188.75,extended_hours_trade,L,25,8,59293542955885,,,
1075,AVGO,188.67,24011013,2025-03-18T20:28:03Z,False,202820.25,,188.67,188.75,extended_hours_trade,L,25,8,59283776059681,,,
8133,AVGO,188.67,24009680,2025-03-18T20:25:09Z,False,1534453.11,,188.67,189,extended_hours_trade,L,20,17,59109904948636,,,
11389,AVGO,188.67,23994391,2025-03-18T20:11:55Z,False,2148762.63,prior_reference_price,188.67,188.89,extended_hours_trade,L,100,8,58315309473790,,,
8695,AVGO,188.67,23983002,2025-03-18T20:11:55Z,False,1640485.65,prior_reference_price,188.67,188.89,extended_hours_trade,L,100,8,58315305594703,,,
2141,AVGO,188.67,23972684,2025-03-18T20:09:38Z,False,403942.47,,188.52,189.10,extended_hours_trade,L,81,10,58178146631439,,,
1963,AVGO,189.1061,23970440,2025-03-18T20:09:22Z,False,371215.2743,,188.51,188.70,extended_hours_trade,L,96,200,58162520809106,,seller,
1350,AVGO,188.67,23966030,2025-03-18T20:06:48Z,False,254704.50,,188.22,188.93,extended_hours_trade,L,529,35,58008262130452,,,
9948,AVGO,188.67,23963500,2025-03-18T20:03:02Z,False,1876889.16,prior_reference_price,188.30,189,extended_hours_trade,L,200,3,57782378204010,,,
2870,AVGO,188.67,23953552,2025-03-18T20:03:02Z,False,541482.90,prior_reference_price,188.30,189,extended_hours_trade,L,200,3,57782203429490,,,
