size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
5197,AVNT,31.95,844636,2026-01-05T21:01:23Z,False,166044.15,prior_reference_price,0,32.57,extended_hours_trade,L,61,0,31443531258007,,regular,
8494,AVNT,31.95,834578,2026-01-05T21:00:23Z,False,271383.30,prior_reference_price,0,32.57,extended_hours_trade,L,61,0,31443531197376,,regular,
7004,AVNT,31.95,825474,2026-01-05T21:00:23Z,False,223777.80,prior_reference_price,0,32.57,extended_hours_trade,L,61,0,31443531197366,,regular,
3745,AVNT,32.375,525648,2026-01-05T19:46:34Z,False,121244.375,,32.37,32.39,,L,196,63,31443526768556,,regular,
5000,AVNT,32.15,341239,2026-01-05T17:01:01Z,False,160750.00,,32.15,32.21,,L,109,105,31443516835114,,regular,
5000,AVNT,32.16,336233,2026-01-05T17:00:55Z,False,160800.00,,32.15,32.21,,L,109,40,31443516829698,,regular,
41304,AVNT,32.22,222481,2026-01-05T16:04:30Z,False,1330814.88,,32.11,32.28,,L,49,440,31443513444386,intermarket_sweep,regular,
4940,AVNT,32.12,159171,2026-01-05T15:42:05Z,False,158672.80,,32.11,32.22,,L,5,100,31443512099360,,regular,
5000,AVNT,32.17,93298,2026-01-05T15:10:20Z,False,160850.00,,32.17,32.23,,L,100,1,31443510194844,,regular,
5000,AVNT,32.185,87857,2026-01-05T15:10:13Z,False,160925.000,,32.17,32.25,,L,4,41,31443510187421,,regular,
4900,AVNT,32.05,58322,2026-01-05T14:57:49Z,False,157045.00,,32.05,32.28,,L,300,100,31443509443695,,regular,
5000,AVNT,31.99,41436,2026-01-05T14:48:34Z,False,159950.00,,31.96,32.12,,L,40,143,31443508888344,,regular,
5000,AVNT,31.98,30881,2026-01-05T14:47:04Z,False,159900.00,,31.98,32.07,,L,3,40,31443508798296,,regular,
3332,AVNT,31.98,23990,2026-01-05T14:47:00Z,False,106557.36,,31.98,32.07,,L,6,40,31443508794975,,regular,
